source,target
primitif de maillage 3D,3D mesh primitive
mini-carte 3D,3D Mini-map
gizmo Déplacement 3D,3D Move gizmo
gizmo Rotation 3D,3D Rotate gizmo
gizmo Echelle 3D,3D Scale gizmo
culée,abutment
ACC,ACC
administrateur de compte,account administrator
vue aggrégée,aggregate View
climatiseur,air handler
vue en coupe alignée,aligned section view
point de géométrie de l'axe,alignment geometry point
décalage de l'axe,alignment offset
ALKIS,ALKIS
courant admissible,ampacity
analemme,analemma
contreventement analytique,analytical brace
sol analytique,analytical floor
surface analytique,analytical surface
tolérance angulaire,angle of deflection
vitesse angulaire,angular speed
armature de peau,anti-shrinkage reinforcement
APL,APL
puissance apparente,apparent power
style d'apparence,appearance style
approbateur,approver
distance arc-corde,arc-chord distance
modèle ArchiCAD,ArchiCAD model
étage architectural,architectural floor
ASBD,ASBD
raccord ASHRAE,ASHRAE fitting
bibliothèque des équipements,asset library
ATIL,ATIL
pièce jointe,attachment
équipe Gestion des utilisateurs Autodesk,AUM team
bibliothèque d'images Autodesk,Autodesk Image Library
aire de fin moyenne,average end area
azimut,azimuth
visée arrière,backsight
attributaire,ball in court
famille de base,base family
calque de base,base layer
fond de carte,basemap
Batch Print,Batch Print
BCA,BCA
mur porteur,bearing wall
diamètre de cintrage,bend diameter
période de facturation,billing period
objet BIM,BIM object
outil BIM,BIM tool
Bloss,bloss
emprunteur,borrower
circuit de dérivation,branch circuit
placage de brique,brick veneer
Pont,Bridge
brossé,brushed
aluminium brossé,brushed aluminium
demande de paiement du budget,budget payment application
transfert de budget,budget transfer
partie commune des bâtiments,building common area
empreinte du bâtiment,building footprint
niveau de bâtiment,building level
toit d'assemblage,built-up roof
divisions,business units
about,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
chemin de câbles,cable tray
CADmep,CADmep
dévers de rail,cant
extrémité,cap
maquette numérique,cartoon set
battant,casement
coulé sur place,cast-in-place
fosse septique,catch basin
cavitation,cavitation
mur creux,cavity wall
ECD,CDE
plan de plafond,ceiling plan
axe central,center line
point de centre,center mark
carreau en céramique,ceramic tile
chanfrein,chamfer
résistance caractéristique,characteristic strength
Cipolletti,Cipolletti
groupe de conflits,clash group
service de détection des conflits,clash service
volume de délimitation,clip volume
modèle cloud,cloud model
données pour machines à commande numérique,CNC data
combinaison de codes,code combination
COGO,COGO
débit d'eau froide par appareil,cold water fixture unit
toit à couverture,composition roof
courbe composée,compound curve
résistance à la compression,compressive strength
analyse d'énergie conceptuelle,Conceptual Energy Analysis
volume conceptuel,conceptual mass
purge condensat,condensate drain
conduit,conduit
connecteur de conduit,conduit connector
raccord de conduit,conduit fitting
élément de contrainte,constraint element
modélisation de constructibilité,constructability modeling
Reconnaissance de contenu,Content Awareness
bibliothèque de contenu,content library
module de contenu,content pack
étiquette de courbe,contour label
contracté,contracted
charge de convection,convection load
convexe,convex
espace de coordination,coordination space
ajustement,cope
corbeau,corbel
éditeur de ligne de profil en travers du projet 3D,corridor section editor
demande de paiement du débours,cost payment application
relevé unitaire,count takeoff
contrefort,counterfort
kit régional,country kit
niveau de la clé,cover level
courbe à point haut,crest curve
croisement de canalisations,crossing pipe
sommet,crown
route en toit,crowned roadway
CS,CS
répertoire actuel,current directory
quadrillage du mur-rideau,curtain grid
panneau de mur-rideau,curtain panel
système de mur-rideau,curtain system
mur-rideau,curtain wall
dormant de mur-rideau,curtain wall frame
grille de mur-rideau,curtain wall grid
meneau de mur-rideau,curtain wall mullion
unité de mur-rideau,curtain wall unit
distance de maillage par approximation de la courbe,curve tessellation distance
poutre incurvée,curved beam
poutre personnalisée,custom girder
vitesse d'accrochage,cut-in speed wind
vitesse de coupure,cut-out speed wind
CWFU,CWFU
tableau de bord,dashboard
vitre d'éclairage lumineux naturel,daylighting glass
commentaire DDG,DDG comment
charge permanente,dead load
DECDEG,DECDEG
tablier,deck
degré d’urbanisation,Degree Urbanization
"degrés, minutes, secondes",degrees minutes seconds
DEM,DEM
facteur de charge,demand factor
rapport de conception,design report
Desktop Connector,Desktop Connector
modèle DEM,digital elevation model
modèle numérique de terrain,digital terrain model
Contraintecote,DimConstraint
type de direction,direction type
Liste de distribution,Distribution List
dll,DLL
DMS,DMS
document,document
liste de documents,document log
Document Management,Document Management
Documents,Documents
réseau de drainage,drainage network
groupe de dessins,drawing group
emplacement de référence de la dénivellation,drop reference location
température sèche,dry bulb
plâtre,drywall
DTM,DTM
connexion de gaine,duct connector
amortisseur de gaine,duct damper
raccord de gaine,duct fitting
revêtement de gaine,duct lining
système de gaines,duct system
charge de service,duty head
terrassements,earthworks
livre électronique,e-book
EDM,EDM
ligne de charge,EGL
équipement électrique,electrical equipment
télémètre électronique,electronic distance meter
élévation,elevation
axe d'élévation,elevation axis
segment d'ellipse,ellipse segment
mur encastré,embedded wall
connecteur de fin,end connector
plan d’ensemble,engineering drawing
dévers d'équilibre,equilibrium cant
EVC,EVC
EVCE,EVCE
extraction d'air,exhaust air
référence aux données externes,External Data Reference
éléments de fabrication,fabrication parts
fabricant,fabricator
carnet de terrain,field book
éclisse chantier,field splice
fichier,file
motif de remplissage,fill pattern
raccord,fillet
rayon de raccord,fillet radius
analyse de pont par éléments finis,finite-element bridge analysis
fenêtre fixe,fixed window
débit par appareil,fixture unit
angle arrondi,flare angle
courbe flottante,float curve
robinet à flotteur,float valve
plan d'étage,floor plan
jaugeur,flume
élément de forme,form element
FormIt,FormIt
Formulaires,Forms
Débit d’eaux usées,foul flow
fondation,foundation
image,frame
nombre d'images par seconde,frame rate
marge libre,free float
FU,FU
estompage,fuzz
Gantt,Gantt
maître d'œuvre,general contractor
société du maître d'œuvre,general contractor company
poutre,girder
forme de poutre,girder shape
gizmo,gizmo
système de coordonnées universelles,global coordinate system
changement de talus,grade break
plan de nivellement,grading plan
réseau gravitaire,gravity network
canalisation gravitaire,gravity pipe
conducteur de terre,ground conductor
niveau du sol,ground level
modèle numérique de terrain (MNT),ground model
ligne de profil en long du terrain naturel,ground profile
nappe phréatique,ground water
rambarde,guardrail
descripteur,handle
HDS,HDS
table vidange/hauteur,head discharge table
perte de charge,headloss
gain de chaleur,heat gain
îlot thermique,heat island
charges de chauffage et de refroidissement,heating and cooling loads
température de calcul du chauffage,heating design temperature
HGL,HGL
Accueil,Home
méthode d'ajustement horizontal,horizontal adjustment method
conducteur de phase,hot conductor
HP,HP
platine d'extrémité de profil creux,HS end plate
zone HVAC,HVAC zone
courbe de borne incendie,hydrant curve
hydraulique,hydronic
hypermodélisation,hypermodeling
Ia,Ia
point d'intersection implicite,implied point of intersection
IMX road,IMX
facteur de débit de pointe industriel,Industrial Peak Flow Factor
InfoAsset Manager Suite,InfoAsset Manager Suite
InfoSWMM,InfoSWMM
initiateur,initiator
cisaillement d'interface,interface shear
vérification des interférences,interference check
transfert de budget interne,internal budget transfer
composant d'intersection,intersection component
zone d'intersection,intersection quadrant
niveau du radier,invert level
problème,issue
Problèmes,Issues
Récapitulatif de l'élément,Item summary
note d'identification,keynote
table des notes d'identification,keynote table
étiquette de note d'identification,keynote tag
texte de note d'identification,keynote text
rapport sur la main d'œuvre et les ressources,labor and workforce report
zone de terrain,land area
développement territorial,land development
répartition du module linguistique,language pack deployment
LAS,LAS
chaleur latente,latent heat
contreventement latéral,lateral bracing
état de calque,layer state
niveau de palier,level landing
niveau de lissage,level of smoothness
LF,LF
dispositif d'éclairage,lighting device
luminaire,lighting fixture
densité de puissance de l'éclairage,lighting power density
limite de ligne,line boundary
réseau linéaire,linear array
cote linéaire,linear dimension
relevé linéaire,linear takeoff
charge d'exploitation,live load
cas de charge,load case
indice de charge,load classification
base de données des charges,load database
