source,target
30-day trial,30-dages prøveversion
3D printer,3D-printer
ACE,ACE
ACI,ACI
activation code,aktiveringskode
add-in,tilføjelsesprogram
ADI,ADI
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
advanced notice,varsel
advertise,annoncere
aerospace,luft/rumfarts
alpha channel,alfakanal
ambient color,omgivende farve
ambient temperature,omgivende temperatur
anchor,fastgørelse
anchor point,fastgørelsespunkt
angle,vinkel
angle constraint,vinkelbegrænsning
anti-aliasing,anti-aliasing
AOTC,AOTC
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","arkitektur, teknik og konstruktion"
Ask Autodesk,Spørg Autodesk
ASM,ASM
aspect ratio,højde-bredde-forhold
assembly,montage
asset,aktiv
ATC,ATC
AUGI,AUGI
authorized partner,autoriseret partner
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk assessment test,Autodesks  evalueringstest
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,Autoriseret Autodesk-forhandler
Autodesk Authorized Training Center,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,Autodesks BIM- og Beam-blog
Autodesk Bronze reseller,Autodesks bronzeforhandler
Autodesk Building YouTube Channel,Autodesk Building på YouTube
Autodesk Certification,Certificering fra Autodesk
Autodesk Certified Instructor program,Autodesk Certified Instructor-program
Autodesk Certified logo,Autodesks certificeringslogo
Autodesk Certified Professional,Autodesk Certified Professional
Autodesk Collaborative Project Management Solutions,Autodesk Collaborative Project Management-løsninger
Autodesk Compliance Program,Autodesk Compliance-program
Autodesk Consulting,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design and Creation Suites,Autodesk Design og Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Digital Entertainment Creation solution,Autodesk Digital Entertainment Creation-løsning
Autodesk Digital Prototyping Forum,Autodesk Digital Prototyping Forum
Autodesk Digital Prototyping solution,Autodesk Digital Prototyping-løsning
Autodesk Download Manager,Autodesk Download Manager
Autodesk Education,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk forum,Autodesk-forum
Autodesk ID,Autodesk-id
Autodesk in the News,Autodesk i medierne
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Learning and Education,Autodesk-kurser og -uddannelse
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,Autodesk Legacy-program
Autodesk Manufacturing Team,Autodesk Manufacturing-team
Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,Autodesk Official Training Courseware
Autodesk Official Training Guides,Autodesks officielle kursusvejledninger
Autodesk Partner Manager,Autodesk Partner Manager
Autodesk Partner Portal,Autodesks partnerportal
Autodesk Partner Program,Autodesks partnerprogram
Autodesk Partner Specializations,Autodesks partnerspecialiseringer
Autodesk Premier Solutions Provider,Autodesk Premier Solutions Provider
Autodesk Privacy Statement,Autodesks erklæring om beskyttelse af personlige oplysninger
Autodesk Professional Excellence,Autodesk Professional Excellence
Autodesk sales representative,Salgsmedarbejder fra Autodesk
Autodesk Services and Support,Serviceydelser og support fra Autodesk
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Software License Agreement,Autodesks softwarelicensaftale
Autodesk solution for Digital Prototyping,Autodesks løsning til digital prototyping
Autodesk Store,Autodesks onlinebutik
Autodesk Streamline,Autodesk Streamline
Autodesk suite,Autodesk Suite
Autodesk Training Center,Autodesk uddannelsescenter
Autodesk University,Autodesk University
Autodesk User Group International,Autodesk User Group International
Autodesk Value Added Reseller,Autodesk Value Added-forhandler
automotive component design,design af komponenter til bilindustrien
Backburner,Backburner
Baseline Features,Baseline-funktioner
basic tooltip,enkle værktøjstip
Be BIM Ready,Vær klar til BIM
BIM,BIM
BIM Knowledge Package,informationspakke om BIM
blog,blog
Brainshark,Brainshark
brightness,lysstyrke
building component,bygningskomponent
building engineering,bygningskonstruktion
building product,bygningsprodukt
Call to Action,Foretag handling
cascade,arrangere overlappet
case study,kundehistorie
certification exam,certificeringseksamen
Certified Associate,Certified Associate
certified hardware,certificeret hardware
channel partner,kanalpartner
Character Generator,Character Generator
clip plane,beskæringsplan
clipping boundary,beskæringsgrænse
closed end,lukket ende
cloud services,cloud-tjenester
coarse,grov
codec,codec
commercial license,kommerciel licens
Communication Center,Kommunikationscenter
companion product,supplerende produkt
comprehensive exam guide,omfattende eksamensvejledning
concave,konkav
concept sketch,konceptudkast
construction manager,byggeleder
consulting system integrator partner,CSI-partner (Consulting System Integrator)
consumer product,forbrugerprodukt
content source,indholdskilde
contextual tab,kontekstafhængig fane
Contract Manager,Contract Manager
controller cap,kontrolknap
coordinate space,koordinatområde
copy block,tekstmateriale
coverage report,dækningsrapport
CPM,CPM
crossgrade,krydsopgradering
cross-grade,krydsopgradering
cuboid,kube
Curricula,Undervisningsplan
Customer Gallery,Kundegalleri
customer relationship management,CRM
Customer Reviews,Kundereferencer
Customer Showcase,Projekteksempler fra kunderne
Customer Success Stories,Kunders succeshistorier
data acquisition,dataindsamling
data silo,indsamlede data
defense,forsvar
demo,demo
demo video,demonstrationsvideo
Demonstration,Demonstration
design intent,intentionen bag et design
design validation,designvalidering
design visualization,designvisualisering
Designers Accord,Designers Accord
digital entertainment creation,digital entertainment creation
digital modeling,digital modellering
Digital Prototyping Days,Digital Prototyping Days
digital visual interface,digital visual interface
direct partner,direkte partner
discussion forum,diskussionsforum
discussion group,diskussionsgruppe
distributed license server,distribueret licensserver
drafter,teknisk tegner
Dropbox,Dropbox
duct,kanal
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
Eagle,Eagle
eBook,e-bog
e-book,e-bog
Education Version,uddannelsesversion
educational version,uddannelsesversion
eLearning,e-learning
e-Learning,e-learning
eLearning Catalog,e-learning-katalog
e-Learning Catalog,e-learning-katalog
eligibility matrix,matrix over kvalificering
end user,slutbruger
end-user,slutbruger
energy efficiency,energieffektivitet
energy retrofit,energiforbedrende retrotilpasning
Enhanced KB,Udvidet Vidensbase
entitlement certificate,Entitlement Certificate
Events Lookup,Søg efter event
fabrication,fremstilling
Facebook,Facebook
FAQ,Ofte Stillede Spørgsmål
Feature Demos,Demonstration af funktioner
Features,Funktioner
Features and Benefits,Funktioner og fordele
Features and Specifications,Funktioner og specifikationer
film & TV,film og tv
"film, games and television","film, spil og tv"
fire protection,brandsikring
firmware,firmware
