source,target
prueba gratuita por 30 días,30-day trial
impresora 3D,3D printer
ACE,ACE
código de activación,activation code
ADI,ADI
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
canal alfa,alpha channel
color ambiental,ambient color
temperatura ambiente,ambient temperature
modificación,amendment
punto de anclaje,anchor point
restricción de ángulo,angle constraint
antiboicot,anti-boycott
anticorrupción,anti-corruption
API,API
App Store,App Store
AppFrame,AppFrame
interfaz de programación de aplicaciones,application programming interface
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"arquitectura, ingeniería y construcción","architecture, engineering and construction"
ASM,ASM
relación de aspecto,aspect ratio
ensamblaje,assembly
activo,asset
ATC,ATC
AUGI,AUGI
socio autorizado,authorized partner
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
distribuidor autorizado de Autodesk,Autodesk authorized reseller
Centro de Formación Autorizado de Autodesk,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
blog BIM and Beam de Autodesk,Autodesk BIM and Beam Blog
"Programa de estudios de Autodesk sobre BIM para gestión de arquitectura, ingeniería y construcción","Autodesk BIM for Architecture, Engineering and Construction Management Curriculum"
distribuidor Bronze de Autodesk,Autodesk Bronze reseller
Canal de Autodesk en YouTube para la construcción,Autodesk Building YouTube Channel
Certificación de Autodesk,Autodesk Certification
Programa de Usuario Certificado de Autodesk,Autodesk Certified User program
gerente de ventas del canal de Autodesk,Autodesk Channel Sales Manager
equipo del canal de Autodesk,Autodesk Channel Team
Servicios de Consultoría de Autodesk,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design Package,Autodesk Design Package
Red de desarrolladores de Autodesk,Autodesk Developer Network
solución de Creación de Entretenimiento Digital de Autodesk,Autodesk Digital Entertainment Creation solution
Acuerdo del distribuidor de Autodesk,Autodesk Distributor Agreement
Administrador de descargas de Autodesk,Autodesk Download Manager
Autodesk Educación,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Programa de estudios de Autodesk,Autodesk Education Curriculum
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk FLUX Design Competition,Autodesk FLUX Design Competition
foro de Autodesk,Autodesk forum
socio Gold de Autodesk,Autodesk Gold partner
ID de Autodesk,Autodesk ID
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk LaunchPad,Autodesk LaunchPad
Aprendizaje y formación de Autodesk,Autodesk Learning and Education
Autodesk Learning Central,Autodesk Learning Central
Autodesk License Manager,Autodesk License Manager
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Panorama,Autodesk Panorama
Autodesk Partner Portal,Autodesk Partner Portal
Programa de Socios de Autodesk,Autodesk Partner Program
socio Platinum de Autodesk,Autodesk Platinum partner
proveedor de soluciones Premier de Autodesk,Autodesk Premier Solutions Provider
Declaración de Privacidad de Autodesk,Autodesk Privacy Statement
representante de ventas de Autodesk,Autodesk sales representative
Servicios y soporte de Autodesk,Autodesk Services and Support
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
socios Silver de Autodesk,Autodesk Silver partner
Autodesk Streamline,Autodesk Streamline
Centro de capacitación de Autodesk,Autodesk Training Center
Autodesk University,Autodesk University
Autodesk User Group International,Autodesk User Group International
distribuidor de valor agregado de Autodesk,Autodesk Value Added Reseller
Acuerdo del Distribuidor de Valor Agregado de Autodesk,Autodesk Value Added Reseller Agreement
Backburner,Backburner
informe de referencia,benchmark report
programa de estudios sobre BIM para ingeniería estructural,BIM for structural engineering curriculum
blog,blog
BPT,BPT
Brainshark,Brainshark
brillo,brightness
componente de construcción,building component
ingeniería de construcción,building engineering
producto de construcción,building product
ética comercial,business ethics
plan de negocios,business plan
herramienta de planeación empresarial,business planning tool
proceso comercial,business process
fin comercial,business purpose
registro empresarial,business record
relación comercial,business relationship
comprar,buy
CAD,CAD
identificación del caso,case ID
casos de estudio,case studies
caso de estudio,case study
hardware certificado,certified hardware
socio de canal,channel partner
Character Generator,Character Generator
director ejecutivo,chief executive officer
director financiero,chief financial officer
director jurídico,chief legal officer
programa de estudios para ingeniería civil,civil engineering curriculum
plano de corte,clip plane
contorno de corte,clipping boundary
extremo cerrado,closed end
créditos para la nube,cloud credits
servicios de nube,cloud services
áspero,coarse
códec,codec
centro de comunicaciones,communication center
producto complementario,companion product
comparar,compare
queja,complaint
cumplimiento,compliance
cóncavo,concave
boceto conceptual,concept sketch
programa de estudios sobre diseño conceptual,conceptual design curriculum
confidencialidad,confidentiality
conflicto de intereses,conflict of interest
gerente de construcción,construction manager
socio del Integrador de Sistemas de Consultoría,consulting system integrator partner
producto de consumo,consumer product
origen de contenido,content source
pestaña contextual,contextual tab
gerente de contratos,contract manager
espacio de coordenadas,coordinate space
informe de cobertura,coverage report
CSI,CSI
opiniones de clientes,customer reviews
muestra de clientes,customer showcase
historias de clientes,customer stories
historias de éxito  de clientes,customer success stories
cliente con un plan de mantenimiento,customer with a maintenance plan
portabilidad de datos,data portability
protección de datos,data protection
defensa,defense
suprimir,delete
video de demostración,demo video
finalidad del diseño,design intent
validación del diseño,design validation
visualización del diseño,design visualization
Designers Accord,Designers Accord
aplicación para escritorio,desktop app
responsable del detallado,detailer
creación de entretenimiento digital,digital entertainment creation
interfaz visual digital,digital visual interface
acción disciplinaria,disciplinary action
foro de discusión,discussion forum
grupo de discusión,discussion group
servidor de licencias distribuido,distributed license server
dibujante,drafter
ducto,duct
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
Eagle,Eagle
EDT,EDT
productos admisibles,eligible products
embargo,embargo
reacondicionamiento energético,energy retrofit
programa de estudios sobre diseño y tecnología ambiental,environmental design and technology curriculum
comportamiento ético,ethical behavior
vicepresidente ejecutivo para ventas y servicios,executive vice president of sales and services
identificación de servicio Express,express service ID
derechos de uso extraterritorial,extra territory rights
fabricación,fabrication
Preguntas frecuentes,FAQs
"juegos, cine y televisión","film, games and television"
informe financiero,financial report
firewall,firewall
control flexible,flexible control
ventana flotante,floating window
prueba gratuita,free trial
geoespacial,geospatial
derechos de viaje internacional,global travel rights
política de asuntos gubernamentales,government affairs policy
funcionario del gobierno,government official
mayor acceso,greater access
programa de estudios sobre arquitectura y alfabetización ecológica,green literacy and architectural design curriculum
consentimiento del tutor,guardian consent
uso en el hogar,home use
derechos de uso en el hogar,home use rights
cinta de opciones horizontal,horizontal ribbon
Hot Fix,Hot Fix
Hotfix,Hotfix
IC,IC
i-drop,i-drop
IFC,IFC
imágenes,imagery
diseño industrial,industrial design
maquinaria industrial,industrial machinery
InfoCenter,InfoCenter
planeación de infraestructura,infrastructure planning
información privilegiada,insider trading
asistente de instalación,installation wizard
Instructables,Instructables
activo intangible,intangible asset
propiedad intelectual,intellectual property
PDF interactivo,interactive PDF
interoperabilidad,interoperability
aplicación para iPad,iPad app
iPDF,iPDF
base de conocimientos,knowledge base
fuerzas del orden público,law enforcement
LEED,LEED
avisos legales y marcas registradas,legal notices & trademarks
responsabilidad,liability
contrato de licencia,license agreement
herramientas para la gestión de licencias,license management tool
plan de mantenimiento,maintenance plan
contrato de plan de mantenimiento,maintenance plan contract
cliente de plan de mantenimiento,maintenance plan customer
lista de admisión para pasar de mantenimiento a suscripción,maintenance to subscription eligibility list
manufactura,manufacturing
fondo para el desarrollo de mercado,market development fund
marketing,marketing
biblioteca de materiales,material library
MDF,MDF
ingeniería mecánica,mechanical engineering
medios y entretenimiento,media & entertainment
Media & Entertainment Collection,Media & Entertainment Collection
aplicación móvil,mobile app
monitorear,monitor
oferta de Cambio a suscripción,Move to Subscription offer
licencia de varios puestos,multi-seat license
licencia autónoma de varios puestos,multi-seat stand-alone license
multiusuario,multi-user
acceso multiusuario,multi-user access
licencia multiusuario,multi-user license
multianual,multi-year
contrato de suscripción multianual,multi-year subscription contract
NAS,NAS
barra de herramientas de navegación,navigation toolbar
licencia de red,network license
NLM,NLM
One Team 360,One Team 360
One Team Conference,One Team Conference
en línea,online
OTC,OTC
folleto de información general,overview brochure
video de información general,overview video
flecha del panel,panel arrow
socio,partner
Guía del programa Partner Advantage Program,Partner Advantage Program Guide
Partner Center,Partner Center
servicios y productos para socios,partner products and services
pago por demanda,pay as you go
sanción,penalty
recomendaciones de desempeño,performance recommendations
datos personales,personal data
política,policy
contribución política,political contribution
Plan Preferencial Plus,Preferred Plus Plan
lista de productos que cumplen los requisitos para el uso de versiones anteriores,previous version eligible product list
derechos de versiones anteriores,previous version rights
versiones anteriores,previous versions
precio del cambio,price to switch
privacidad,privacy
declaración de privacidad,privacy statement
manufactura de procesos,process manufacturing
adquisiciones,procurement
centro de productos,product center
Product Design & Manufacturing Collection,Product Design & Manufacturing Collection
desarrollo de productos,product development
información del producto,product information
resumen de productos,product summary
soporte de productos,product support
versión de prueba del producto,product trial
actualizaciones de producto,product upgrade
estudio de productividad,productivity study
PTV,PTV
Publisher 360,Publisher 360
barra de herramientas de acceso rápido,quick access toolbar
vista rápida,quick view
RasterDWG,RasterDWG
información relacionada,related information
vínculos relacionados,related links
productos relacionados,related products
eliminar,remove
renovar,renew
tarifa de renovación,renewal rate
informe de  renovación,renewal report
distribuidor,reseller
centro de recursos,resource center
rendimiento de la inversión,return on investment
pestaña contextual de cinta de opciones,ribbon contextual tab
programa de estudios sobre robótica,robotics curriculum
ROI,ROI
ventas,sales
Buscador de herramientas de ventas y marketing,Sales & Marketing Tools Finder
Sales Enablement Programs & Technology,Sales Enablement Programs & Technology
SDK,SDK
puesto,seat
SEPT,SEPT
licencias específicas de sesión,session specific licensing
licencia de un único puesto,single-seat license
usuario único,single-user
acceso de usuario único,single-user access
licencia de usuario único,single-user license
panel deslizable,slideout panel
política de redes sociales,social media policy
coordinador de software,software coordinator
kit de desarrollo de software,software development kit
actualización  del software,software upgrade
oferta especial para cambiar a suscripción,special offer to move to subscription
botón de expansión,split button
panel adhesivo,sticky panel
ingeniería estructural,structural engineering
centro de estudiantes,student center
suscribirse,subscribe
suscriptor,subscriber
número del contrato de suscripción,subscription contract number
lista de admisión para pasar de suscripción a suscripción,subscription to subscription eligibility list
suite,suite
cadena de suministros,supply chain
soporte y aprendizaje,support & learning
sustentabilidad,sustainability
taller de sustentabilidad,sustainability workshop
programa de estudios sobre diseño sostenible,sustainable design curriculum
cambiar de mantenimiento a suscripción,switch from maintenance to subscription
requisitos del sistema,system requirements
activo tangible,tangible asset
soporte técnico,tech support
Términos y condiciones,terms and conditions
Términos de servicio,terms of service
Condiciones de uso,terms of use
nivel,tier
consejos y trucos,tips and tricks
kit de herramientas,toolkit
conjunto de herramientas,toolset
aviso de privacidad del producto de prueba,trial product privacy notice
TrustedDWG,TrustedDWG
acoso ilegal,unlawful harassment
casos de uso,use cases
VAD,VAD
información valiosa,valuable insights
distribuidor de valor agregado,value added distributor
cinta de opciones vertical,vertical ribbon
vicepresidente,vice president
ViewCube,ViewCube
infracción,violation
renuncia,waiver
aplicación web,web app
webcast,webcast
WikiHelp,Wiki Help
asistente,wizard
flujos de trabajo,workflows
casos de uso y flujos de trabajo,workflows & use cases
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
AutoCAD 360,AutoCAD 360
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Configurator 360,Configurator 360
FeatureCAM,FeatureCAM
Fusion 360,Fusion 360
Fusion Lifecycle,Fusion Lifecycle
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HSMWorks,HSMWorks
HSMWorks for SOLIDWORKS,HSMWorks for SOLIDWORKS
Inventor,Inventor
Inventor LT,Inventor LT
Inventor LT Suite,Inventor LT Suite
Inventor Professional,Inventor Professional
Nastran,Nastran
Nastran In-CAD,Nastran In-CAD
Netfabb,Netfabb
PowerInspect,PowerInspect
PowerMill,PowerMill
PowerShape,PowerShape
Simulation CFD 3D Viewer,Simulation CFD 3D Viewer
Simulation CFD Viewer,Simulation CFD Viewer
TinkerBox,TinkerBox
Vault Basic,Vault Basic
Vault Professional,Vault Professional
Vault Workgroup,Vault Workgroup
VRED,VRED
VRED Design,VRED Design
VRED Presenter,VRED Presenter
VRED Professional,VRED Professional
VRED Server,VRED Server
AutoCAD,AutoCAD
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
Design Review,Design Review
fps,fps
3ds Max,3ds Max
3ds Max Design,3ds Max Design
Filmbox,Filmbox
MatchMover,MatchMover
Maya,Maya
Maya LT,Maya LT
Meshmixer,Meshmixer
MUD,MUD
