source,target
3D printer,3B yazıcı
ACE,ACE
activation code,aktivasyon kodu
add-in,eklenti
ADI,ADI
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
aerospace,havacılık
AIA,AIA
alpha channel,alfa kanalı
ambient color,ortam rengi
ambient temperature,ortam sıcaklığı
American Institute of Architects,Amerikan Mimarlar Enstitüsü
anchor,yer işareti
anchor point,bağlantı noktası
angle,açı
angle constraint,açı sabiti
anti-aliasing,kenar kırıklarını giderme
API,API
App Store,App Store
AppFrame,AppFrame
Application Programming Interface,uygulama programı arayüzü
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","mimarlık, mühendislik ve inşaat"
ASM,ASM
aspect ratio,en boy oranı
assembly,derleme
asset,varlık
ATC,ATC
AUGI,AUGI
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,Autodesk Yetkili İş Ortağı
Autodesk Authorized Training Center,Autodesk Yetkili Eğitim Merkezi
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk Certification,Autodesk Sertifikasyon
Autodesk Certified logo,Autodesk Onaylı Logosu
Autodesk Certified Professional,Autodesk Onaylı Uzmanlar
Autodesk Consulting,Autodesk Danışmanlık
Autodesk Content Service,Autodesk Content Service
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Geliştirici Ağı
Autodesk Digital Entertainment Creation solution,Autodesk Digital Entertainment Creation çözümleri
Autodesk Download Manager,Autodesk İndirme Yöneticisi
Autodesk Education Community,Autodesk Eğitim Topluluğu
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk FLUX Design Competition,Autodesk FLUX Tasarım Yarışması
Autodesk ID,Autodesk ID
Autodesk iiko Experience,Autodesk iiko Deneyimi
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Laboratuvarları
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
