source,target
3D mesh primitive,كائن بدائي للشبكة ثلاثية الأبعاد
3D Mini-map,خريطة مصغرة ثلاثية الأبعاد
3D Move gizmo,أداة التحريك ثلاثية الأبعاد
3D Rotate gizmo,أداة التدوير ثلاثية الأبعاد
3D Scale gizmo,أداة رؤية ثلاثية الأبعاد
abutment,أداة داعمة
account administrator,مسؤول الحساب
Activity Gantt View,عرض مخطط Gantt للنشاط
aggregate view,عرض مجمع
air handler,معالج الهواء
Airtable,Airtable
aligned section view,عرض مقطع محاذي
alignment geometry point,نقطة هندسة المحاذاة
alignment offset,إزاحة المحاذاة
ALKIS,ALKIS
ampacity,سعة التيار
analemma,خط الحركة السنوي للشمس
analytical brace,الدعم التحليلي
analytical floor,عنصر السطح التحليلي
analytical surface,السطح التحليلي
angle of deflection,زاوية الانحراف
angular speed,السرعة الزاويّة
annotation,تعليق
anti-shrinkage reinforcement,تسليح مقاوم للانكماش
apparent power,القدرة الظاهرية
appearance style,نمط المظهر
approver,مسؤول المراجعة والاعتماد
arc-chord distance,المسافة بين القوس والوتر
ArchiCAD model,نموذج ArchiCAD
architectural floor,الطابق المعماري
ASBD,ASBD
ASHRAE fitting,وصلة وفق معايير ASHRAE
asset library,مكتبة الأصول
ATIL,ATIL
attachment,مرفق
AutoCAD model,نموذج AutoCAD
Autodesk Image Library,مكتبة صور Autodesk
average end area,متوسط المساحة النهائية
azimuth,السمت
backsight,الخلفية
ball in court,المسؤولية الآن على الطرف الآخر
base family,مجموعة الأساس
base layer,طبقة الأساس
basemap,خريطة الأساس
BCA,BCA
BCF,BCF
bearing wall,جدار حامل
bend diameter,قطر الانحناء
bent bar,قضيب منحني
billing period,فترة الفوترة
BIM object,كائن BIM
bisymmetric,ثنائي التماثل
bloss,منحنى بلوس
borrower,مقترض
box girder,الجسر الصندوقي
branch circuit,دائرة فرعية
brick veneer,كسوة الطوب
brushed aluminium,ألومنيوم مصقول
budget transfer,تحويل الميزانية
building common area,منطقة مشتركة في المبنى
building footprint,مساحة المبنى
building level,مستوى المبنى
built-up roof,سقف المبني
bulge,ارتفاع المنحنى
burnishing,تلميع
business units,وحدات الأعمال
butt,الربط بين الحوائط
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,مجرى الكابلات
CADmep,CADmep
callout markup,علامة توضيحية
callout tag,علامة تنبيه
camera-centric,مرتكز على الكاميرا
cant,الميلان
cant gradient,تدرج الميلان
cant view,عرض الميلان
cap,غطاء
cartoon set,مجموعة الرسومات التوضيحية
casement,نافذة مفصلية
catch basin,حوض التصريف
catchment,حوض
catchment area,منطقة حوض التجميع
catchment location,مكان حوض التجميع
cavity wall,جدار مجوف
CDE,بيئة البيانات المشتركة
center line,خط المنتصف
center mark,علامة المنتصف
ceramic tile,بلاط سيراميك
change analysis,تحليل التغيير
Changes tool,أداة التغييرات
characteristic strength,القوة المميزة
Cipolletti,Cipolletti
clash group,مجموعة العناصر المتعارضة
clash service,خدمة كشف العناصر المتعارضة
clerestory,نافذة علوية
clip volume,حجم القفل
cloud model,نموذج السحابة
code combination,مجموعة الرموز
cold water fixture unit,وحدة قياس تدفق المياه الباردة
colinear,نقاط تقع على خط مستقيم واحد
collinear,نقاط تقع على خط مستقيم واحد
composition roof,سقف مُركب
compound curve,منحنى مركب
compressive strength,قوة تحمل الضغط
concentrated force,قوة مركزة
conceptual energy analysis,تحليل الطاقة المفاهيمي
conceptual mass,الكتلة المفاهيمية
condensate drain,مصرف التكثيف
conduit,أنبوب
conduit connector,موصل الأنبوب
conduit fitting,توصيل الأنبوب
connector,موصل
constraint element,عنصر القيد
constructability modeling,نمذجة إمكانية البناء
content awareness,الوعي بالمحتوى
content library,مكتبة المحتوى
content pack,حزمة المحتوى
contingency,الاحتياطي
contour label,علامة الحدود
contracted,متقلّص
contributor,مساهم
convection load,حمل الحمل الحراري
convex,محدب
coordination space,مساحة التنسيق
cope,تقليم
COR,طلب تغيير
corbel,عنصر دعم الوزن
co-reviewer,مراجع مشارك
corridor section,قسم الممر
cost impact,تأثير التكلفة
cost management,إدارة التكاليف
cost payment application,تطبيق دفع التكلفة
count takeoff,كشف العدد
country kit,مجموعة أدوات محلية
