source,target
adult Tinkercad account,Tinkercad-account voor volwassenen
analytical surface,analytisch oppervlak
Autodesk Masters award,Autodesk Masters-award
Autodesk Masters Program,Autodesk Masters-programma
Autodesk Partner,Autodesk-partner
axle,as
blend surface,mengoppervlak
brickify,brickify
cel shading,cel-inkleuring
Common Core,Common Core
Configurator 360,Configurator 360
control vertices hull,CV-omhulsel
COPPA,COPPA
CV,CV
CV hull,CV-omhulsel
DPI,DPI
DSS,DSS
EDM,EDM
educator account,docentaccount
flat shading,Flat Shading
flood solution,oplossing tegen overstromingen
focal plane,focusvlak
free orbit,vrij rondcirkelen
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HSV,HSV
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
ISTE,ISTE
language pack,taalpakket
markup,markering
model translation,modelvertaling
moderator,moderator
New Features Workshop,Workshop over nieuwe functies
NGSS,NGSS
organic modeling,organische modellering
parent account,ouderaccount
planar face,planair vlak
Pro,Pro
shape,vorm
sketch edge,rand schetsen
student design,design van student
surface normal,oppervlakteloodlijn
Thick Client,Thick Client
Thin Client,Thin Client
tonemap method,tonemappingmethode
underlay,Underlay
Vault Workgroup,Vault Workgroup
