source,target
1-year subscription,abbonamento annuale
30-day trial,versione di prova di 30 giorni
3D,3D
3D printer,stampante 3D
3D printing,stampa 3D
Accelerate Better Design,Progetta meglio e più velocemente
acceleration,accelerazione
Account Management,Gestione account
ACE,ACE
ACI,ACI
activation code,codice di attivazione
Activation Limit Reached,Limite di attivazioni raggiunto
activation scenario,scenario di attivazione
active contract,contratto attivo
Active Directory,Active Directory
active rental plan,piano di noleggio attivo
activity feed,feed attività
Activity Monitor,Activity Monitor
Add new payment method,Aggiungi nuovo metodo di pagamento
add-in,modulo aggiuntivo
additive manufacturing,produzione additiva
add-on,componente aggiuntivo
ADI,ADI
AdLM,AdLM
Administrative Tools,Strumenti di amministrazione
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Illuminanza avanzata
advertise,pubblicizzare
AEC,AEC
aerospace,aerospaziale
Aligned Marketing Program,Aligned Marketing Program
alpha channel,canale alfa
Alternative Distribution Methods,Metodi di distribuzione alternativi
ambient color,colore ambiente
ambient occlusion,occlusione ambientale
ambient temperature,temperatura ambiente
amendment,emendamento
American Institute of Architects,American Institute of Architects
AMP,AMP
anchor,ancoraggio
anchor point,punto di ancoraggio
angle,angolo
angle constraint,vincolo angolare
annealing,ricottura
Announcements,Annunci
anti-aliasing,anti-aliasing
anti-boycott,antiboicottaggio
anti-corruption,anticorruzione
anxiety question,domande critiche
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,Contratto di licenza con l'utente finale di App Store
AppFrame,AppFrame
APPID,ID applicazione
Apple App Store,App Store di Apple
Application Engineer,Application Engineer
application ID,ID applicazione
Application Programming Interface,Application Programming Interface
Architect's Supplemental Instruction,Istruzioni aggiuntive dell’architetto
Architectural Supplemental Instructions,Istruzioni aggiuntive dell’architetto
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","architettura, ingegneria e costruzioni"
array,array
ASIs,ASI
Ask Autodesk,Ask Autodesk
ASM,ASM
aspect ratio,proporzioni
assembly,assieme
asset,asset
ATC,ATC
ATC Agreement,Contratto ATC
ATC Global Program Guide,Guida al programma ATC globale
ATC Locator,Trova un ATC
ATC Online Evaluation System,Sistema di valutazione online ATC
ATC Site Enrolment and Business Plan Form,Modulo di iscrizione sito ATC e Business plan
attach rate,tasso di adesione
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authentication,autenticazione
authorized academic partner,partner accademico autorizzato
authorized partner,partner autorizzato
authorized reseller,rivenditore autorizzato
Autocast,Autocast
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,Autodesk Academic Value Added Reseller
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Analytics,programma di analisi Autodesk
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk App Store Verified Download,Download verificato in Autodesk App Store
Autodesk assessment test,test di valutazione Autodesk
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Authorized Academic Partner,partner accademico autorizzato Autodesk
Autodesk authorized reseller,rivenditore autorizzato Autodesk
Autodesk Authorized Training Center,Centro di formazione autorizzato Autodesk
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,Blog BIM and Beam
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum","Programma di studi Autodesk BIM per la gestione dell'architettura, dell'ingegneria e delle costruzioni"
Autodesk BIM Transformation Services,Autodesk BIM Transformation Services
Autodesk Bronze reseller,rivenditore Bronze Autodesk
Autodesk Building Engineering Playbook,Guida di supporto Autodesk per l'ingegneria edile
Autodesk Building YouTube Channel,canale YouTube Autodesk Building Solutions
Autodesk Business Center,Autodesk Business Center
Autodesk Business Value Methodology,Metodologia del valore commerciale di Autodesk
Autodesk carbon footprint,emissioni di anidride carbonica prodotte da Autodesk
Autodesk Certification,certificazione Autodesk
Autodesk Certification Training,formazione per la certificazione Autodesk
Autodesk Certified Instructor program,programma Autodesk Certified Instructor
Autodesk Certified logo,logo Autodesk Certified
Autodesk Certified Professional,professionista certificato Autodesk
Autodesk Certified User program,programma Utente certificato Autodesk
Autodesk Channel Branding Guidelines,Linee guida per il branding di canale Autodesk
Autodesk Channel Sales Manager,Autodesk Channel Sales Manager
Autodesk Channel Team,Autodesk Channel Team
Autodesk Classroom Training,Autodesk Classroom Training
Autodesk Clean Tech Partner Program,Autodesk Clean Tech Partner Program
Autodesk Collaboration and Data Management Services,Autodesk Collaboration and Data Management Services
Autodesk Collaborative Project Management Solutions,soluzioni Autodesk per la gestione di progetto condivisa
Autodesk Compliance Program,Autodesk Compliance Program
Autodesk Construction Magazine,Autodesk Construction Magazine
Autodesk Consulting,Autodesk Consulting
Autodesk Consulting Specialization Program,Autodesk Consulting Specialization Program
Autodesk Content Service,Autodesk Content Service
Autodesk Content Syndication Service,servizio Autodesk Content Syndication
Autodesk Creative Commons,Autodesk Creative Commons
Autodesk Creative Commons license,licenza Autodesk Creative Commons
Autodesk Customer Engagement Program,programma Autodesk Customer Engagement
Autodesk Customer Experience Team,Autodesk Customer Experience Team
Autodesk Customer Involvement Program,Programma Partecipazione attiva Autodesk
Autodesk Customer Satisfaction Program,programma Autodesk Customer Satisfaction
Autodesk Customer Service representative,addetto al Servizio clienti Autodesk
Autodesk Customer Support,Supporto clienti Autodesk
Autodesk data management tools,strumenti di gestione dei dati Autodesk
Autodesk Design Academy,ADA
Autodesk Design and Creation Suites,Autodesk Design Suite e Creation Suite
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Institute,Autodesk Design Institute
Autodesk Design Package,Autodesk Design Package
Autodesk DevDays Conference,Autodesk DevDays Conference
Autodesk Developer Network,Autodesk Developer Network
Autodesk Developer Network Open,ADN Open
Autodesk Digital Entertainment Creation solution,soluzioni Autodesk per Digital Entertainment Creation
Autodesk Digital Magazine,Autodesk Digital Magazine
Autodesk Digital STEAM Workshop,Autodesk Digital STEAM Workshop
Autodesk Distributor Agreement,Contratto per distributori Autodesk
Autodesk Education,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Autodesk Education Curriculum,Programma di studi Autodesk Education
Autodesk Education Suite for Architecture & Engineering,Autodesk Education Suite per l'architettura e l'ingegneria
Autodesk Education Suite for Civil & Structural Engineering,Autodesk Education Suite per l'ingegneria civile e la progettazione strutturale
Autodesk Education Suite for Industrial Design,Autodesk Education Suite per la progettazione industriale
Autodesk Education Suite for Mechanical Engineering,Autodesk Education Suite per l'ingegneria meccanica
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Engineer-to-Order Services,Autodesk Engineer-to-Order Services
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk flex token,Token flex Autodesk
Autodesk FLUX Design Competition,Autodesk FLUX Design Competition
Autodesk forum,forum di Autodesk
Autodesk Gallery,Autodesk Gallery
Autodesk Gold partner,partner Gold Autodesk
Autodesk ID,ID Autodesk
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk in the News,Autodesk in the News
Autodesk Industry Careers Framework for Games and Animation,Autodesk Industry Careers Framework for Games and Animation
Autodesk Infrastructure Solutions,Autodesk Infrastructure Solutions
Autodesk Inside Sales Team,team delle vendite interno di Autodesk
Autodesk Installation Help,Guida all'installazione Autodesk
Autodesk IPv4 License Manager for Mac,Autodesk IPv4 License Manager for Mac
Autodesk IPv6 License Manager for Mac,Autodesk IPv6 License Manager for Mac
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
