source,target
analytisch oppervlak,analytical surface
as,axle
Autodesk Masters-award,Autodesk Masters award
Autodesk Masters-programma,Autodesk Masters Program
Autodesk-partner,Autodesk Partner
brickify,brickify
cel-inkleuring,cel shading
Common Core,Common Core
Configurator 360,Configurator 360
COPPA,COPPA
CV,CV
design van student,student design
docentaccount,educator account
DPI,DPI
DSS,DSS
EDM,EDM
Flat Shading,flat shading
focusvlak,focal plane
Helius Composite,Helius Composite
Helius PFA,Helius PFA
HSV,HSV
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
ISTE,ISTE
markering,markup
mengoppervlak,blend surface
modelvertaling,model translation
moderator,moderator
NGSS,NGSS
oplossing tegen overstromingen,flood solution
oppervlakteloodlijn,surface normal
organische modellering,organic modeling
ouderaccount,parent account
planair vlak,planar face
Pro,Pro
rand schetsen,sketch edge
taalpakket,language pack
Thick Client,Thick Client
Thin Client,Thin Client
Tinkercad-account voor volwassenen,adult Tinkercad account
tonemappingmethode,tonemap method
Underlay,underlay
Vault Workgroup,Vault Workgroup
vorm,shape
vrij rondcirkelen,free orbit
Workshop over nieuwe functies,New Features Workshop
