source,target
3D Mini-map,mini-carte 3D
account administrator,administrateur de compte
ALKIS,ALKIS
approver,approbateur
attachment,pièce jointe
bid package,dossier d'appel d'offres
billing period,période de facturation
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
budget payment application,demande de paiement budgétaire
callout markup,annotation de référence
CDE,EDC
change order,demande de modification
clash group,groupe de conflits
clash service,détection automatique de conflit
cloud model,modèle nuagique
Content Awareness,Reconnaissance de contenu
contingency,contingence
coordination space,espace de coordination
cost impact,impact financier
cost management,gestion des coûts
cost payment application,demande de paiement du coût
daily log,journal quotidien
Dark Sky,Dark Sky
dashboard,tableau de bord
data center,centre de données
date picker,sélecteur de date
document log,journal de documents
Document Management,Gestion de document
Domo,Domo
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
earthworks,excavation et terrassement
ellipse segment,segment ellipse
Forms,Formulaires
general contractor,entrepreneur général
general contractor company,société d'entrepreneur général
hypermodeling,hypermodélisation
ice giants,géantes de glace
initiator,initiateur
issue,problème
jobsite photos,photos de chantier
labor and workforce report,rapport sur la main-d'œuvre et les effectifs
main contract,contrat principal
markup,annotation
model alignment,alignement de modèles
node,noeud
owner changes,modifications du propriétaire
Piranesi EPix,Piranesi EPix
power collaborator,collaborateur avancé
primary model,modèle primaire
progress photos,photos d'avancement
project administrator,administrateur de projet
push pin,punaise
pushpin,punaise
reviewer,réviseur
RFI custom field,champ QT personnalisé
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
role,rôle
schedule of values,liste des valeurs
section plane,plan de coupe
signature image,image de la signature
SketchUp,SketchUp
specification,spécification
string field,champ de chaîne
Structural Analysis for Revit,Structural Analysis for Revit
submittal,soumission
supplier change order,demande de modification du fournisseur
Team Space,espace d'équipe
template,modèle
TimeLiner,TimeLiner
Tinkerplay,Tinkerplay
transmittal title,titre du bordereau de transmission
upstream budget change order,demande de modification budgétaire en amont
user research,recherche d'utilisateur
Vehicle Tracking,Vehicle Tracking
viewer,visualiseur
XDRef,XDRef
