source,target
3D,3D
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
Academia de animación de Autodesk,Autodesk Animation Academy
Acceso a datos de Fusion,Fusion Data Access
acceso a la suscripción desde el producto,in-product subscription access
acceso de un solo usuario,single-user access
acceso multiusuario,multi-user access
ACE,ACE
aceleración,acceleration
aceleración de hardware,hardware acceleration
ACI,ACI
activador de objetos,object enabler
Active Directory,Active Directory
actualización de software,software upgrade
actualización del producto,product upgrade
actualizar,refresh
Actualizar perfil,Update your profile
Actualizar su licencia,Upgrade your license
Acuerdo de ATC,ATC Agreement
acuerdo de confidencialidad,non-disclosure agreement
Acuerdo de distribuidor de Autodesk,Autodesk Distributor Agreement
Acuerdo de distribuidor de valor añadido de Autodesk,Autodesk Value Added Reseller Agreement
acuerdo de investigación del cliente,customer research agreement
acuerdo de licencia,license agreement
Acuerdo de licencia de software de Autodesk,Autodesk Software License Agreement
Acuerdo de licencia de usuario final de App Store,app store end user license agreement
Acuerdo de licencia y servicios,License and Services Agreement
acuerdo de nivel de servicio,Service Level Agreement
acuerdo de versiones preliminares de productos,Pre-Release Products Agreement
acuerdo marco de servicios,master services agreement
acumular,roll over
ACV,LCA
adaptador de red,network adapter
adaptador de vídeo,video adapter
adaptador Ethernet,Ethernet adapter
adaptador gráfico,graphics adapter
ADI,ADI
AdLM,AdLM
administración de activos de software,software asset management
Administración de contratos,Contract Administration
Administración de datos de procesos en curso,Work In Process Data Management
administración de licencias,license management
administración de recursos digitales,Digital Asset Management
administrador de cálculos de simulación,Simulation Compute Manager
administrador de contratos,Contract Administrator
administrador de datos de fabricación,fabrication data manager
Administrador de estilos de cota,Dimension Style Manager
Administrador de licencia individual,Single License Manager
administrador de licencias,license manager
Administrador de licencias con bloqueo mediante software,Softlock License Manager
Administrador de licencias de Autodesk,Autodesk License Manager
Administrador de licencias de CLIC,CLIC license manager
Administrador de licencias de red,Network License Manager
Administrador de recuperación de dibujos,Drawing Recovery Manager
Administrador de tareas,Task Manager
Administrador de tareas de Windows,Windows Task Manager
Administrador del equipo,Team Administrator
Administrar plan de renovación automática,Manage Auto-Renewal Plan
ADN,ADN
ADP,ADP
adquisición de datos,data acquisition
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
agencia gubernamental,governmental agency
agente de soporte,support agent
agente de soporte de Autodesk,Autodesk support agent
agente experto en soporte técnico de Autodesk,senior Autodesk support agent
agente virtual,virtual agent
AICO,AECO
Ajustador de rendimiento,Performance Tuner
ajustar,snap
ajuste de datos,data fitting
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Almacenamiento conectado a la red,Network Attached Storage
almacenamiento de archivos,file vaulting
almacenamiento en la nube,cloud storage
alquiler,rental
Alta calidad visual,High Visual Quality
American Institute of Architects,American Institute of Architects
amortización,payback
Añadir nuevo método de pago,Add new payment method
análisis ad hoc,ad hoc analysis
análisis de Autodesk,Autodesk Analytics
análisis de emisiones de carbono,carbon emission analysis
Análisis de estructura,Frame Analysis
Análisis de eventos de Autodesk,Autodesk Event Analysis
Análisis energético,Energy Analysis
análisis modal,modal analysis
análisis modal de fallos y efectos,failure mode and effects analysis
análisis preliminar,preliminary analysis
Análisis y diseño de drenajes integrados,Integrated Drainage Design & Analysis
Analizador de archivos de licencia,License File Parser
Analizador de licencias,License Parser
ancho de banda de red,network bandwidth
ancla,anchor
ángulo,angle
animación de cámara,camera animation
animación de herramienta,ToolClip
anti-aliasing,anti-aliasing
Anular suscripción,Unsubscribe
anunciar,advertise
Anuncios,Announcements
AOTC,AOTC
API,API
Aplicación de escritorio de próxima generación de Autodesk,NextGen Autodesk Desktop Application
aplicación de otros desarrolladores,third-party application
aplicación vertical,vertical application
aplicaciones de muestra,Sample Applications
App Store,App Store
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
aprendizaje,tutorial
aprendizaje a su propio ritmo,self-paced training
aprendizaje en vídeo,video tutorial
Aprendizaje y formación de Autodesk,Autodesk Learning and Education
aprovisionamiento,procurement
apto,qualifying
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
archivo central,central file
archivo compartido,workshared file
archivo de diario,journal file
archivo de forma,shape file
archivo de imagen principal,master image file
archivo de tipo de letra,font shape file
archivo ejecutable,executable file
archivo por lotes,batch file
área de trabajo,workspace
áreas de pérdida de alta presión,high-pressure loss area
"arquitectura, ingeniería y construcción","architecture, engineering and construction"
"Arquitectura, Ingeniería, Construcción y Operaciones","Architecture, Engineering, Construction, and Operations"
asequible,affordable
ASI,ASIs
asignación de créditos de nube,cloud credits allocation
asignación de texturas,texture mapping
asistencia de escritorio remoto,remote desktop assistance
asistente,wizard
asistente de instalación,installation wizard
Asistente de migración,Migration Assistant
Asistente para activación del producto,Product Activation Wizard
Asistente universal,Universal Assistant
ASM,ASM
Asociación Europea de Libre Comercio,European Free Trade Association
asociado certificado,Certified Associate
aspectos de seguridad no negociables,security non-negotiables
ATC,ATC
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
autenticación,authentication
autenticación multifactor,multi-factor authentication
"Autenticación, Autorización y Contabilidad","Authentication, Authorization and Accounting"
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD auténtico,genuine AutoCAD
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD including specialized toolsets,AutoCAD including specialized toolsets
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autocast,Autocast
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk Building Engineering Playbook,Autodesk Building Engineering Playbook
