source,target
3D mesh primitive,primitiva de malla 3D
3D Mini-map,Minimapa 3D
3D Move gizmo,gizmo Desplazar 3D
3D Rotate gizmo,gizmo Girar 3D
3D Scale gizmo,gizmo Escala 3D
abutment,contrafuerte
ACC,ACC
account administrator,administrador de cuentas
aerial lift,elevador aéreo
aggregate View,vista conjunta
air handler,climatizador
Airtable,Airtable
aligned section view,vista de sección abatida
alignment geometry point,punto de geometría de alineación
alignment offset,desfase de alineación
ALKIS,ALKIS
ampacity,corriente máxima
analemma,analema
analytical brace,riostra analítica
analytical floor,suelo analítico
analytical surface,superficie analítica
angle of deflection,ángulo de desviación
angular speed,velocidad angular
annotation,anotación
anti-shrinkage reinforcement,armadura somera
APL,APL
apparent power,potencia aparente
appearance style,estilo de aspecto
approver,aprobador
arc-chord distance,distancia entre cuerda y arco
ArcGIS,ArcGIS
ArchiCAD model,modelo de ArchiCAD
architectural floor,planta arquitectónica
ASBD,ASBD
ASHRAE fitting,accesorio de ASHRAE
aspect,orientación
asset library,biblioteca de objetos
ATIL,ATIL
attachment,archivo adjunto
AUM team,equipo de AUM
AutoCAD model,modelo de AutoCAD
Autodesk Image Library,Biblioteca de imágenes de Autodesk
average end area,área final media
axis offset,desfase de ejes
azimuth,acimut
backsight,fijación de orientación hacia atrás
ball in court,destinatario de asignación
base family,familia base
base layer,capa base
basemap,mapa base
Batch Print,Batch Print
BCA,BCA
bearing,apoyo
bearing wall,muro de carga
bend diameter,diámetro de curvatura
bid package,paquete de licitación
billing period,periodo de facturación
BIM object,objeto BIM
bloss,Bloss
borrower,prestatario
bounding box,cuadro delimitador
box girder,jácena de cuadro
branch circuit,circuito de ramificación
brick veneer,revestimiento de ladrillo
Bridge,Puente
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
brushed,bruñido
brushed aluminium,aluminio bruñido
budget transfer,transferencia de presupuesto
building common area,área común del edificio
building footprint,perímetro de construcción
building level,nivel de edificio
building soil,terreno
built-up roof,cubierta compuesta
bulge,curvatura
burnishing,pulido
business units,unidades de negocio
butt,tope
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,bandeja de cables
CADmep,CADmep
callout markup,marca de revisión de llamada
callout tag,etiqueta de llamada
cant gradient,degradado de peralte
cap,remate
catch basin,sumidero
catchment,cuenca vertiente
catchment area,área de cuenca vertiente
catchment location,ubicación de cuenca vertiente
cavity wall,muro hueco
CDE,CDE
ceiling plan,plano de techo
center line,línea de centro
center mark,marca de centro
chamfer,chaflán
characteristic strength,resistencia característica
clash group,grupo de interferencias
clash service,servicio de detección de interferencias
clerestory,claraboya
clip volume,volumen de delimitación
code combination,combinación según norma
cold water fixture unit,unidad de instalación de agua fría
colinear,colineal
collinear,colineal
composition roof,cubierta sintética
compound curve,curva ovoide
compressive strength,resistencia a la compresión
Conceptual Energy Analysis,Análisis energético conceptual
conceptual mass,masa conceptual
condensate drain,drenaje de condensación
conduit,tubo
conduit fitting,unión de tubo
connector,conector
constraint element,elemento de restricción
constructability modeling,modelado de edificabilidad
Content Awareness,Sensibilidad al contenido
content library,biblioteca de contenido
content pack,paquete de contenido
contingency,contingencia
contour label,etiqueta de curva de nivel
convection load,carga de convección
convex,convexo
coordination space,espacio de coordinación
cope,recorte
corbel,ménsula
corridor,obra lineal
corridor section,sección de obra lineal
corridor section editor,Editor de secciones de obra lineal
cost impact,impacto de costes
cost management,administración de costes
cost payment application,solicitud de pago de costes
count takeoff,medición de número
