source,target
3B yazıcı,3D printer
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
abone,subscriber
aboneliğe geçiş için özel teklif,special offer to move to subscription
Aboneliğe Geçiş teklifi,Move to Subscription offer
Aboneliği kaldır,Unsubscribe
abonelik,subscription
abonelik aşırı kullanımı,subscription overuse
abonelik avantajları,subscription benefits
Abonelikten Aboneliğe Geçiş Uygunluk Listesi,Subscription to Subscription Eligibility List
ACE,ACE
açı,angle
açı sabiti,angle constraint
ADI,ADI
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC Bilgi Modeli,AEC Information Model
AECO,AECO
ağ adresi çeviricisi,network address translation
ağ lisansı,network license
Ağ Lisansı Raporlama Hizmeti,Network License Reporting Service
AIA,AIA
aktivasyon kodu,activation code
alfa kanalı,alpha channel
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
altyapı planlama,infrastructure planning
amaca özel analiz,ad hoc analysis
Amerikan Mimarlar Enstitüsü,American Institute of Architects
API,API
App Store,App Store
AppFrame,AppFrame
araç seti,toolset
arama etiketi,search tag
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
aşamalı ürün geliştirmeleri,incremental product enhancement
ASM,ASM
ATC,ATC
AUGI,AUGI
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk Bilişim Platformu,Autodesk Compute Platform
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk Bulut Standartları,Autodesk Cloud Standards
Autodesk Büyüme Pazarlaması,Autodesk Growth Marketing
