source,target
30-dagers prøveversjon,30-day trial
3D-skriver,3D printer
ACE,ACE
ACI,ACI
aktiveringskode,activation code
tillegg,add-in
ADI,ADI
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
alfakanal,alpha channel
farge i indirekte lys,ambient color
omgivelsestemperatur,ambient temperature
ankerpunkt,anchor point
vinkelrestriksjon,angle constraint
anti-aliasing,anti-aliasing
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
programmeringsgrensesnitt,application programming interface
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
ASM,ASM
størrelsesforhold,aspect ratio
sammensetning,assembly
objekt,asset
ATC,ATC
AUGI,AUGI
autorisert partner,authorized partner
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk-evalueringstester,Autodesk assessment test
Autodesk Asset Locator,Autodesk Asset Locator
autorisert Autodesk-forhandler,Autodesk authorized reseller
autorisert Autodesk-opplæringssenter,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk-bloggen BIM and Beam,Autodesk BIM and Beam Blog
Autodesk Bronze-forhandlere,Autodesk Bronze reseller
Autodesk Building YouTube-kanal,Autodesk Building YouTube Channel
Autodesk-sertifisering,Autodesk Certification
Autodesk-program for sertifisering av instruktører,Autodesk Certified Instructor program
Autodesk-sertifisert logo,Autodesk Certified logo
Autodesk-sertifiserte yrkesutøvere,Autodesk Certified Professional
Autodesk-løsninger innen prosjektledelse i samarbeid,Autodesk Collaborative Project Management Solutions
Autodesk-samsvarsprogram,Autodesk Compliance Program
Autodesk Consulting,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Autodesk Design Academy,Autodesk Design Academy
Autodesk-pakker for design og konstruksjon,Autodesk Design and Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Digital Entertainment Creation-løsninger,Autodesk Digital Entertainment Creation solution
Autodesk Digital Prototyping-forum,Autodesk Digital Prototyping Forum
