source,target
primitiva de malla 3D,3D mesh primitive
Minimapa 3D,3D Mini-map
gizmo Desplazar 3D,3D Move gizmo
gizmo Girar 3D,3D Rotate gizmo
gizmo Escala 3D,3D Scale gizmo
contrafuerte,abutment
ACC,ACC
administrador de cuentas,account administrator
elevador aéreo,aerial lift
vista conjunta,aggregate View
climatizador,air handler
Airtable,Airtable
vista de sección abatida,aligned section view
punto de geometría de alineación,alignment geometry point
desfase de alineación,alignment offset
ALKIS,ALKIS
corriente máxima,ampacity
analema,analemma
riostra analítica,analytical brace
suelo analítico,analytical floor
superficie analítica,analytical surface
ángulo de desviación,angle of deflection
velocidad angular,angular speed
anotación,annotation
armadura somera,anti-shrinkage reinforcement
APL,APL
potencia aparente,apparent power
estilo de aspecto,appearance style
aprobador,approver
distancia entre cuerda y arco,arc-chord distance
ArcGIS,ArcGIS
modelo de ArchiCAD,ArchiCAD model
planta arquitectónica,architectural floor
ASBD,ASBD
accesorio de ASHRAE,ASHRAE fitting
orientación,aspect
biblioteca de objetos,asset library
ATIL,ATIL
archivo adjunto,attachment
equipo de AUM,AUM team
modelo de AutoCAD,AutoCAD model
Biblioteca de imágenes de Autodesk,Autodesk Image Library
área final media,average end area
desfase de ejes,axis offset
acimut,azimuth
fijación de orientación hacia atrás,backsight
destinatario de asignación,ball in court
familia base,base family
capa base,base layer
mapa base,basemap
Batch Print,Batch Print
BCA,BCA
apoyo,bearing
muro de carga,bearing wall
diámetro de curvatura,bend diameter
paquete de licitación,bid package
periodo de facturación,billing period
objeto BIM,BIM object
Bloss,bloss
prestatario,borrower
cuadro delimitador,bounding box
jácena de cuadro,box girder
circuito de ramificación,branch circuit
revestimiento de ladrillo,brick veneer
Puente,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
bruñido,brushed
aluminio bruñido,brushed aluminium
transferencia de presupuesto,budget transfer
área común del edificio,building common area
perímetro de construcción,building footprint
nivel de edificio,building level
terreno,building soil
cubierta compuesta,built-up roof
curvatura,bulge
pulido,burnishing
unidades de negocio,business units
tope,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
bandeja de cables,cable tray
CADmep,CADmep
marca de revisión de llamada,callout markup
etiqueta de llamada,callout tag
degradado de peralte,cant gradient
remate,cap
sumidero,catch basin
cuenca vertiente,catchment
área de cuenca vertiente,catchment area
ubicación de cuenca vertiente,catchment location
muro hueco,cavity wall
CDE,CDE
plano de techo,ceiling plan
línea de centro,center line
marca de centro,center mark
chaflán,chamfer
resistencia característica,characteristic strength
grupo de interferencias,clash group
servicio de detección de interferencias,clash service
interferencia,clash
claraboya,clerestory
volumen de delimitación,clip volume
combinación según norma,code combination
unidad de instalación de agua fría,cold water fixture unit
cubierta sintética,composition roof
curva ovoide,compound curve
resistencia a la compresión,compressive strength
Análisis energético conceptual,Conceptual Energy Analysis
masa conceptual,conceptual mass
drenaje de condensación,condensate drain
tubo,conduit
unión de tubo,conduit fitting
conector,connector
elemento de restricción,constraint element
modelado de edificabilidad,constructability modeling
Sensibilidad al contenido,Content Awareness
biblioteca de contenido,content library
paquete de contenido,content pack
contingencia,contingency
etiqueta de curva de nivel,contour label
carga de convección,convection load
convexo,convex
espacio de coordinación,coordination space
recorte,cope
ménsula,corbel
obra lineal,corridor
sección de obra lineal,corridor section
Editor de secciones de obra lineal,corridor section editor
impacto de costes,cost impact
administración de costes,cost management
solicitud de pago de costes,cost payment application
medición de número,count takeoff
kit de país,country kit
acuerdo convexo,crest curve
tubo intersecado,crossing pipe
bombeo,crown
carretera con bombeo,crowned roadway
CE,CS
directorio actual,current directory
panel de muro cortina,curtain panel
sistema de muro cortina,curtain system
muro cortina,curtain wall
marco de muro cortina,curtain wall frame
montante de muro cortina,curtain wall mullion
unidad de muro cortina,curtain wall unit
distancia de triangulación de curva,curve tessellation distance
curva espiral,curve-spiral
jácena personalizada,custom girder
velocidad de viento de arranque,cut-in speed wind
velocidad de viento de parada,cut-out speed wind
CWFU,CWFU
panel principal,dashboard
paso de luz diurna,daylight portal
cristal de aprovechamiento de luz diurna,daylighting glass
peso propio,dead load
DECDEG,DECDEG
tablero,deck
grado de urbanización,Degree Urbanization
grados/minutos/segundos,degrees minutes seconds
DEM,DEM
diagrama de demanda,demand diagram
factor de demanda,demand factor
diseño,design
informe de diseño,design report
vehículo patrón,design vehicle
Desktop Connector,Desktop Connector
difuso,diffuse
modelo digital de elevación,digital elevation model
modelo digital de terreno,digital terrain model
restricción por cota,DimConstraint
tipo de dirección,direction type
Lista de distribución,Distribution List
dll,DLL
DMS,DMS
documento,document
registro de documentos,document log
Gestión de documentos,Document Management
Documentos,Documents
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
red de drenaje,drainage network
grupo de dibujos,drawing group
ubicación de referencia de descenso,drop reference location
temperatura seca,dry bulb
placa de yeso laminado,drywall
DTM,DTM
conector de conducto,duct connector
regulador de conducto,duct damper
unión de conducto,duct fitting
aislamiento interior de conducto,duct lining
sistema de conductos,duct system
movimiento de tierra,earthworks
EDM,EDM
equipo eléctrico,electrical equipment
distanciómetro,electronic distance meter
elevación,elevation
eje de elevación,elevation axis
segmento de elipse,ellipse segment
muro incrustado,embedded wall
conector final,end connector
peralte de equilibrio,equilibrium cant
EVC,EVC
EVCE,EVCE
aire viciado,exhaust air
