source,target
30-day trial,testversie van 30 dagen
3D printer,3D-printer
ACE,ACE
ACI,ACI
activation code,activeringscode
add-in,invoegtoepassing
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
advertise,adverteren
AEC,AEC
aerospace,lucht- en ruimtevaart
alpha channel,alfakanaal
ambient color,omgevingskleur
ambient temperature,omgevingstemperatuur
anchor,anker
anchor base,fixeerpunt
anchor point,fixeerpunt
angle,hoek
angle constraint,hoekbeperking
anti-aliasing,anti-aliasing
AOTC,AOTC
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
Application Programming Interface,application programming interface
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","architectuur, engineering en bouw"
ASM,ASM
aspect ratio,hoogte-breedteverhouding
assembly,assemblage
asset,middel
ATC,ATC
AUGI,AUGI
authorized partner,geautoriseerde partner
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk assessment test,Autodesk-beoordelingstest
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,geautoriseerde Autodesk-reseller
Autodesk Authorized Training Center,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk Bronze reseller,Autodesk Bronze-reseller
Autodesk Building YouTube Channel,YouTube-kanaal Autodesk Building
Autodesk Certification,Autodesk-certificering
Autodesk Certified Instructor program,Autodesk Certified Instructor-programma
Autodesk Certified logo,Autodesk Certified-logo
Autodesk Certified Professional,Autodesk Certified Professional
Autodesk Clean Tech Partner Program,Autodesk Clean Tech Partner Program
Autodesk Collaborative Project Management Solutions,Autodesk Collaborative Project Management-oplossingen
Autodesk Compliance Program,Autodesk Compliance-programma
Autodesk Consulting,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Autodesk Customer Service representative,Autodesk-klantenservicemedewerker
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design and Creation Suites,Autodesk Design en Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Digital Entertainment Creation solution,Autodesk Digital Entertainment Creation Software
Autodesk Digital Prototyping Forum,Autodesk Digital Prototyping-forum
Autodesk Digital Prototyping solution,Autodesk Digital Prototyping-oplossing
Autodesk Download Manager,Autodesk Downloadmanager
Autodesk Education Community,Autodesk Education Community
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk forum,Autodesk-forum
Autodesk Gold partner,Autodesk Gold-partner
Autodesk ID,Autodesk-ID
Autodesk in the News,Autodesk in het nieuws
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Autodesk-launchPad
Autodesk Learning and Education,Autodesk Opleiding en onderwijs
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,Autodesk Legacy-programma
Autodesk License Manager,Autodesk License Manager
Autodesk Live,Autodesk Live
Autodesk Live Chat,Autodesk Live Chat
Autodesk Manufacturing Team,Autodesk-productieteam
Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,Autodesk Official Training Courseware
Autodesk Official Training Guides,Officiële trainingshandleidingen van Autodesk
Autodesk Online Store,Autodesk Online winkel
Autodesk Partner Manager,Autodesk Partnermanager
Autodesk Partner Portal,Autodesk Partnerportal
Autodesk Partner Program,Autodesk-partnerprogramma
Autodesk Partner Specializations,Autodesk-partnerspecialisaties
Autodesk Platinum partner,Autodesk Platinum-partner
Autodesk Premier Solutions Provider,Autodesk Premier Solutions Provider
Autodesk Privacy Statement,Autodesk Privacyverklaring
Autodesk Professional Excellence,Autodesk Professional Excellence
Autodesk Services and Support,Autodesk Services en ondersteuning
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Silver partner,Autodesk Silver-partner
Autodesk Software License Agreement,Autodesk-softwarelicentieovereenkomst
Autodesk solution for Digital Prototyping,Digital Prototyping-oplossing van Autodesk
Autodesk Store,Autodesk Store
Autodesk Streamline,Autodesk Streamline
Autodesk suite,Autodesk-suite
