source,target
30-day trial,30-dagars testversion
3D printer,3D-skrivare
ACE,ACE
activation code,aktiveringskod
add-in,tillägg
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
AEC Collection,AEC Collection
aerospace,flyg- och rymdindustrin
affordable,prisvärd
alpha channel,alfakanal
ambient color,färg i omgivningsljus
ambient temperature,omgivningstemperatur
anchor,fäste
anchor point,fästpunkt
angle,vinkel
angle constraint,vinkelbegränsning
AOTC,AOTC
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
Application Programming Interface,applikationsprogramgränssnitt
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","arkitektur, teknik och konstruktion"
ASM,ASM
ATC,ATC
AUGI,AUGI
authorized partner,auktoriserad återförsäljare
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk assessment test,Autodesks utvärderingstest
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,Autodesks auktoriserade återförsäljare
Autodesk Authorized Training Center,Autodesks auktoriserade utbildningscenter
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk Bronze reseller,Autodesk Bronze-återförsäljare
Autodesk Building YouTube Channel,YouTube-kanalen Autodesk Building
Autodesk Certification,Autodesk-certifiering
Autodesk Certified Instructor program,Autodesks program för instruktörscertifiering
Autodesk Certified logo,Autodesk Certified-logotyp
Autodesk Certified Professional,Autodesk Certified Professional
Autodesk Clean Tech Partner Program,Autodesks partnerprogram för ren teknik
Autodesk Collaborative Project Management Solutions,Autodesks lösningar för projektsamarbete
Autodesk Consulting,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Autodesk data management tools,Autodesks datahanteringslösningar
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Digital Entertainment Creation solution,Autodesk Digital Entertainment Creation-lösning
Autodesk Digital Prototyping Forum,Autodesks forum för digitala prototyper
Autodesk Digital Prototyping solution,Autodesks lösning för digitala prototyper
Autodesk Download Manager,Autodesk Download Manager
Autodesk Education Community,Autodesk Education Community
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk forum,Autodesks användarforum
