source,target
30-day trial,30-dagers prøveversjon
3D printer,3D-skriver
ACE,ACE
ACI,ACI
activation code,aktiveringskode
add-in,tillegg
ADI,ADI
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
alpha channel,alfakanal
ambient color,farge i indirekte lys
ambient temperature,omgivelsestemperatur
anchor point,ankerpunkt
angle constraint,vinkelrestriksjon
anti-aliasing,anti-aliasing
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
application programming interface,programmeringsgrensesnitt
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
ASM,ASM
aspect ratio,størrelsesforhold
assembly,sammensetning
asset,objekt
ATC,ATC
AUGI,AUGI
authorized partner,autorisert partner
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk assessment test,Autodesk-evalueringstester
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,autorisert Autodesk-forhandler
Autodesk Authorized Training Center,autorisert Autodesk-opplæringssenter
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,Autodesk-bloggen BIM and Beam
Autodesk Bronze reseller,Autodesk Bronze-forhandlere
Autodesk Building YouTube Channel,Autodesk Building YouTube-kanal
Autodesk Certification,Autodesk-sertifisering
Autodesk Certified Instructor program,Autodesk-program for sertifisering av instruktører
Autodesk Certified logo,Autodesk-sertifisert logo
Autodesk Certified Professional,Autodesk-sertifiserte yrkesutøvere
Autodesk Collaborative Project Management Solutions,Autodesk-løsninger innen prosjektledelse i samarbeid
Autodesk Compliance Program,Autodesk-samsvarsprogram
Autodesk Consulting,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design and Creation Suites,Autodesk-pakker for design og konstruksjon
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Digital Entertainment Creation solution,Autodesk Digital Entertainment Creation-løsninger
Autodesk Digital Prototyping Forum,Autodesk Digital Prototyping-forum
Autodesk Digital Prototyping solution,Autodesk Digital Prototyping-løsning
Autodesk Download Manager,Autodesks nedlastingsprogram
Autodesk Education,Autodesk-utdanning
Autodesk Education Community,Autodesk Education Community
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk forum,Autodesk-forum
Autodesk Gold partner,Autodesk Gold-partner
Autodesk ID,Autodesk ID
Autodesk in the News,Autodesk i nyhetene
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Learning and Education,Autodesk – opplæring og utdanning
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,Autodesk Legacy Program
Autodesk Manufacturing Team,Autodesk Manufacturing-team
Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Guides,Autodesks offisielle kurshåndbøker
Autodesk Online Store,Autodesks nettbutikk
Autodesk Partner Manager,Partnerleder i Autodesk
Autodesk Partner Portal,Autodesks partnerportal
Autodesk Partner Program,Autodesks partnerprogram
Autodesk Partner Specializations,Partnerspesialiseringer i Autodesk
Autodesk Platinum partner,Autodesk Platinum-partnere
Autodesk Premier Solutions Provider,leverandør av Autodesk Premier Solutions
Autodesk Privacy Statement,Autodesks personvernerklæring
Autodesk Professional Excellence,Autodesk Professional Excellence
Autodesk sales representative,Autodesk-selger
Autodesk Services and Support,Tjenester og brukerstøtte fra Autodesk
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Silver partner,Autodesk Silver-partnere
Autodesk Software License Agreement,Autodesks lisensavtale for programvare
Autodesk solution for Digital Prototyping,Autodesks løsning for digital prototyping
Autodesk Store,Autodesk-butikk
Autodesk Streamline,Autodesk Streamline
Autodesk suite,Autodesk-suite
Autodesk Training Center,Autodesk Training Center
Autodesk University,Autodesk University
Autodesk User Group International,Autodesk User Group International
automotive component design,komponentdesign til transportmidler
Backburner,Backburner
Baseline Features,Grunnleggende funksjoner
basic tooltip,grunnleggende verktøytips
BIM Knowledge Package,BIM-kunnskapspakke
blog,blogg
Brainshark,Brainshark
brightness,lysstyrke
building component,bygningskomponent
building engineering,bygningskonstruksjon
building product,produkter for bygg
case studies,case-studier
case study,case-studie
certification exam,sertifiseringseksamener
Certified Associate,Certified Associate
certified hardware,sertifisert maskinvare
channel partner,kanalpartner
Character Generator,Character Generator
cheat sheet,hjelpeark
cheatsheet,hjelpeark
clip plane,skjæreplan
clipping boundary,skjæregrense
closed end,lukket ende
cloud credits,skypoeng
cloud services,skybaserte tjenester
cloud unit,skyenhet
coarse,grov
codec,kodek
commercial license,kommersiell lisens
communication center,kommunikasjonssenter
companion product,følgeprodukt
comprehensive exam guide,omfattende eksamensveiledninger
concave,konkav
concept sketch,konseptskisse
construction manager,byggeleder
consulting system integrator partner,Consulting System Integrator Partner-program
consumer product,forbrukerprodukt
content source,innholdskilde
contextual tab,kontekstavhengig kategori
contract manager,kontraktadministrator
coordinate space,koordinatrom
coverage report,dekningsrapport
CPM,CPM
CRM,CRM
crossgrade,kryssoppgradering
cross-grade,kryssoppgradering
CSI,CSI
curricula,læreplan
customer gallery,kundegalleri
customer relationship management,kundebehandling
customer reviews,kundereferanser
customer showcase,kundeeksempel
customer stories,kundehistorier
customer success stories,suksesshistorier fra kunder
customer with a maintenance plan,kunde med vedlikeholdsavtale
data acquisition,innhenting av data
defense,forsvar
demo,demo
demo video,demovideo
design intent,designidé
design validation,designvalidering
design visualization,designvisualisering
