source,target
1 éves előfizetés,1-year subscription
30 napos próbaverzió,30-day trial
3D,3D
3D nyomtatás,3D printing
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A kevesebb több,Less is more
A legfontosabb előnyök,Key Benefits
A legfontosabb jellemzők,Key Features
A termék regisztrációja,Register Your Product
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
ACE,ACE
ACI,ACI
ad hoc elemzés,ad hoc analysis
adatgazdagítás,data enrichment
adatgravitáció,data gravity
adatkezelési központ,Trust Center
Adatkezelési nyilatkozat,Privacy Statement
adatrögzítés,data acquisition
adattár,data silo
additív gyártás,additive manufacturing
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC Collection,AEC Collection
AEC információs modell,AEC Information Model
AECO,AECO
ajánlás,testimonial
Ajánlott Plusz csomag,Preferred Plus Plan
aktív bérleti konstrukció,active rental plan
Aktiválási kód,activation code
alak- és helyzettűrésezési jel,geometric dimensioning and tolerancing symbol
alap eszköztipp,basic tooltip
alapdokumentumok,copy deck
alapigénylés,fund request
alapkezelés,fund management
alapvető építészeti tudományos oktatóanyag,Fundamentals of Architectural Science Supplement Curriculum
alapvető jellemzők,Baseline Features
Alapvető tervezési oktatóanyag,Design Basics Curriculum
alelnök,vice president
alfa csatorna,alpha channel
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
alkalmazásazonosító,application ID
Alkalmazásmérnök,Application Engineer
alkalmazásprogramozási felület,Application Programming Interface
állandó termékleírás,persistent product description
állapotellenőrzés,health check
Álláskeresés,Job Search
American Institute of Architects (Amerikai Építészek Intézete),American Institute of Architects
API,API
App Store,App Store
AppFrame,AppFrame
APPID,APPID
Árajánlatkérés,Quote Me Now
Arany fokozatú Autodesk-partner,Autodesk Gold partner
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
ASM,ASM
ATC,ATC
ATC globális programútmutató,ATC Global Program Guide
ATC online értékelési rendszer,ATC Online Evaluation System
ATC-helyszín regisztrációjára és üzleti terv benyújtására szolgáló űrlap,ATC Site Enrolment and Business Plan Form
ATC-kereső,ATC Locator
ATC-megállapodás,ATC Agreement
átfogó jelentés,coverage report
átfogó vizsgaútmutató,comprehensive exam guide
átlátszóság,transparency
Áttekintés,Overview
áttekintő prospektus,overview brochure
áttekintő videó,overview video
átvihető,roll over
AUGI,AUGI
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
AutoCorrect,AutoCorrect
Autodesk a hírekben,Autodesk in the News
Autodesk adatkezelési központ,Autodesk Trust Center
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk alkalmazotti vásárlási program,Autodesk Employee Purchase Program
Autodesk által minősített oktató,Autodesk Certified Instructor
Autodesk Animációs Akadémia,Autodesk Animation Academy
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam blog,Autodesk BIM and Beam Blog
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk BIM-áttérési szolgáltatások,Autodesk BIM Transformation Services
"Autodesk BIM-tananyag az építészeti, mérnöki és kivitelezési menedzsmenthez","Autodesk BIM for Architecture, Engineering and Construction Management Curriculum"
Autodesk Clean Tech partnerprogram,Autodesk Clean Tech Partner Program
Autodesk Cloud-szabványok,Autodesk Cloud Standards
Autodesk Compute Platform,Autodesk Compute Platform
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Content Service,Autodesk Content Service
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design és Creation csomagok,Autodesk Design and Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk DevDays konferencia,Autodesk DevDays Conference
Autodesk Developer Network Open,Autodesk Developer Network Open
Autodesk digitális magazin,Autodesk Digital Magazine
Autodesk digitális prototípus-készítési fórum,Autodesk Digital Prototyping Forum
Autodesk digitális prototípus-készítési megoldás,Autodesk Digital Prototyping solution
Autodesk digitális prototípus-készítési megoldása,Autodesk solution for Digital Prototyping
Autodesk digitális STEAM-workshop,Autodesk Digital STEAM Workshop
Autodesk digitális szórakoztatóipari megoldása,Autodesk Digital Entertainment Creation solution
Autodesk Drive,Autodesk Drive
Autodesk Education Community,Autodesk Education Community
Autodesk Education Experience,Autodesk Education Experience
Autodesk együttműködési és adatkezelési szolgáltatásai,Autodesk Collaboration and Data Management Services
Autodesk együttműködést segítő projektmenedzsment-megoldásai,Autodesk Collaborative Project Management Solutions
Autodesk élő csevegés,Autodesk Live Chat
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk építészeti és mérnöki oktatási csomagja,Autodesk Education Suite for Architecture & Engineering
Autodesk építőipari YouTube-csatornája,Autodesk Building YouTube Channel
Autodesk építőmérnöki és szerkezettervezői oktatási csomagja,Autodesk Education Suite for Civil & Structural Engineering
Autodesk értékesítési csapata,Autodesk Channel Team
Autodesk értékesítési márkahasználati irányelvei,Autodesk Channel Branding Guidelines
Autodesk értékesítési vezetője,Autodesk Channel Sales Manager
Autodesk fejlesztői hálózat,Autodesk Developer Network
Autodesk felhasználói élményért felelős csapata,Autodesk Customer Experience Team
Autodesk felkészülési teszt,Autodesk assessment test
Autodesk flex-token,Autodesk flex token
Autodesk FLUX tervezési verseny,Autodesk FLUX Design Competition
Autodesk gépészmérnöki oktatási csomagja,Autodesk Education Suite for Mechanical Engineering
Autodesk gépi tanulási platformja,Autodesk Machine Learning Platform
Autodesk gépipari csapata,Autodesk Manufacturing Team
Autodesk Growth Marketing,Autodesk Growth Marketing
Autodesk Health Dashboard,Autodesk Health Dashboard
Autodesk iiko Experience verseny,Autodesk iiko Experience
Autodesk ipariforma-tervezési oktatási csomagja,Autodesk Education Suite for Industrial Design
Autodesk kivitelezési magazinja,Autodesk Construction Magazine
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk követése,Follow Autodesk
Autodesk Labs,Autodesk Labs
Autodesk Learning Central,Autodesk Learning Central
Autodesk Lightning Integrated Case Experience,Autodesk Lightning Integrated Case Experience
Autodesk Live,Autodesk Live
Autodesk MasterClass-oktatások,Autodesk MasterClasses
Autodesk Material Library,Autodesk Material Library
Autodesk Meshmixer Toolkit,Autodesk Meshmixer Toolkit
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk online tesztelési szolgáltatás,Autodesk Online Testing Service
Autodesk Order Entry,Autodesk Order Entry
Autodesk Partnerportál,Autodesk Partner Portal
Autodesk Partnerprogram,Autodesk Partner Program
Autodesk Partnerszakterületek,Autodesk Partner Specializations
Autodesk Platform Services,Autodesk Platform Services
Autodesk rendelésre tervezett megoldásokhoz kapcsolódó szolgáltatásai,Autodesk Engineer-to-Order Services
Autodesk Route 66 szakmai képzés,Autodesk Route 66 Professional Skills Training
Autodesk Sales Incentive Management System,Autodesk Sales Incentive Management System
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Streamline,Autodesk Streamline
Autodesk szakmai kiválóság,Autodesk Professional Excellence
Autodesk szén-dioxid-lábnyoma,Autodesk carbon footprint
Autodesk Translation Framework,Autodesk Translation Framework
Autodesk University,Autodesk University
Autodesk üzleti értéket meghatározó módszertana,Autodesk Business Value Methodology
Autodesk-azonosító,Autodesk ID
Autodesk-csomag,Autodesk suite
Autodesk-eseményelemzés,Autodesk Event Analysis
Autodesk-galéria,Autodesk Gallery
Autodesk-kínálat,Autodesk Portfolio
Autodesk-megfelelőségi program,Autodesk Compliance Program
Autodesk-minősítés,Autodesk Certification
Autodesk-minősítési képzések,Autodesk Certification Training
Autodesk-oktatás,Autodesk Education
Autodesk-oktatóanyag,Autodesk Education Curriculum
Autodesk-oktatóközpont,Autodesk Training Center
Autodesk-szoftver,Autodesk software
Autodesk-szoftverlicenc,Autodesk software license
Autodesk-tanácsadás,Autodesk Consulting
Autodesk-tanácsadási specializációs program,Autodesk Consulting Specialization Program
Autodesk-tananyagok és oktatás,Autodesk Learning and Education
Autodesk-tartalomelhelyezési szolgáltatás,Autodesk Content Syndication Service
Autodesk-ügyfelek részvételét célzó program,Autodesk Customer Involvement Program
Autodesk-ügyféléletciklus,Autodesk Customer Lifecycle
Autodesk-ügyfélkörnyezet,Autodesk Customer Environment
Autodesk-útmutató a felújításokhoz és bővítésekhez,Autodesk Renovation and Retrofit Playbook
Autodesk-útmutató az építőipar területén dolgozó mérnököknek,Autodesk Building Engineering Playbook
Autodesk-üzletközpont,Autodesk Business Center
autóipari alkatrésztervezés,automotive component design
autóipari beszállítói lánc,automotive supply chain
automatikus teljesítés,auto-fulfilment
AVAR,AVAR
Az Autodesk előnyei,The Autodesk Advantage
Backburner,Backburner
barnamezős,brownfield
beépülő modul,plug-in
befektetés megtérülése,return on investment
Befektetői kapcsolatok,Investor Relations
bejegyzett védjegy,registered trademark
beküldéses visszatérítés,mail-in rebate
bemutatandó funkciók,demo vignette
bemutató esemény,launch event
bemutató videó,demo video
bérlés,rental
bérleti konstrukció,rental plan
beszállítói lánc,supply chain
beszerzés,procurement
betanítás,onboarding
Betekintés,My Insights
bevált módszer,best practice
bevásárlókosár,shopping basket
bevétel elszámolása,revenue accounting
bevezetési útvonal,adoption path
bevezető,kicker text
BIM,BIM
BIM 360 Ops,BIM 360 Ops
BIM nagyvállalati megvalósítási terv,BIM Enterprise Execution Plan
BIM szerkezettervezési oktatóanyag,BIM for Structural Engineering Curriculum
BIM360,BIM360
biológiai vízelvezető,bioswale
biomimikri,biomimicry
bioműanyag,bioplastics
biztonsági alapkövetelmények,security non-negotiables
blog,blog
BlueSnap,BlueSnap
bővítés,retrofit
bővítmény,add-in
BPT,BPT
Brainshark,Brainshark
BREP,BREP
B-rep,B-rep
Bronz fokozatú Autodesk-forgalmazó,Autodesk Bronze reseller
BuildingConnected,BuildingConnected
CAD,CAD
CAE,CAE
CAM,CAM
CDF,CDF
CEC,CEC
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Character Generator,Character Generator
cikkszám,SKU
címke,label
címszöveg,caption
CIP,CIP
CLIC licenckezelő,CLIC license manager
Collaboration For Revit,Collaboration For Revit
Commercial New,Commercial New
common data experience,common data experience
Content Experience Design,Content Experience Design
CPM,CPM
CRM,CRM
CSAT,CSAT
CSI,CSI
csomagolástervezés,packaging design
csövezés,piping
CTA,CTA
CTO,CTO
Customer Value Hub,Customer Value Hub
D&M,D&M
D&MwA,D&MwA
DAM,DAM
DCS,DCS
Design Collaboration,Design Collaboration
Designers Accord,Designers Accord
Diákközösség,Student Community
Diákközpont,Student Center
Digital Experience and Customer Empowerment,Digital Experience and Customer Empowerment
Digital Manufacturing Group,Digital Manufacturing Group
digitális eszközkezelés,Digital Asset Management
digitális HIG,digital HIG
digitális modellezés,digital modeling
digitális prototípus-készítés,digital prototyping
digitális prototípus-készítési napok,Digital Prototyping Days
digitális szórakoztatóipar,digital entertainment creation
digitális ügyféléletciklus,digital customer lifecycle
"digitális, vizuális felület",digital visual interface
dinamikus alkalmazásbiztonsági teszt,dynamic application security test
dobozos szállítás,boxed shipment
dokumentáció,documentation
dolgok internete,Internet of things
döntéstámogató eszköz,decision support tool
dotkom,dotcom
dotkom-iránymutatás,dotcom guidance
DPR,DPR
Dropbox,Dropbox
DVAR,DVAR
DWG Extreme,DWG Extreme
DWGX,DWGX
Eagle,Eagle
ECaaS,ECaaS
EDT,EDT
egyfelhasználós,single-user
egyfelhasználós felhasználó,stand-alone user
egyfelhasználós hozzáférés,single-user access
egyfelhasználós licenckezelő,Single License Manager
egymunkahelyes licenc,single-seat license
egyszeri bejelentkezés,single sign-on
együttműködési és adatkezelési megoldások bevezetési szolgáltatásai,Collaboration and Data Management Implementation Services
együttműködési és adatkezelési megoldások stratégiai szolgáltatásai,Collaboration and Data Management Strategy Services
együttműködési képesség,interoperability
együttműködést segítő projektmenedzsment,collaborative project management
e-kereskedelem mint szolgáltatás,eCommerce as a service
elektronikus hírlevél,eNewsletter
elektronikus szoftverszállítás,electronic software distribution
"elektronikus, számítógéppel segített tervezés",electronic computer-aided design
elem-komponens rendszer,entity-component system
Elérhető nyelvek,Available languages
ellenérvek kezelését ismertető útmutató,Objection Handling Guide
elmozdulásleképezés,displacement mapping
elnök-vezérigazgató,president and CEO
előfeltétel,pre-requisite
előfizetés,subscription
előfizetések túlhasználata,subscription overuse
előfizetési arány,attach rate
előfizetési előnyök,subscription benefits
előfizetési szerződés száma,subscription contract number
előfizető,subscriber
Előnyök,Proof Points
Előnyútmutató,Benefit Guide
előre gyártott elem,precast component
elosztott licenckiszolgáló,distributed license server
elosztott vezérlőrendszer,distributed control system
előzetes elemzés,preliminary analysis
előzetes mérnöki tervezés,front-end engineering design
előzetes útmutató,Preview Guide
előző verziók használati jogát tartalmazó lista,Previous Version Eligibility List
élsimítás,anti-aliasing
első vevői szállítmány,first customer shipment
elsődleges licenc,primary license
EMC Tier 5 rendszer,EMC Tier 5 system
EMS,EMS
energiahasználat intenzitása,energy use intensity
energiahatékonyság,energy efficiency
energiamegtakarítási megállapodás,energy savings performance contract
energiamegtakarítással kapcsolatos átalakítás,energy retrofit
energiaszolgáltató vállalat,energy service company
energiaterhelés,energy load
energiatermelés,energy generation
Energy Star,Energy Star
építésvezető,construction manager
"Építészet, mérnöki tervezés, kivitelezés és üzemeltetés","Architecture, Engineering, Construction, and Operations"
"építészet, tervezés és kivitelezés","architecture, engineering and construction"
építészeti előzetes tananyag,Pre-Architecture Curriculum
építészeti határozati jegyzőkönyv,architectural decision record
építészeti kiegészítő utasítás,Architect's Supplemental Instruction
építészeti kiegészítő utasítások,Architectural Supplemental Instructions
épített felszín,hardscape
építőipari stratégia és kapcsolatok,Building Industry Strategy & Relations
építőipari termékek,building product
építőipari termékek gyártója,building products manufacturer
építőmérnöki oktatóanyag,Civil Engineering Curriculum
épület-alkotóelem,building component
épületgépész mérnök,MEP engineer
épületgépészet,building engineering
épületgépészeti berendezések,building equipment
épülettervezés,building design
érdes,coarse
eredeti AutoCAD,genuine AutoCAD
eredmény,resolution
Erőforrásközpont,Resource Center
értékajánlat,value proposition
értékalapú mérnöki tevékenység,value engineering
értékesítés,sales
értékesítésfejlesztés,channel development
értékesítési és marketingeszközök keresője,Sales & Marketing Tools Finder
értékesítési és szolgáltatási ügyvezető alelnök,Executive Vice President of Sales and Services
értékesítési eszköz,sales tool
értékesítési eszközkészlet,sales toolkit
értékesítési partner,channel partner
értékesítési útmutató,Sales Playbook
értékesítésmenedzsment,Channel Management
értékesítésserkentő program,Channel Incentive program
értékkereső kérdés,value prompter
értéknövelt Autodesk-forgalmazói megállapodás,Autodesk Value Added Reseller Agreement
Értéknövelt disztribútor,Value Added Distributor
ESCO,ESCO
ESD,ESD
esemény,incident
esemény eszközkészlete,event toolkit
Események keresése,Events Lookup
Esemény-közzétevő,Event Publisher
esetazonosító,case ID
esettanulmány,case study
Esettanulmányok,Case studies
ESPC,ESPC
eszköz,asset
Eszközvideó,ToolClip
ETO,ETO
EUI,EUI
éves rendelési érték,annual order value
expressz szolgáltatásazonosító,Express Service ID
Ezüst fokozatú Autodesk-partnerek,Autodesk Silver partner
fabrication data manager,fabrication data manager
Facebook,Facebook
fájltárolás,file vaulting
FBIK,FBIK
FCS,FCS
FeatureCAM,FeatureCAM
FEED,FEED
Fejlesztői érdekképviselet és támogatás,Developer Advocacy and Support
Fejlesztői támogatási program,Developer Support Program
fejlesztőpartner,development partner
felhasználási feltételek,terms of use
Felhasználási lehetőségek,Use cases
Felhasználói közösségek,User Communities
Felhasználók bevonását célzó program,Customer Involvement Program
felhívás,Call to Action
felhőalapú licencelés,cloud licensing
felhőegység,cloud unit
felhőpontok,cloud credits
felhőszolgáltatások,cloud services
felhúzható szalaghirdetés,pull-up banner
felújítási projekt,revamp projects
felülvizsgált marketingprogram,Aligned Marketing Program
fenntartható tervezési oktatóanyag,Sustainable Design Curriculum
Fenntarthatóság,Sustainability
fenntarthatósági workshop,Sustainability Workshop
fényesség,brightness
film és tv,film & TV
"filmek, játékok és televíziós műsorok","film, games and television"
filmminőségű,cinematic-quality
finanszírozás,financing
firmware,firmware
fizetés használat alapján,pay as you go
fizetett keresés,paid search
Flex-token,Flex token
Flickr,Flickr
fő szolgáltatási megállapodás,master services agreement
fő teljesítménymutató,key performance indicator
Fő üzenet,Key Message
fogazógép,hobbing machine
fogyasztói termék,consumer product
fogyasztói termékek gyártója,consumer product manufacturer
fogyóeszköz,consumable
főkép,hero image
fokozat,tier
folyamat,pipeline
Folyamatban lévő projektek kezelése,Work In Process Data Management
folyamaton kívüli,out-of-process
folyamattervezés,process management
FoMT,FoMT
forgalmazó,reseller
forgatókönyv,storyboarding
FormIt,FormIt
források betöltése folyamatban,resource loading
főtermék,hero product
fotógyűjtemény,photo collection
fps,fps
frissítés árazása,upgrade pricing
frissítési útvonal,upgrade path
Frissítse licencét,Upgrade your license
független játékfejlesztő,Indie game maker
független szoftverszállító,independent software vendor
függőleges szalag,vertical ribbon
funkciók táblázata,functionality matrix
Fusion 360,Fusion 360
Fusion Health Service,Fusion Health Service
Fusion Injection Molding,Fusion Injection Molding
Fusion JavaScript Service,Fusion JavaScript Service
Fusion Lifecycle,Fusion Lifecycle
Fusion Notification Service,Fusion Notification Service
fűtés és légtechnika,"heating, ventilation and air conditioning"
Galéria,gallery
generatív tervezés,generative design
Generative Cloud Platform,Generative Cloud Platform
geotechnikai,geotechnical
GEP,GEP
gépészmérnöki tevékenység,mechanical engineering
gépipar,manufacturing
gépipari beszállítói lánc,manufacturing supply chain
gépipari megoldásokért felelős részlet,Manufacturing Solutions Division
GF,GF
GIS,GIS
GIS-integráció,GIS integration
globális értékesítési közös márkahasználati program,global channel co-branding program
globális értékesítési márkaprogram,global channel branding program
globális helyszíni promóció,global field promotion
globális termékbemutató,global product launch
Globális utazási jogok,Global Travel Rights
Gnosis,Gnosis
Google Earth,Google Earth
GPU,GPU
grafikus processzor,graphics processing unit
Green Building Studio,Green Building Studio
gyakorlati közösség,community of practice
gyakran ismétlődő kérdések,frequently asked questions
gyártás,fabrication
gyártási folyamat,process manufacturing
gyártó által javasolt kiskereskedelmi ár,manufacturer suggested retail price
gyártói kiskereskedelmi ár,manufacturer retail price
GYE,QAT
