source,target
analytisk overflade,analytical surface
Autodesk Masters Award,Autodesk Masters award
Autodesk Masters-program,Autodesk Masters Program
Autodesk-partner,Autodesk Partner
Being Inventive,Being Inventive
blandingsoverflade,blend surface
Celle skyggelagt,cel shading
Configurator 360,Configurator 360
DPI,DPI
DSS,DSS
EDM,EDM
feltdybde,depth of field
fokalpunkt,focal plane
frit kredsløb,free orbit
Helius Composite,Helius Composite
Helius PFA,Helius PFA
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
mat farvelægning,flat shading
modeloversættelse,model translation
organisk modellering,organic modeling
planflade,planar face
Pro,Pro
skitse af kant,sketch edge
sprogpakke,language pack
Thick Client,Thick Client
Thin Client,Thin Client
udledt begrænsning,infer constraints
underlægning,underlay
Workshop for nye funktioner,New Features Workshop
