source,target
1 年期固定期限的使用授權,1-year subscription
30 天試用版,30-day trial
3D,3D
3D 印表機,3D printer
3D 列印,3D printing
加速更好的設計,Accelerate Better Design
ACE,ACE
ACI,ACI
啟用碼,activation code
主動租賃計畫,active rental plan
增益集,add-in
增材製造,additive manufacturing
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
廣告,advertise
AEC,AEC
工程建設軟體集,AEC Collection
航太,aerospace
AIA,AIA
協調一致的行銷計劃,Aligned Marketing Program
Alpha 通道,alpha channel
環境顏色,ambient color
環境溫度,ambient temperature
修正,amendment
美國建築師協會,American Institute of Architects
錨定,anchor
錨定點,anchor point
角度,angle
角度約束,angle constraint
通告,Announcements
消除鋸齒,anti-aliasing
反抵制,anti-boycott
反貪腐,anti-corruption
疑慮問題,anxiety question
AOTC,AOTC
API,API
App Store,App Store
App Store 終端使用者授權合約,app store end user license agreement
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
應用程式工程師,Application Engineer
應用程式 ID,application ID
應用程式設計介面,Application Programming Interface
ASI,ASIs
詢問 Autodesk,Ask Autodesk
ASM,ASM
組合,assembly
資產,asset
ATC,ATC
ATC 合約,ATC Agreement
ATC 全球計劃指南,ATC Global Program Guide
ATC 搜尋工具,ATC Locator
ATC 線上評估系統,ATC Online Evaluation System
ATC 網站註冊和業務計劃表單,ATC Site Enrolment and Business Plan Form
新購率,attach rate
AU,AU
AUGI,AUGI
授權合作夥伴,authorized partner
AutoCorrect,AutoCorrect
Autodesk 學術加值經銷商,Autodesk Academic Value Added Reseller
Autodesk Advanced Support (進階支援),Autodesk Advanced Support
Autodesk Analytics,Autodesk Analytics
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk App Store 驗證下載,Autodesk App Store Verified Download
Autodesk 評估測驗,Autodesk assessment test
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk 授權學術合作夥伴,Autodesk Authorized Academic Partner
Autodesk 授權經銷商,Autodesk authorized reseller
Autodesk 授權教育訓練中心 (ATC),Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support (基本支援),Autodesk Basic Support
Autodesk BIM and Beam 部落格,Autodesk BIM and Beam Blog
Autodesk BIM 轉型服務,Autodesk BIM Transformation Services
Autodesk 銅級經銷商,Autodesk Bronze reseller
Autodesk 建築工程策略手冊,Autodesk Building Engineering Playbook
Autodesk 建築 YouTube 頻道,Autodesk Building YouTube Channel
Autodesk 業務中心,Autodesk Business Center
Autodesk 商業價值方法,Autodesk Business Value Methodology
Autodesk 碳足跡,Autodesk carbon footprint
Autodesk 認證,Autodesk Certification
Autodesk 認證訓練,Autodesk Certification Training
Autodesk 認證講師計劃,Autodesk Certified Instructor program
Autodesk 認證標誌,Autodesk Certified logo
Autodesk 認證專業人士,Autodesk Certified Professional
Autodesk 用戶認證計劃,Autodesk Certified User program
Autodesk 經銷商品牌指南,Autodesk Channel Branding Guidelines
Autodesk 經銷業務經理,Autodesk Channel Sales Manager
Autodesk 通路團隊,Autodesk Channel Team
Autodesk 課堂訓練,Autodesk Classroom Training
Autodesk 清潔技術合作夥伴計劃,Autodesk Clean Tech Partner Program
Autodesk 協同合作和資料管理服務,Autodesk Collaboration and Data Management Services
Autodesk 協同專案管理解決方案,Autodesk Collaborative Project Management Solutions
Autodesk 法規遵循計劃,Autodesk Compliance Program
Autodesk Construction Magazine,Autodesk Construction Magazine
Autodesk 顧問服務,Autodesk Consulting
Autodesk 諮詢專業化計劃,Autodesk Consulting Specialization Program
Autodesk Content Service,Autodesk Content Service
Autodesk 內容聯合服務,Autodesk Content Syndication Service
Autodesk 客戶參與計劃,Autodesk Customer Engagement Program
Autodesk 客戶體驗團隊,Autodesk Customer Experience Team
Autodesk 客戶參與方案,Autodesk Customer Involvement Program
Autodesk 客戶滿意度方案,Autodesk Customer Satisfaction Program
Autodesk 客戶服務代表,Autodesk Customer Service representative
Autodesk 客戶支援,Autodesk Customer Support
Autodesk 資料管理工具,Autodesk data management tools
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design and Creation Suites,Autodesk Design and Creation Suites
Autodesk Design Package,Autodesk Design Package
Autodesk DevDays 大會,Autodesk DevDays Conference
Autodesk 開發商合作網,Autodesk Developer Network
Autodesk 開放式開發商合作網,Autodesk Developer Network Open
Autodesk 數位娛樂創作解決方案,Autodesk Digital Entertainment Creation solution
Autodesk 數位雜誌,Autodesk Digital Magazine
Autodesk 數位原型論壇,Autodesk Digital Prototyping Forum
Autodesk 數位原型解決方案,Autodesk Digital Prototyping solution
Autodesk 數位 STEAM 研討會,Autodesk Digital STEAM Workshop
Autodesk 代理商合約,Autodesk Distributor Agreement
Autodesk 下載管理器,Autodesk Download Manager
Autodesk 教育版,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Autodesk 教育版課程,Autodesk Education Curriculum
Autodesk 建築與工程教育套件,Autodesk Education Suite for Architecture & Engineering
Autodesk 土木與結構工程教育套件,Autodesk Education Suite for Civil & Structural Engineering
Autodesk 工業設計教育套件,Autodesk Education Suite for Industrial Design
Autodesk 機械工程教育套件,Autodesk Education Suite for Mechanical Engineering
Autodesk 員工購買計劃,Autodesk Employee Purchase Program
Autodesk 依訂單設計服務,Autodesk Engineer-to-Order Services
Autodesk Enterprise Priority Support (企業優先支援),Autodesk Enterprise Priority Support
Autodesk Flex 令牌,Autodesk flex token
Autodesk FLUX 設計比賽,Autodesk FLUX Design Competition
Autodesk 論壇,Autodesk forum
Autodesk 藝廊,Autodesk Gallery
Autodesk 金級合作夥伴,Autodesk Gold partner
Autodesk ID,Autodesk ID
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk 新聞,Autodesk in the News
Autodesk 遊戲和動畫產業職業框架,Autodesk Industry Careers Framework for Games and Animation
Autodesk 基礎架構解決方案,Autodesk Infrastructure Solutions
Autodesk 內部銷售團隊,Autodesk Inside Sales Team
Autodesk 安裝說明,Autodesk Installation Help
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk 實驗室,Autodesk Labs
Autodesk 啟動台,Autodesk LaunchPad
Autodesk 學習與教育,Autodesk Learning and Education
Autodesk Learning Central,Autodesk Learning Central
Autodesk 授權法規遵循團隊,Autodesk License Compliance Team
Autodesk 授權管理員,Autodesk License Manager
Autodesk LIVE,Autodesk Live
Autodesk Live Chat (即時交談),Autodesk Live Chat
Autodesk 製造團隊,Autodesk Manufacturing Team
Autodesk 大師課程,Autodesk MasterClasses
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk 官方訓練課件,Autodesk Official Training Courseware
Autodesk 官方訓練指南,Autodesk Official Training Guides
Autodesk 網路商店,Autodesk Online Store
Autodesk 線上測驗服務,Autodesk Online Testing Service
Autodesk 合作夥伴管理員,Autodesk Partner Manager
Autodesk 合作夥伴入口網站,Autodesk Partner Portal
Autodesk 合作夥伴方案,Autodesk Partner Program
Autodesk 合作夥伴專業領域,Autodesk Partner Specializations
Autodesk 事件前支援,Autodesk Per-Incident Support
Autodesk 白金級合作夥伴,Autodesk Platinum partner
Autodesk 產品組合,Autodesk Portfolio
Autodesk 優先產業合作夥伴,Autodesk Preferred Industry Partner
Autodesk 頂級解決方案提供商,Autodesk Premier Solutions Provider
Autodesk 隱私權聲明,Autodesk Privacy Statement
Autodesk 專業人士卓越,Autodesk Professional Excellence
Autodesk 翻新與修整策略手冊,Autodesk Renovation and Retrofit Playbook
Autodesk 除役方案,Autodesk Retirement Program
Autodesk Route 66 專業技能訓練,Autodesk Route 66 Professional Skills Training
Autodesk 業務發展基金 (SDF) 計劃,Autodesk Sales Development Fund
Autodesk 銷售代表,Autodesk sales representative
Autodesk 服務與支援,Autodesk Services and Support
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk 登入說明,Autodesk Sign In Help
Autodesk 銀級合作夥伴,Autodesk Silver partner
Autodesk 軟體,Autodesk software
Autodesk 軟體授權,Autodesk software license
Autodesk 軟體授權合約,Autodesk Software License Agreement
Autodesk 數位原型製作解決方案,Autodesk solution for Digital Prototyping
Autodesk Store,Autodesk Store
Autodesk Streamline,Autodesk Streamline
Autodesk 套件,Autodesk suite
Autodesk 支援人員,Autodesk support agent
Autodesk 永續設計中心,Autodesk Sustainable Design Center
Autodesk 訓練中心,Autodesk Training Center
Autodesk 信任中心,Autodesk Trust Center
Autodesk University,Autodesk University
Autodesk University Virtual,Autodesk University Virtual
Autodesk 升級與除役方案,Autodesk Upgrade and Retirement Program
Autodesk 國際使用者群組,Autodesk User Group International
Autodesk 加值經銷商,Autodesk Value Added Reseller
Autodesk 加值經銷商合約,Autodesk Value Added Reseller Agreement
Autodesk 虛擬課堂訓練,Autodesk Virtual Classroom Training
Autodesk® 產品設計與製造軟體集,Autodesk® Product Design and Manufacturing Collection
自動履行,auto-fulfilment
汽車元件設計,automotive component design
汽車供應鏈,automotive supply chain
自動續展,auto-renewal
可用的語言,Available languages
AVAR,AVAR
虛擬人偶,avatar
Backburner,Backburner
基本功能,Baseline Features
基本工具提示,basic tooltip
BIM 就緒,Be BIM Ready
基準報告,benchmark report
權益指南,Benefit Guide
最佳實踐,best practice
Better by Design,Better by Design
BIM,BIM
BIM 採用與變更管理服務,BIM Adoption and Change Management services
BIM 企業執行方案,BIM Enterprise Execution Plan
BIM 結構工程課程,BIM for Structural Engineering Curriculum
BIM 實作與整合服務,BIM Implementation and Integration Services
BIM 知識套件,BIM Knowledge Package
BIM 標準與流程服務,BIM Standards and Processes services
BIM 策略服務,BIM Strategy services
仿生學,biomimicry
