source,target
3D मूव गिज़्मो,3D Move gizmo
3D रोटेट गिज़्मो,3D Rotate gizmo
3D स्केल गिज़्मो,3D Scale gizmo
3DALIGN,3DALIGN
3DARRAY,3DARRAY
3DCLIP,3DCLIP
3DCORBIT,3DCORBIT
3DDISTANCE,3DDISTANCE
3DDWF,3DDWF
3DDWFPUBLISH,3DDWFPUBLISH
3DEDITBAR,3DEDITBAR
3DFACE,3DFACE
3DFLY,3DFLY
3DFORBIT,3DFORBIT
3DMESH,3DMESH
3DMOVE,3DMOVE
3DORBIT,3DORBIT
3DORBITCTR,3DORBITCTR
3DORBITTRANSPARENT,3DORBITTRANSPARENT
3DOSNAP,3DOSNAP
3DPAN,3DPAN
3DPANTRANSPARENT,3DPANTRANSPARENT
3DPOLY,3DPOLY
3DPRINT,3DPRINT
3DPRINTSERVICE,3DPRINTSERVICE
3DROTATE,3DROTATE
3DSCALE,3DSCALE
3DSIN,3DSIN
3DSWIVEL,3DSWIVEL
3DSWIVELTRANSPARENT,3DSWIVELTRANSPARENT
3DWALK,3DWALK
3DZOOM,3DZOOM
3DZOOMTRANSPARENT,3DZOOMTRANSPARENT
ACADBLOCKDIALOG,ACADBLOCKDIALOG
ACADINFO,ACADINFO
ACADWBLOCKDIALOG,ACADWBLOCKDIALOG
ACISIN,ACISIN
ACISOUT,ACISOUT
ACS,ACS
ACTBASEPOINT,ACTBASEPOINT
ACTIVITYINSIGHTSCLOSE,ACTIVITYINSIGHTSCLOSE
ACTIVITYINSIGHTSOPEN,ACTIVITYINSIGHTSOPEN
ACTMANAGER,ACTMANAGER
ACTRECORD,ACTRECORD
ACTSTOP,ACTSTOP
ACTUSERINPUT,ACTUSERINPUT
ACTUSERMESSAGE,ACTUSERMESSAGE
ADC,ADC
ADCCLOSE,ADCCLOSE
ADCCUSTOMNAVIGATE,ADCCUSTOMNAVIGATE
ADCENTER,ADCENTER
ADCNAVIGATE,ADCNAVIGATE
ADDSELECTED,ADDSELECTED
AEC इकाई,AEC entity
AEC ऑब्जेक्ट,AEC object
AEC कॉन्टेंट,AEC content
AIDIMPREC,AIDIMPREC
AIDIMSTYLE,AIDIMSTYLE
AIDIMTEXTMOVE,AIDIMTEXTMOVE
ALIASEDIT,ALIASEDIT
ALIGNSPACE,ALIGNSPACE
ALKIS,ALKIS
ALLPLAY,ALLPLAY
AMECONVERT,AMECONVERT
ANALYSISCURVATURE,ANALYSISCURVATURE
ANALYSISDRAFT,ANALYSISDRAFT
ANALYSISOPTIONS,ANALYSISOPTIONS
ANALYSISZEBRA,ANALYSISZEBRA
ANIPATH,ANIPATH
ANNORESET,ANNORESET
ANNOUPDATE,ANNOUPDATE
APERTURE,APERTURE
APPAUTOLOADER,APPAUTOLOADER
APPLOAD,APPLOAD
ARCTEXT,ARCTEXT
ARG,ARG
ARRAYCLASSIC,ARRAYCLASSIC
ARRAYCLOSE,ARRAYCLOSE
ARRAYEDIT,ARRAYEDIT
ARRAYPATH,ARRAYPATH
ARRAYPOLAR,ARRAYPOLAR
ARRAYRECT,ARRAYRECT
ARX,ARX
ASSISTANTCLOSE,ASSISTANTCLOSE
ASSISTANTOPEN,ASSISTANTOPEN
ATIL,ATIL
ATTACHURL,ATTACHURL
ATTDEF,ATTDEF
ATTDISP,ATTDISP
ATTEDIT,ATTEDIT
ATTEXT,ATTEXT
ATTIN,ATTIN
ATTIPEDIT,ATTIPEDIT
ATTOUT,ATTOUT
ATTREDEF,ATTREDEF
ATTSYNC,ATTSYNC
AutoCAD Mobile,AutoCAD Mobile
Autocad Mobile ऐप,Autocad Mobile app
AutoCAD कलर इंडेक्स,AutoCAD color index
AutoComplete,AutoComplete
Autodesk Assistant,Autodesk Assistant
Autodesk विनिर्माण समुदाय पोर्टल,Autodesk Manufacturing Community Portal
AUTODESKCONNECTIONPOINT,AUTODESKCONNECTIONPOINT
AutoLISP वातावरण,AutoLISP environment
AutoLISP विकास,AutoLISP development
BACTION,BACTION
BACTIONBAR,BACTIONBAR
BACTIONSET,BACTIONSET
BACTIONTOOL,BACTIONTOOL
BASSOCIATE,BASSOCIATE
BATTMAN,BATTMAN
BATTORDER,BATTORDER
BAUTHORPALETTE,BAUTHORPALETTE
BAUTHORPALETTECLOSE,BAUTHORPALETTECLOSE
BCLOSE,BCLOSE
BCONSTRUCTION,BCONSTRUCTION
BCOUNT,BCOUNT
BCPARAMETER,BCPARAMETER
BCYCLEORDER,BCYCLEORDER
BDA,BDA
BEDIT,BEDIT
BESETTINGS,BESETTINGS
BEXTEND,BEXTEND
BGRIPSET,BGRIPSET
BHATCH,BHATCH
BLOB,BLOB
BLOCKICON,BLOCKICON
BLOCKNAVIGATE,BLOCKNAVIGATE
BLOCKREPLACE,BLOCKREPLACE
BLOCKSDATAOPTION,BLOCKSDATAOPTION
BLOCKSPALETTE,BLOCKSPALETTE
BLOCKSPALETTECLOSE,BLOCKSPALETTECLOSE
BLOCKTOXREF,BLOCKTOXREF
BLOOKUPTABLE,BLOOKUPTABLE
BMAKE,BMAKE
BMOD,BMOD
BMPOUT,BMPOUT
BOM,BOM
BOM ग्रिड,BOM grid
BPARAMETER,BPARAMETER
BPOLY,BPOLY
BREAKATPOINT,BREAKATPOINT
BREP,BREP
BREPLACE,BREPLACE
BROWSERCLOSE,BROWSERCLOSE
BROWSEROPEN,BROWSEROPEN
BSAVE,BSAVE
BSAVEAS,BSAVEAS
BSCALE,BSCALE
BTABLE,BTABLE
BTESTBLOCK,BTESTBLOCK
BTRIM,BTRIM
BVHIDE,BVHIDE
BVSHOW,BVSHOW
BVSTATE,BVSTATE
BYBLOCK,BYBLOCK
BYLAYER,BYLAYER
CAL,CAL
CDORDER,CDORDER
CENTERDISASSOCIATE,CENTERDISASSOCIATE
CENTERREASSOCIATE,CENTERREASSOCIATE
CENTERRESET,CENTERRESET
CHAMFEREDGE,CHAMFEREDGE
CHECKSTANDARDS,CHECKSTANDARDS
CHPROP,CHPROP
CHSPACE,CHSPACE
CHURLS,CHURLS
CLASSICGROUP,CLASSICGROUP
CLASSICIMAGE,CLASSICIMAGE
CLASSICINSERT,CLASSICINSERT
CLASSICLAYER,CLASSICLAYER
CLASSICXREF,CLASSICXREF
CLEANSCREENOFF,CLEANSCREENOFF
CLEANSCREENON,CLEANSCREENON
CLIPIT,CLIPIT
CLOB,CLOB
CLOSEALL,CLOSEALL
CLOSEALLOTHER,CLOSEALLOTHER
COMMANDLINE,COMMANDLINE
COMMANDLINEHIDE,COMMANDLINEHIDE
COMMANDMACROS,COMMANDMACROS
COMMANDMACROSCLOSE,COMMANDMACROSCLOSE
COMPARECLOSE,COMPARECLOSE
COMPAREEXPORT,COMPAREEXPORT
COMPAREIMPORT,COMPAREIMPORT
COMPAREINFO,COMPAREINFO
CONSTRAINTBAR,CONSTRAINTBAR
CONSTRAINTSETTINGS,CONSTRAINTSETTINGS
CONVERTCTB,CONVERTCTB
CONVERTOLDLIGHTS,CONVERTOLDLIGHTS
CONVERTOLDMATERIALS,CONVERTOLDMATERIALS
CONVERTPOLY,CONVERTPOLY
CONVERTPSTYLES,CONVERTPSTYLES
CONVTOMESH,CONVTOMESH
CONVTONURBS,CONVTONURBS
CONVTOSOLID,CONVTOSOLID
CONVTOSURFACE,CONVTOSURFACE
COORDINATIONMODELATTACH,COORDINATIONMODELATTACH
COPYBASE,COPYBASE
COPYCLIP,COPYCLIP
COPYFROMTRACE,COPYFROMTRACE
COPYHIST,COPYHIST
COPYLINK,COPYLINK
COPYM,COPYM
COPYTOLAYER,COPYTOLAYER
COUNTAREA,COUNTAREA
COUNTAREACLOSE,COUNTAREACLOSE
COUNTCLOSE,COUNTCLOSE
COUNTFIELD,COUNTFIELD
COUNTLIST,COUNTLIST
