source,target
imprimante 3D,3D printer
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
codification des normes comptables,Accounting Standards Codification
code d'activation,activation code
analyse ponctuelle,ad hoc analysis
composant additionnel,add-in
chemin d’adoption,adoption path
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
modèle d’information AIC,AEC Information Model
AICE,AECO
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
canal alpa,alpha channel
couleur ambiante,ambient color
température ambiante,ambient temperature
point d'ancrage,anchor point
angle de contrainte,angle constraint
valeur annuelle de la commande,annual order value
anticrénelage,anti-aliasing
AppFrame,AppFrame
fiche de décision architecturale,architectural decision record
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, ingénierie et construction","architecture, engineering and construction"
"architecture, ingénierie, construction et exploitation","Architecture, Engineering, Construction, and Operations"
proportions,aspect ratio
assemblage,assembly
actif,asset
"authentification, autorisation et comptabilité","Authentication, Authorization and Accounting"
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Mobile,AutoCAD Mobile
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
AutoCorrect,AutoCorrect
assistance avancée Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
assistance de base Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
formateur certifié Autodesk,Autodesk Certified Instructor
normes infonuagiques Autodesk,Autodesk Cloud Standards
plateforme infonuagique Autodesk,Autodesk Compute Platform
Autodesk Construction Cloud,Autodesk Construction Cloud
Autodesk Construction Solutions,Autodesk Construction Solutions
"Consultation, médias et divertissements Autodesk",Autodesk Consulting Media & Entertainment
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Content Service,Autodesk Content Service
environnement client Autodesk,Autodesk Customer Environment
cycle de vie du client Autodesk,Autodesk Customer Lifecycle
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
expérience de formation Autodesk,Autodesk Education Experience
assistance prioritaire pour les entreprises Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
analyse d’événements Autodesk,Autodesk Event Analysis
marketing de croissance d’Autodesk,Autodesk Growth Marketing
tableau de bord de santé Autodesk,Autodesk Health Dashboard
Autodesk Knowledge Network,Autodesk Knowledge Network
LaunchPad Autodesk,Autodesk LaunchPad
Autodesk Learning Central,Autodesk Learning Central
expérience de dossiers intégrés Lightning Autodesk,Autodesk Lightning Integrated Case Experience
plateforme d’apprentissage automatique Autodesk,Autodesk Machine Learning Platform
Autodesk Material Library,Autodesk Material Library
boîte à outils Meshmixer Autodesk,Autodesk Meshmixer Toolkit
Autodesk Network License Manager,Autodesk Network License Manager
entrée de commandes Autodesk,Autodesk Order Entry
services de plateforme Autodesk,Autodesk Platform Services
système de gestion des incitations à la vente Autodesk,Autodesk Sales Incentive Management System
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
composants Autodesk partagés,Autodesk Shared Component
Autodesk Streamline,Autodesk Streamline
Centre de formation Autodesk,Autodesk Training Center
cadre de traduction Autodesk,Autodesk Translation Framework
Autodesk University,Autodesk University
Backburner,Backburner
info-bulle standard,basic tooltip
BIM 360 Ops,BIM 360 Ops
BIM360,BIM360
modèle de représentation par frontières,boundary representation
Brainshark,Brainshark
luminosité,brightness
modèle de bâtiment,building model
BuildingConnected,BuildingConnected
modélisation et notation des processus d’affaires,business process model and notation
CAO,CAD
comité d’excellence,center of excellence
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Character Generator,Character Generator
gestionnaire de licences CLIC,CLIC license manager
plan de découpage,clip plane
limite d'écrêtage,clipping boundary
crédits infonuagiques,cloud credits
licences infonuagiques,cloud licensing
services infonuagiques,cloud services
modélisation de solides dans le nuage,cloud solid modeling
technologies infonuagiques,Cloud Technologies
à gros grains,coarse
codec,codec
Collaboration For Revit,Collaboration For Revit
environnement commercial infonuagique,commercial cloud environment
environnement de données communes,common data environment
expérience commune en matière de données,common data experience
espace de travail commun,common workspace
Centre de communications,Communication Center
communauté de pratique,community of practice
contenu généré par la communauté,community-generated content
génie informatique,Computer Science Engineering
concave,concave
esquisse conceptuelle,concept sketch
Configurator 360,Configurator 360
matériauthèque,consistent materials user interface
création de contenu,Content Creation
développement de contenus,Content Development
source du contenu,content source
onglet contextuel,contextual tab
information non classifiée contrôlée,controlled unclassified information
molette du contrôleur,controller cap
espace des coordonnées,coordinate space
valeur du cycle de vie du client,customer lifetime value
entente de recherche client,customer research agreement
organisation pour la réussite des clients,Customer Success Organization
équipe d'organisation pour la réussite des clients,Customer Success Organization Team
Centre de la valeur pour les clients,Customer Value Hub
client disposant d'un plan d'entretien,customer with a maintenance plan
D&M,D&M
enrichissement des données,data enrichment
gravité des données,data gravity
jeu de données,dataset
collaboration en matière de conception,Design Collaboration
conception pour la fabrication et l’assemblage,design for manufacturing and assembly
spécialiste de soutien,Designated Support Specialist
Designers Accord,Designers Accord
parrainage et soutien des développeurs,Developer Advocacy and Support
programme d’assistance aux développeurs,Developer Support Program
cycle de vie du client numérique,digital customer lifecycle
expérience numérique et autonomisation des clients,Digital Experience and Customer Empowerment
directives d’interface humaine numérique,digital HIG
groupe de fabrication numérique,Digital Manufacturing Group
cote,dimension
prix promotionnel,discounted price
tarif promotionnel,discounted pricing
serveur de licences distribué,distributed license server
point-com,dotcom
directives point-com,dotcom guidance
conduite,duct
test de sécurité pour application dynamique,dynamic application security test
Eagle,Eagle
CE-S,ECaaS
commerce électronique-service,eCommerce as a service
conception assistée par ordinateur,electronic computer-aided design
produits admissibles,eligible products
progiciel de gestion intégré,enterprise resource planning
entité-composant-système,entity-component system
réalité étendue,extended reality
gestionnaire des données de fabrication,fabrication data manager
analyse des modes de défaillance et de leurs effets,failure mode and effects analysis
FeatureCAM,FeatureCAM
contrôle souple,flexible control
fenêtre flottante,floating window
FormIt,FormIt
foire aux questions,frequently asked questions
Fusion 360,Fusion 360
expérience commune en matière de données Fusion,Fusion common data experience
accès aux données de fusion,Fusion Data Access
autorisations d’accès aux dossiers Fusion,Fusion Folder Permissions
service de santé Fusion,Fusion Health Service
moulage par injection Fusion,Fusion Injection Molding
service JavaScript Fusion,Fusion JavaScript Service
Fusion Lifecycle,Fusion Lifecycle
service de notifications Fusion,Fusion Notification Service
suivi synthétique Fusion,Fusion synthetic monitoring
plateforme de conception générative infonuagique,Generative Cloud Platform
Gnosis,Gnosis
accès plus vaste,greater access
studio de conception écologique,Green Building Studio
Halley,Halley
Heads-up Design,Heads-up Design
service de tableau de bord de santé,Health Dashboard Service
tableau de bord de santé de l’entreprise,health of business dashboard
Helius Composite,Helius Composite
Helius PFA,Helius PFA
Utilisation à domicile,Home Use
ruban horizontal,horizontal ribbon
Hot Fix,Hot Fix
Hotfix,Hotfix
HSMWorks,HSMWorks
HSMWorks for SOLIDWORKS,HSMWorks for SOLIDWORKS
infrastructure-service,IaaS
i-drop,i-drop
bibliothèque d’infrastructures informatiques,Information Technology Infrastructure Library
InfraWorks 360,InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
Instructables,Instructables
conception et analyse intégrées du drainage,Integrated Drainage Design & Analysis
test d’intégration,integration test
Internet des objets,Internet of things
Inventor,Inventor
Inventor LT,Inventor LT
Inventor LT Suite,Inventor LT Suite
Inventor Professional,Inventor Professional
Knowledge Network,Knowledge Network
contrat de licence,license agreement
protocole allégé d’accès annuaire,Lightweight Directory Access Protocol
plan d'entretien,maintenance plan
contrat de plan d'entretien,maintenance plan contract
client du plan d'entretien,maintenance plan customer
Liste d'admissibilité pour le passage du plan d'entretien à l'abonnement,Maintenance to Subscription Eligibility List
responsable de l'édition Web,manager of Web Publishing
Maya,Maya
Maya LT,Maya LT
Multimédia et divertissement,Media & Entertainment
Media & Entertainment Collection,Media & Entertainment Collection
modélisation des données multimédias,media information model
réalité mixte,mixed reality
principes modernes de développement et d'exploitation,modern DevOps principles
Mudbox,Mudbox
authentification multifacteur,multi-factor authentication
licence multiposte,multi-seat license
licence autonome multiposte,multi-seat stand-alone license
multi-utilisateur,multi-user
accès multi-utilisateur,multi-user access
licence multi-utilisateur,multi-user license
licence multiutilisateur,multi-user licensing
multi-utilisateur à mono-utilisateur,multi-user to single-user
multifenêtres multimoniteurs,multi-window multi-monitor
pluriannuel,multi-year
contrat d'abonnement pluriannuel,multi-year subscription contract
Nastran,Nastran
Nastran In-CAD,Nastran In-CAD
barre d'outils de navigation,navigation toolbar
Navisworks,Navisworks
Navisworks Exporters,Navisworks Exporters
Navisworks Freedom,Navisworks Freedom
Navisworks Manage,Navisworks Manage
Navisworks Simulate,Navisworks Simulate
Netfabb,Netfabb
traduction d’adresses réseau,network address translation
service de suivi des licences réseau,Network License Reporting Service
application bureautique Autodesk de prochaine génération,NextGen Autodesk Desktop Application
revendeur indépendant,non-contracted reseller
North Star,North Star
info-bulle avec texte d'accompagnement,object rollover tooltip
One Team 360,One Team 360
Assurance vie facultative - Enfant,Optional Life Insurance - Child Cover
Assurance vie facultative - Employé,Optional Life Insurance - Employee Cover
Assurance vie facultative - Conjoint,Optional Life Insurance - Spouse Cover
point d'origine,origin point
plateforme-service,PaaS
flèche du volet,panel arrow
Phoenix,Phoenix
Photo on ReCap 360,Photo on ReCap 360
PlanGrid,PlanGrid
Présentation du poste,Position Overview
PowerInspect,PowerInspect
PowerMill,PowerMill
PowerShape,PowerShape
Forfait préférentiel Plus,Preferred Plus Plan
Liste des produits admissibles à l’utilisation de versions antérieures,Previous Version Eligible Product List
prix du passage,price to switch
Product Design & Manufacturing Collection,Product Design & Manufacturing Collection
tableau de bord de santé des produits,Product Health Dashboard
modèle d’information sur les produits,Product Information Model
gestionnaire de programme,Program Manager
spécialiste de projet,Project Specialist
Publisher 360,Publisher 360
barre d'outils Accès rapide,Quick Access Toolbar
vue rapide,quick view
rendu-service,RaaS
RasterDWG,RasterDWG
boucle lecture-évaluation-impression,read-eval-print loop
contrôle d’édition des valeurs réelles,real value edit control
ReCap,ReCap
ReCap 360,ReCap 360
ReCap 360 Ultimate,ReCap 360 Ultimate
système de gestion de base de données relationnelle,relational database management system
Rendering in A360,Rendering in A360
renouvellement,renewal
conception réactive,Responsive Design
Revit,Revit
Revit Cloud Worksharing,Revit Cloud Worksharing
Revit Collaboration Suite,Revit Collaboration Suite
Revit LT,Revit LT
ruban,ribbon
onglet contextuel du ruban,ribbon contextual tab
débordement d’égout sanitaire,sanitary sewer overflow
Scrum Master,Scrum Master
balise de recherche,search tag
poste,seat
tarif promotionnel garanti,secure discounted pricing
tarif garanti,secure pricing
protocole SSH,secure shell
langage de balisage des assertions de sécurité,security assertion markup language
éléments de sécurité non négociables,security non-negotiables
analyste principal de la stratégie commerciale,Senior Business Strategy Analyst
gestion des licences spécifique à la session,Session Specific Licensing
Shotgun,Shotgun
Simulation CFD 3D Viewer,Simulation CFD 3D Viewer
Simulation CFD Viewer,Simulation CFD Viewer
gestionnaire de calcul de simulation,Simulation Compute Manager
licence monoposte,single-seat license
utilisateur unique,single-user
accès pour utilisateur unique,single-user access
licence pour utilisateur unique,single-user license
abonnement mono-utilisateur,single-user subscription
volet coulissant,slideout panel
offre spéciale pour passer à un abonnement,special offer to move to subscription
bouton partagé,split button
test de sécurité pour applications statiques,static application security testing
volet pense-bête,sticky panel
abonnement MU,SU subscription
abonné,subscriber
abonnement,subscription
surutilisation des abonnements,subscription overuse
Liste d’admissibilité pour le passage d'un abonnement à un abonnement,Subscription to Subscription Eligibility List
durée,term
modélisation des menaces,threat modeling
TinkerBox,TinkerBox
TrustedDWG,TrustedDWG
assistant universel,Universal Assistant
description universelle de scène,universal scene description
utilisation des versions antérieures,use of Previous Version
expérience utilisateur,User Experience
solveur de contraintes variationnelles,variational constraint solver
Vault Basic,Vault Basic
Vault Professional,Vault Professional
Vault Workgroup,Vault Workgroup
rubanvertical,vertical ribbon
ViewCube,ViewCube
nuage privé virtuel,virtual private cloud
réalité virtuelle,virtual reality
VRED,VRED
VRED Design,VRED Design
VRED Presenter,VRED Presenter
VRED Professional,VRED Professional
VRED Server,VRED Server
systèmes de gestion de contenu Web,Web Content Management Systems
spécialiste de l’assurance qualité Web,Web QA Specialist
gestion des données relatives aux travaux en cours,Work In Process Data Management
"équipe principale, produits de RE",XR Core Team
