source,target
1-year subscription,1년 서브스크립션
30-day trial,30일 무료 체험판
3D,3D
3D printer,3D 프린터
3D printing,3D 프린팅
3ds Max,3ds Max
3ds Max Design,3ds Max Design
About Us,오토데스크 정보
Accelerate Better Design,더 빠르게 우수한 디자인 제작
acceleration,가속
Account Management,계정 관리
ACE,ACE
ACI,ACI
Act now to save,비용 절감을 위해 지금 결정하세요
Activate & Register,활성화 및 등록
activation code,활성화 코드
Activation Limit Reached,활성화 횟수 제한에 도달했습니다
activation scenario,활성화 시나리오
active contract,유효한 계약
Active Directory,Active Directory
active rental plan,활성 렌털 서비스
activity feed,작업 피드
Activity Monitor,Activity Monitor
Add new payment method,새로운 결제 방법 추가
add-in,애드인
additive manufacturing,적층 제조
add-on,애드온
ADI,ADI
AdLM,AdLM
Administrative Tools,관리 도구
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Advanced Illuminance
advertise,보급
AEC,AEC
aerospace,항공 우주
AIA,AIA
alert,경고
Aligned Marketing Program,통합 마케팅 프로그램
alpha channel,알파 채널
Alternative Distribution Methods,대체 배포 방법
ambient color,앰비언트 색상
ambient occlusion,앰비언트 오클루전
ambient temperature,주변 온도
amendment,개정 사항
American Institute of Architects,미국 건축사 협회
AMP,AMP
anchor,앵커
anchor point,앵커점
angle,각도
angle constraint,각도 구속조건
annealing,풀림
anti-aliasing,안티앨리어싱
anti-boycott,보이콧 금지
anti-corruption,반부패
anxiety question,우려 사항
AOTC,AOTC
APEX,APEX
API,API
App Store,App Store
app store end user license agreement,앱 스토어 최종 사용자 라이선스 계약
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,현장 엔지니어
application ID,응용프로그램 ID
Architect's Supplemental Instruction,건축가 추가 지침
Architectural Supplemental Instructions,건축 추가 지침
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","건축, 엔지니어링, 건설"
array,어레이
ASIs,ASI
Ask Autodesk,오토데스크에 문의하기
ASM,ASM
aspect ratio,종횡비
assembly,조립품
asset,자산
ATC,ATC
ATC Agreement,ATC 계약
ATC Global Program Guide,ATC 글로벌 프로그램 가이드
ATC Locator,ATC 위치 찾기
ATC Online Evaluation System,ATC 온라인 평가 시스템
ATC Site Enrolment and Business Plan Form,ATC 사이트 등록 및 사업 계획 양식
attach rate,신규구매율(Attach Rate)
AU,AU
AU Virtual,Autodesk University(AU) 온라인
AUGI,AUGI
authentication,인증
authorized academic partner,공인 교육 파트너
authorized partner,공인 파트너
authorized reseller,공인협력업체
AutoCAD vertical,AutoCAD 산업군
Autocast,오토캐스트
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,오토데스크 교육 VAR(Value Added Reseller)
