source,target
1-year subscription,abonnement d'un an
3D,3D
3D printer,imprimante 3D
3D printing,impression 3D
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
About Us,A propos d'Autodesk
Accelerate Better Design,Réalisez plus rapidement de meilleures conceptions
acceleration,accélération
Account Management,Gestion des comptes
ACE,ACE
ACI,ACI
Act Now,Agissez maintenant
Activate & Register,Activation et enregistrement
activation code,code d'activation
Activation Limit Reached,Nombre maximal d'activations atteint
activation scenario,scénario d'activation
active contract,contrat actif
Active Directory,Active Directory
active rental plan,forfait de location actif
activity feed,fil d'activités
Activity Monitor,Activity Monitor
Add new payment method,Ajouter un nouveau moyen de paiement
add-in,complément
additive manufacturing,fabrication additive
add-on,complément
ADI,ADI
AdLM,AdLM
Administrative Tools,Outils d'administration
ADN,ADN
ADP,ADP
ADSK,ADSK
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Eclairement avancé
advertise,publier
AEC,AEC
AEC Collection,AEC Collection
aerospace,aéronautique
AIA,AIA
Airtable,Airtable
alert,alerte
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Aligned Marketing Program,programme d'alignement marketing
alpha channel,couche alpha
Alternative Distribution Methods,Autres méthodes de distribution
ambient color,couleur ambiante
ambient occlusion,occlusion ambiante
ambient temperature,température ambiante
amendment,avenant
American Institute of Architects,American Institute of Architects
AMP,AMP
anchor,ancrage
anchor point,point d'ancrage
angle,angle
angle constraint,contrainte d'angle
annealing,recuit
Announcements,Annonces
anti-aliasing,anti-crénelage
anti-boycott,anti-boycott
anti-corruption,anti-corruption
anxiety question,question sensible
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,Accord de licence de l'utilisateur final de l'App Store
AppFrame,AppFrame
APPID,APPID
Apple App Store,App Store d'Apple
Application Engineer,ingénieur d'application
application ID,ID d'application
Application Programming Interface,interface de programmation d'application
ArcGIS,ArcGIS
Architect's Supplemental Instruction,complément d’informations des architectes
Architectural Supplemental Instructions,compléments d'informations des architectes
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","architecture, ingénierie et construction"
array,baie
ASIs,ASI
Ask Autodesk,Ask Autodesk
ASM,ASM
aspect ratio,rapport de linéarité
asset,élément
ATC,ATC
ATC Agreement,contrat ATC
ATC Global Program Guide,guide du programme mondial ATC
ATC Locator,recherche de centres de formation ATC
ATC Online Evaluation System,système d'évaluation ATC en ligne
ATC Site Enrolment and Business Plan Form,formulaire d'inscription de site ATC et de plan de développement
attach rate,taux d'attachement
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authentication,authentification
authorized academic partner,partenaire éducatif agréé Autodesk
authorized partner,partenaire agréé
authorized reseller,revendeur agréé
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD Mobile,AutoCAD mobile
Autocad Mobile app,application Mobile AutoCAD
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autocast,autocast
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,revendeur à valeur ajoutée éducative Autodesk
Autodesk Advanced Support,assistance avancée Autodesk Advanced Support
Autodesk Analytics,programme d'analyse d'Autodesk
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk App Store Verified Download,Téléchargement vérifié par Autodesk App Store
Autodesk assessment test,test d'évaluation Autodesk
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Assistant,Assistant Autodesk
Autodesk Authorized Academic Partner,partenaire éducatif agréé Autodesk
Autodesk authorized reseller,revendeur agréé Autodesk
Autodesk Authorized Training Center,centre de formation agréé Autodesk
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,assistance de base Autodesk Basic Support
Autodesk BIM and Beam Blog,blog Autodesk BIM and Beam
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum","Programme pédagogique Autodesk BIM pour l'architecture, l'ingénierie et la gestion de la construction"
Autodesk BIM Transformation Services,services de transformation BIM d'Autodesk
Autodesk Bronze reseller,revendeur Autodesk Bronze
Autodesk Building Engineering Playbook,Guide d'ingénierie du bâtiment Autodesk
Autodesk Building YouTube Channel,chaîne YouTube Autodesk Building Solutions
Autodesk Business Center,Autodesk Business Center
Autodesk Business Value Methodology,méthodologie Autodesk de valeur pour l'entreprise
Autodesk CAD Manager Tools,Autodesk CAD Manager Tools Setup Wizard
Autodesk carbon footprint,empreinte carbone Autodesk
Autodesk Certification,certification Autodesk
Autodesk Certification Training,formation à la certification Autodesk
Autodesk Certified Instructor program,programme ACI (Autodesk Certified Instructor)
Autodesk Certified logo,logo d'utilisateur certifié Autodesk
Autodesk Certified Professional,professionnel certifié Autodesk
Autodesk Certified User program,programme de certification des utilisateurs d'Autodesk
Autodesk Channel Branding Guidelines,Charte graphique à l'usage des partenaires Autodesk
Autodesk Channel Sales Manager,responsable des ventes partenaires Autodesk
Autodesk Channel Team,équipe des partenaires Autodesk
Autodesk Classroom Training,formations Autodesk en salle de classe
Autodesk Clean Tech Partner Program,programme de partenariat Autodesk pour les technologies propres
Autodesk Collaboration and Data Management Services,services Autodesk de collaboration et de gestion des données
Autodesk Collaborative Project Management Solutions,solutions de gestion collaborative de projet d'Autodesk
Autodesk Compliance Program,programme de mise en conformité d'Autodesk
Autodesk Construction Cloud,Autodesk Construction Cloud
Autodesk Construction Magazine,Magazine Construction d'Autodesk
Autodesk Consulting,Autodesk Consulting
Autodesk Consulting Specialization Program,programme de spécialisation en conseils Autodesk
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Content Service,Autodesk Content Service
Autodesk Content Syndication Service,service de syndication de contenu Autodesk
Autodesk Creative Commons,Autodesk Creative Commons
Autodesk Creative Commons license,licence Autodesk Creative Commons
Autodesk Customer Engagement Program,programme ACE (Autodesk Customer Engagement)
Autodesk Customer Experience Team,Equipe expérience client Autodesk
Autodesk Customer Involvement Program,programme de participation du client Autodesk
Autodesk Customer Satisfaction Program,programme de satisfaction des clients Autodesk
Autodesk Customer Service representative,représentant du service clientèle Autodesk
Autodesk Customer Support,Assistance client Autodesk
Autodesk data management tools,outils de gestion des données Autodesk
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design and Creation Suites,suites Autodesk Design et Creation
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk DevDays Conference,conférence annuelle d'Autodesk organisée dans le cadre des DevDays
Autodesk Developer Network,réseau de développeurs Autodesk
Autodesk Developer Network Open,Réseau de développeurs Autodesk Open
Autodesk Digital Entertainment Creation solution,solutions Autodesk Digital Entertainment Creation
Autodesk Digital Magazine,Magazine numérique d'Autodesk
Autodesk Digital Prototyping Forum,Forum Autodesk Digital Prototyping
Autodesk Digital Prototyping solution,solution Autodesk de Digital Prototyping
Autodesk Digital STEAM Workshop,atelier Autodesk dédié aux disciplines STEAM numériques
Autodesk Distributor Agreement,Contrat de distribution Autodesk
Autodesk Docs,Autodesk Docs
Autodesk Download Manager,gestionnaire de téléchargement
Autodesk Drive,Autodesk Drive
Autodesk Education,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Autodesk Education Curriculum,programme de cours Autodesk Education
Autodesk Education Suite for Architecture & Engineering,Autodesk Education Suite pour l'architecture et la construction
Autodesk Education Suite for Civil & Structural Engineering,Autodesk Education Suite pour l'ingéniérie structure et les travaux publics
Autodesk Education Suite for Industrial Design,Autodesk Education Suite pour la conception industrielle
Autodesk Education Suite for Mechanical Engineering,Autodesk Education Suite pour l'ingénierie mécanique
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Engineer-to-Order Services,services Autodesk d'ingénierie à la demande
Autodesk Enterprise Priority Support,assistance prioritaire Autodesk Enterprise Priority Support
Autodesk Flex,Autodesk Flex
Autodesk flex token,jeton flex Autodesk
Autodesk FLUX Design Competition,Autodesk FLUX Design Competition
Autodesk forum,forum Autodesk
Autodesk Gallery,Galerie Autodesk
Autodesk Gold partner,partenaire Autodesk Gold
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk in the News,Autodesk dans l'actualité
Autodesk Industry Careers Framework for Games and Animation,Autodesk Industry Careers Framework pour les jeux et l'animation
Autodesk Infrastructure Solutions,Solutions Autodesk pour les infrastructures
Autodesk Inside Sales Team,équipe de vente interne d'Autodesk
Autodesk Insight,Autodesk Insight
Autodesk Installation Help,Autodesk - Aide à l'installation
Autodesk IPv4 License Manager for Mac,Autodesk IPv4 License Manager for Mac
Autodesk IPv6 License Manager for Mac,Autodesk IPv6 License Manager for Mac
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Fenêtre de démarrage Autodesk
Autodesk Learning and Education,Apprentissage et formation Autodesk
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,programme Autodesk Legacy
Autodesk License Compliance Team,équipe de mise en conformité des licences Autodesk
Autodesk License Manager,Autodesk License Manager
Autodesk Live,Autodesk Live
Autodesk Live Chat,Autodesk Live Chat
Autodesk Manufacturing Community Portal,portail de la communauté Autodesk Manufacturing Community
Autodesk Manufacturing Team,équipe Autodesk Manufacturing
Autodesk MasterClasses,MasterClasses Autodesk
Autodesk Masters award,prix Autodesk Masters Awards
Autodesk Masters Program,programme Autodesk Masters
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,manuels de formation officiels Autodesk
Autodesk Official Training Guides,guides de formation officiels Autodesk
Autodesk Online Store,Autodesk Boutique en ligne
Autodesk Online Testing Service,service de test en ligne Autodesk
Autodesk Panorama,Autodesk Panorama
Autodesk Partner Manager,responsable partenaires Autodesk
Autodesk Partner Marketing Platform,plateforme Marketing pour les partenaires Autodesk
