source,target
30-дневная демоверсия,30-day trial
3D,3D
3ds Max,3ds Max
3ds Max Design,3ds Max Design
3D-печать,3D printing
3D-принтер,3D printer
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
ACE,ACE
ACI,ACI
ADI,ADI
AdLM,AdLM
ADN,ADN
ADN Open,ADN Open
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AECO,AECO
AIA,AIA
ALC,ALC
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
API,API
App Store,App Store
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
ASI,ASIs
ASM,ASM
ATC,ATC
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
AutoCorrect,AutoCorrect
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk Business Center,Autodesk Business Center
Autodesk Compute Platform,Autodesk Compute Platform
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Consulting Media & Entertainment,Autodesk Consulting Media & Entertainment
Autodesk Content Service,Autodesk Content Service
Autodesk Customer Environment,Autodesk Customer Environment
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Design Suite и Creation Suite,Autodesk Design and Creation Suites
Autodesk Desktop Connector,Autodesk Desktop Connector
Autodesk Developer Network,Autodesk Developer Network
Autodesk Developer Network Open,Autodesk Developer Network Open
Autodesk Digital STEAM Workshop,Autodesk Digital STEAM Workshop
Autodesk Drive,Autodesk Drive
Autodesk Education,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Autodesk Education Experience,Autodesk Education Experience
Autodesk Education Suite for Architecture & Engineering,Autodesk Education Suite for Architecture & Engineering
Autodesk Education Suite for Civil & Structural Engineering,Autodesk Education Suite for Civil & Structural Engineering
Autodesk Education Suite for Industrial Design,Autodesk Education Suite for Industrial Design
Autodesk Education Suite for Mechanical Engineering,Autodesk Education Suite for Mechanical Engineering
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,Autodesk Legacy Program
Autodesk License Manager,Autodesk License Manager
Autodesk Lightning Integrated Case Experience,Autodesk Lightning Integrated Case Experience
Autodesk Live,Autodesk Live
Autodesk Meshmixer Toolkit,Autodesk Meshmixer Toolkit
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Order Entry,Autodesk Order Entry
Autodesk Panorama,Autodesk Panorama
Autodesk Partner Portal,Autodesk Partner Portal
Autodesk Platform Services,Autodesk Platform Services
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Streamline,Autodesk Streamline
Autodesk Translation Framework,Autodesk Translation Framework
Autodesk Trust Center,Autodesk Trust Center
Autodesk University,Autodesk University
Autodesk University Virtual,Autodesk University Virtual
Autodesk User Group International,Autodesk User Group International
Autodesk в социальных сетях,Follow Autodesk
Autodesk в центре внимания,Autodesk in the News
AVAR,AVAR
Backburner,Backburner
BIM,BIM
BIM 360,BIM 360
BIM 360 Ops,BIM 360 Ops
BIM360,BIM360
BlueSnap,BlueSnap
BPT,BPT
Brainshark,Brainshark
B-rep,B-rep
BuildingConnected,BuildingConnected
CDF,CDF
CER,CER
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Character Generator,Character Generator
CIP,CIP
Clean Tech,clean tech
Collaboration For Revit,Collaboration For Revit
Commercial New,Commercial New
Content Experience Design,Content Experience Design
CPM,CPM
CRM,CRM
CSI,CSI
CTA,CTA
Customer Value Hub,Customer Value Hub
cтроительное оборудование,building equipment
D&M,D&M
D&MwA,D&MwA
DAM,DAM
DCS,DCS
Designers Accord,Designers Accord
