source,target
3D-minimap,3D Mini-map
3D Move-gizmo,3D Move gizmo
3D Rotate-gizmo,3D Rotate gizmo
3D Scale-gizmo,3D Scale gizmo
ACC,ACC
accountbeheerder,account administrator
Hoogwerker,aerial lift
verzamelweergave,aggregate View
ALKIS,ALKIS
analytisch oppervlak,analytical surface
goedkeurder,approver
ATIL,ATIL
bijlage,attachment
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autodesk Construction Cloud,Autodesk Construction Cloud
Autodesk Insight,Autodesk Insight
Toegewezen aan,ball in court
BCA,BCA
Verbinding,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
Bedrijfseenheden,business units
BVC,BVC
BVCE,BVCE
BVCS,BVCS
toelichting-markering,callout markup
clash groep,clash group
clash service,clash service
cloudmodel,cloud model
Gerelateerde content,Content Awareness
coördinatieruimte,coordination space
Aantal calculatie,count takeoff
CWFU,CWFU
dashboard,dashboard
datacenter,data center
DECDEG,DECDEG
DEM,DEM
DMS,DMS
document,document
documentlogboek,document log
Document Management,Document Management
Documenten,Documents
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
hoogte,elevation
ellipssegment,ellipse segment
EVC,EVC
EVCE,EVCE
valbescherming,fall protection
bouwverslag,field report
bestand,file
FormIt,FormIt
Formulieren,Forms
Flexibele tijdsduur,free float
FU,FU
gizmo,gizmo
HDS,HDS
hitte-eiland,heat island
HGL,HGL
Startpagina,Home
HP,HP
hypermodellering,hypermodeling
Ia,Ia
InfraWorks 360,InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
initiator,initiator
melding,issue
Meldingen,Issues
foto's van het bouwterrein,jobsite photos
vloeiendheidsniveau,level of smoothness
LF,LF
Locaties,Locations
LP,LP
Aantekening,markup
Vergaderingen,Meetings
modeluitlijning,model alignment
meerdere deelnemers,multiple members
Navisworks,Navisworks
Navisworks Exporters,Navisworks Exporters
Navisworks Freedom,Navisworks Freedom
Navisworks Manage,Navisworks Manage
Navisworks Simulate,Navisworks Simulate
volgende actie door,next action by
knoop,node
geen clash,not an issue
PCO,PCO
Photo on ReCap 360,Photo on ReCap 360
Foto's,Photos
Piranesi EPix,Piranesi EPix
Plaats mij,Place Me
power-medewerker,power collaborator
voortgangsfoto's,progress photos
projectbeheerder,project administrator
pin,push pin
ReCap,ReCap
ReCap 360,ReCap 360
ReCap 360 Ultimate,ReCap 360 Ultimate
rapport,report
beoordelaar,reviewer
Revit,Revit
Revit Collaboration Suite,Revit Collaboration Suite
Revit LT,Revit LT
Aangepast RFI-veld,RFI custom field
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
rol,role
hoofdoorzaak,root cause
Projectplanning,Schedule
Instellingen,Settings
tekenblad,sheet
Bouwtekeningen,Sheets
SketchUp,SketchUp
stringveld,string field
Structural Analysis for Revit,Structural Analysis for Revit
sublocatie,sub-location
indiening,submittal
Indieningen,Submittals
calculatie-object,takeoff object
calculatie type,takeoff type
Teamomgeving,Team Space
Teams,Teams
Tijdlijn,Timeline
TimeLiner,TimeLiner
Tinkerplay,Tinkerplay
Vehicle Tracking,Vehicle Tracking
viewer,viewer
XDRef,XDRef
