source,target
3D printer,imprimante 3D
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
Accounting Standards Codification,codification des normes comptables
activation code,code d'activation
ad hoc analysis,analyse ponctuelle
add-in,composant additionnel
adoption path,chemin d’adoption
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
advertise,publier
AEC Information Model,modèle d’information AIC
AECO,AICE
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
alpha channel,canal alpa
ambient color,couleur ambiante
ambient temperature,température ambiante
anchor point,point d'ancrage
angle constraint,angle de contrainte
annual order value,valeur annuelle de la commande
anti-aliasing,anticrénelage
AppFrame,AppFrame
architectural decision record,fiche de décision architecturale
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","architecture, ingénierie et construction"
"Architecture, Engineering, Construction, and Operations","architecture, ingénierie, construction et exploitation"
aspect ratio,proportions
assembly,assemblage
asset,actif
"Authentication, Authorization and Accounting","authentification, autorisation et comptabilité"
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Mobile,AutoCAD Mobile
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
AutoCorrect,AutoCorrect
Autodesk Advanced Support,assistance avancée Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,assistance de base Autodesk Basic Support
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk Certified Instructor,formateur certifié Autodesk
Autodesk Cloud Standards,normes infonuagiques Autodesk
Autodesk Compute Platform,plateforme infonuagique Autodesk
Autodesk Construction Cloud,Autodesk Construction Cloud
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Consulting Media & Entertainment,"Consultation, médias et divertissements Autodesk"
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Content Service,Autodesk Content Service
Autodesk Customer Environment,environnement client Autodesk
Autodesk Customer Lifecycle,cycle de vie du client Autodesk
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Education Experience,expérience de formation Autodesk
Autodesk Enterprise Priority Support,assistance prioritaire pour les entreprises Autodesk Enterprise Priority Support
Autodesk Event Analysis,analyse d’événements Autodesk
Autodesk Growth Marketing,marketing de croissance d’Autodesk
Autodesk Health Dashboard,tableau de bord de santé Autodesk
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk LaunchPad,LaunchPad Autodesk
Autodesk Learning Central,Autodesk Learning Central
Autodesk Lightning Integrated Case Experience,expérience de dossiers intégrés Lightning Autodesk
Autodesk Machine Learning Platform,plateforme d’apprentissage automatique Autodesk
Autodesk Material Library,Autodesk Material Library
Autodesk Meshmixer Toolkit,boîte à outils Meshmixer Autodesk
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Order Entry,entrée de commandes Autodesk
Autodesk Platform Services,services de plateforme Autodesk
Autodesk Sales Incentive Management System,système de gestion des incitations à la vente Autodesk
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Shared Component,composants Autodesk partagés
Autodesk Streamline,Autodesk Streamline
Autodesk Training Center,Centre de formation Autodesk
Autodesk Translation Framework,cadre de traduction Autodesk
Autodesk University,Autodesk University
Backburner,Backburner
basic tooltip,info-bulle standard
BIM 360 Ops,BIM 360 Ops
BIM360,BIM360
boundary representation,modèle de représentation par frontières
Brainshark,Brainshark
BREP,MRF
B-rep,MRF
brightness,luminosité
building information model,modélisation des données du bâtiment
Building Information Modeling,Modélisation des données du bâtiment
building model,modèle de bâtiment
BuildingConnected,BuildingConnected
business process model and notation,modélisation et notation des processus d’affaires
CAD,CAO
center of excellence,comité d’excellence
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Character Generator,Character Generator
CLIC license manager,gestionnaire de licences CLIC
clip plane,plan de découpage
clipping boundary,limite d'écrêtage
cloud credits,crédits infonuagiques
cloud licensing,licences infonuagiques
cloud services,services infonuagiques
cloud solid modeling,modélisation de solides dans le nuage
Cloud Technologies,technologies infonuagiques
coarse,à gros grains
codec,codec
Collaboration For Revit,Collaboration For Revit
commercial cloud environment,environnement commercial infonuagique
common data environment,environnement de données communes
common data experience,expérience commune en matière de données
common workspace,espace de travail commun
Communication Center,Centre de communications
community of practice,communauté de pratique
community-generated content,contenu généré par la communauté
Computer Science Engineering,génie informatique
concave,concave
concept sketch,esquisse conceptuelle
Configurator 360,Configurator 360
consistent materials user interface,matériauthèque
Content Creation,création de contenu
Content Development,développement de contenus
content source,source du contenu
contextual tab,onglet contextuel
controlled unclassified information,information non classifiée contrôlée
controller cap,molette du contrôleur
coordinate space,espace des coordonnées
customer lifetime value,valeur du cycle de vie du client
customer research agreement,entente de recherche client
Customer Success Organization,organisation pour la réussite des clients
Customer Success Organization Team,équipe d'organisation pour la réussite des clients
Customer Value Hub,Centre de la valeur pour les clients
customer with a maintenance plan,client disposant d'un plan d'entretien
D&M,D&M
data enrichment,enrichissement des données
data gravity,gravité des données
dataset,jeu de données
Design Collaboration,collaboration en matière de conception
design for manufacturing and assembly,conception pour la fabrication et l’assemblage
Designated Support Specialist,spécialiste de soutien
Designers Accord,Designers Accord
Developer Advocacy and Support,parrainage et soutien des développeurs
Developer Support Program,programme d’assistance aux développeurs
digital customer lifecycle,cycle de vie du client numérique
Digital Experience and Customer Empowerment,expérience numérique et autonomisation des clients
digital HIG,directives d’interface humaine numérique
Digital Manufacturing Group,groupe de fabrication numérique
dimension,cote
discounted price,prix promotionnel
discounted pricing,tarif promotionnel
distributed license server,serveur de licences distribué
dotcom,point-com
dotcom guidance,directives point-com
duct,conduite
dynamic application security test,test de sécurité pour application dynamique
Eagle,Eagle
ECaaS,CE-S
eCommerce as a service,commerce électronique-service
