source,target
3D Mini-map,三维迷你地图
3D Rotate gizmo,三维旋转小控件
3D Scale gizmo,三维缩放小控件
abutment,桥台
account administrator,帐户管理员
administrator,管理员
aggregate View,聚合视图
air handler,空气处理设备
alignment geometry point,路线形状点
alignment offset,路线偏移
ALKIS,ALKIS
ampacity,载流量
analemma,8 字形分度标
analytical brace,分析支撑
analytical floor,分析楼层
angular speed,角速度
annotation,注释
APL,APL
apparent power,视在功率
appearance style,外观样式
arc-chord distance,弧弦距离
ArchiCAD model,ArchiCAD 模型
architectural floor,建筑楼层
artificial horizon,人工地平线
ASBD,ASBD
ASHRAE fitting,ASHRAE 管件
asset library,资源库
ATIL,ATIL
attachment,附件
AUM team,AUM 团队
Autodesk Image Library,Autodesk 图像库
average end area,平均端面积
azimuth,方位角
backsight,后视
ball in court,被分配者
base family,基本族
base surface,基准曲面
batch converter,批量转换器
Batch Print,Batch Print
Batch Utility,Batch Utility
BCA,BCA
bearing wall,承重墙
bend diameter,弯曲直径
berm,护道
bid package,投标资料包
billing period,计费期
BIM object,BIM 对象
BIM tool,BIM 工具
bloss,Bloss
blur,模糊
blurriness,模糊度
borrower,借用者
boundary point,边界点
bounding box,边界框
breakover removal,坡度变化
brick veneer,砖饰面
Bridge,桥
budget payment application,预算支付申请
budget transfer,预算转移
building common area,建筑公共面积
building footprint,建筑迹线
built-up roof,组合屋顶
bulge,凸起
business units,业务部门
butt,平接
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,电缆桥架
callout markup,详图索引标记
camera-centric,基于相机
cant,铁路超高
cap,端口
cartoon set,卡通集
casement,平开
cast-in-place,现场浇注
catchment,汇流
cavity wall,空心墙
CDE,CDE
ceiling plan,天花板平面
center line,中心线
center mark,中心标记
ceramic tile,瓷砖
chamfer,倒角
change analysis,更改分析
Changes tool,“更改”工具
chord distance,弦距离
clash,碰撞
Clash Detective,Clash Detective
clash grid,冲突网格
clash group,冲突组
clash service,冲突服务
clearance,间隙
clearance clash,间隙碰撞
clerestory,天窗
clip volume,剪裁范围
cloud model,云模型
code combination,规范组合
code set style,代码集样式
Cogo Points,几何空间点
cold water fixture unit,冷水卫浴装置当量
colinear,共线
company,公司
composite object,复合对象
composition roof,合成屋顶
Conceptual Energy Analysis,概念能量分析
conceptual mass,概念体量
condensate drain,冷凝水排水
conduit connector,导管接头
connection symbol,连接符号
constraint element,约束图元
constructability,可施工性
constructability modeling,可施工性建模
construction nail gun,建筑用钉枪
contact,联系人
Content Awareness,内容感知
content pack,内容包
contour label,等高线标签
controlled sharing,受控共享
convection load,对流载荷
convex,外凸
Coordinate System,坐标系
Coordinate Tracker,坐标追踪器
coordination space,协作空间
cope,连接端切割
COR,COR
corbel,托臂
corridor section editor,道路横断面编辑器
corridor shrinkwrap,道路包络线
corridor surface,道路曲面
cost impact,成本影响
cost payment application,成本支付申请
count takeoff,计数算量
counterfort,扶壁式
country kit,国家/地区套件
crossing pipe,交叉管道
crouch,蹲伏
cubic parabola,三次抛物线
current directory,当前目录
curtain grid,幕墙网格
curtain panel,幕墙嵌板
curtain system,幕墙系统
curtain wall frame,幕墙框架
curtain wall grid,幕墙网格
curtain wall mullion,幕墙竖梃
curtain wall unit,幕墙单元
curve tessellation distance,曲线拟合步长
curved beam,弯曲梁
cut-in speed wind,切入风速
cut-out speed wind,切出风速
CWFU,CWFU
dashboard,面板
data band,数据标注栏
daylight portal,采光口
daylighting glass,采光玻璃
dead load,恒荷载
DECDEG,DECDEG
deck,桥面
degrees minutes seconds,度/分/秒
DEM,DEM
design,设计
Desktop Connector,Desktop Connector
digital elevation model,数字高程模型
digital terrain model,数字地形模型
Distribution List,分发列表
DLL,dll
DMS,DMS
document,文档
document log,文档日志
Document Management,Document Management
drawing group,工程图组
drop amount,落差量
drop reference location,落差参考位置
drop value,落差值
drop-out,忽略
dry bulb,干球
drywall,补墙板
DTM,DTM
