source,target
versão experimental por 30 dias,30-day trial
impressora 3D,3D printer
ACE,ACE
código de ativação,activation code
suplemento,add-in
ADI,ADI
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
surcursal,affiliate
canal alfa,alpha channel
cor ambiente,ambient color
temperatura ambiente,ambient temperature
ponto de âncora,anchor point
restrição de ângulo,angle constraint
suavização de contornos,anti-aliasing
AOTC,AOTC
API,API
App Store,App Store
AppFrame,AppFrame
interface de programação de aplicações,application programming interface
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"arquitetura, engenharia e construção","architecture, engineering and construction"
ASM,ASM
proporção,aspect ratio
montagem,assembly
estrutura,asset
ATC,ATC
AUGI,AUGI
parceiro autorizado,authorized partner
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Revendedor autorizado da Autodesk,Autodesk authorized reseller
Centro de formação autorizado da Autodesk,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Blogue BIM and Beam da Autodesk,Autodesk BIM and Beam Blog
Revendedor Bronze da Autodesk,Autodesk Bronze reseller
Canal sobre construção da Autodesk no YouTube,Autodesk Building YouTube Channel
Certificação Autodesk,Autodesk Certification
logótipo Autodesk Certified,Autodesk Certified logo
Profissionais com certificação Autodesk,Autodesk Certified Professional
Formação em sala de aula da Autodesk,Autodesk Classroom Training
Consultadoria da Autodesk,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Suporte ao cliente da Autodesk,Autodesk Customer Support
Suites de projeto e criação Autodesk,Autodesk Design and Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Gestor de transferências da Autodesk,Autodesk Download Manager
Autodesk Education Community,Autodesk Education Community
Programa de aquisição por funcionários da Autodesk,Autodesk Employee Purchase Program
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Parceiro Ouro da Autodesk,Autodesk Gold partner
ID Autodesk,Autodesk ID
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Janela de início Autodesk,Autodesk LaunchPad
Formação Autodesk,Autodesk Learning and Education
Autodesk Learning Central,Autodesk Learning Central
Programa Legacy da Autodesk,Autodesk Legacy Program
Autodesk License Manager,Autodesk License Manager
Autodesk Live,Autodesk Live
logótipo Autodesk,Autodesk logo
MasterClasses da Autodesk,Autodesk MasterClasses
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Material de formação oficial da Autodesk,Autodesk Official Training Courseware
Guias de formação oficiais da Autodesk,Autodesk Official Training Guides
Loja online da Autodesk,Autodesk Online Store
Gestor de canal da Autodesk,Autodesk Partner Manager
Portal de parceiros Autodesk,Autodesk Partner Portal
Programa de parceiros Autodesk,Autodesk Partner Program
Especializações de parceiros Autodesk,Autodesk Partner Specializations
Parceiro Platina da Autodesk,Autodesk Platinum partner
Fornecedor preferencial de soluções Autodesk,Autodesk Premier Solutions Provider
Declaração de privacidade da Autodesk,Autodesk Privacy Statement
Representante de vendas da Autodesk,Autodesk sales representative
Serviços e suporte da Autodesk,Autodesk Services and Support
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Parceiro Prata da Autodesk,Autodesk Silver partner
Acordo de licença de software Autodesk,Autodesk Software License Agreement
Loja da Autodesk,Autodesk Store
Autodesk Streamline,Autodesk Streamline
Suite Autodesk,Autodesk suite
Centro de formação da Autodesk,Autodesk Training Center
Autodesk University,Autodesk University
Autodesk User Group International,Autodesk User Group International
Revendedor de valor acrescentado da Autodesk,Autodesk Value Added Reseller
Formação em sala de aula virtual da Autodesk,Autodesk Virtual Classroom Training
desenho de componentes automóveis,automotive component design
Backburner,Backburner
funcionalidades de base,baseline features
sugestão básica,basic tooltip
relatório referencial,benchmark report
melhores práticas,best practice
blogue,blog
Brainshark,Brainshark
luminosidade,brightness
componente de construção,building component
engenharia de construção,building engineering
comprar,buy
CAE,CAE
casos de estudo,case studies
caso de estudo,case study
catálogo,catalog
exame de certificação,certification exam
hardware certificado,certified hardware
Character Generator,Character Generator
clicar,click
plano de corte,clip plane
limite de corte,clipping boundary
extremidade fechada,closed end
créditos na nuvem,cloud credits
serviços na nuvem,cloud services
unidade de nuvem,cloud unit
grosso,coarse
codec,codec
gestão colaborativa de projetos,collaborative project management
licença comercial,commercial license
centro de comunicações,communication center
produtos complementares,companion product
