source,target
1-year subscription,jednoleté předplatné
30-day trial,30denní zkušební verze
3D,3D
3D printer,3D tiskárna
3D printing,3D tisk
Accelerate Better Design,Rychlejší a lepší navrhování
ACE,ACE
ACI,Program pro certifikované instruktory Autodesk
activation code,aktivační kód
active rental plan,aktivní plán pronájmu
add-in,doplněk
additive manufacturing,aditivní výroba
ADI,ADI
AdLM,Autodesk Licensing Manager
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
advertise,ohlašování
AEC,AEC
aerospace,letecký
Aligned Marketing Program,orientovaný marketingový program
alpha channel,kanál alfa
ambient color,barva okolí
American Institute of Architects,Americký institut architektů
anchor point,body kotvy
angle,úhel
angle constraint,úhlová vazba
Announcements,Oznámení
anti-aliasing,vyhlazení
API,rozhraní API
App Store,App Store
app store end user license agreement,Licenčním ujednáním s koncovým uživatelem služby App Store
AppFrame,AppFrame
APPID,ID aplikace
Application Engineer,aplikační inženýr
application ID,ID aplikace (APPID)
Application Programming Interface,rozhraní API
Architectural Supplemental Instructions,architektonické doplňkové instrukce
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
ASIs,ASI
Ask Autodesk,Zeptejte se Autodesku
ASM,ASM
aspect ratio,poměr stran
assembly,sestava
asset,položka
ATC,ATC
ATC Agreement,Smlouva ATC
attach rate,rychlost zapojení
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authorized partner,autorizovaný partner
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,Autodesk Academic Value Added Reseller
Autodesk Advanced Support,rozšířená podpora Autodesk Advanced Support
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk assessment test,posuzovací text Autodesk
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Authorized Academic Partner,autorizovaný akademický partner Autodesk
Autodesk authorized reseller,Autorizovaný prodejce společnosti Autodesk
Autodesk Authorized Training Center,Školicí centrum Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,základní podpora Autodesk Basic Support
Autodesk BIM and Beam Blog,blog Autodesk BIM and Beam
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum",Autodesk BIM pro studium správy v architektuře a stavebnictví
Autodesk BIM Transformation Services,transformační služby Autodesk BIM
Autodesk Building Engineering Playbook,Autodesk Building Engineering Playbook
