source,target
3D mesh primitive,primitif de maillage 3D
3D Mini-map,mini-carte 3D
3D Move gizmo,gizmo Déplacement 3D
3D Rotate gizmo,gizmo Rotation 3D
3D Scale gizmo,gizmo Echelle 3D
abutment,culée
ACC,ACC
account administrator,administrateur de compte
aggregate View,vue aggrégée
air handler,climatiseur
aligned section view,vue en coupe alignée
alignment geometry point,point de géométrie de l'axe
alignment offset,décalage de l'axe
ALKIS,ALKIS
ampacity,courant admissible
analemma,analemme
analytical brace,contreventement analytique
analytical floor,sol analytique
analytical surface,surface analytique
angle of deflection,tolérance angulaire
angular speed,vitesse angulaire
anti-shrinkage reinforcement,armature de peau
APL,APL
apparent power,puissance apparente
appearance style,style d'apparence
approver,approbateur
arc-chord distance,distance arc-corde
ArchiCAD model,modèle ArchiCAD
architectural floor,étage architectural
ASBD,ASBD
ASHRAE fitting,raccord ASHRAE
asset library,bibliothèque des équipements
ATIL,ATIL
attachment,pièce jointe
AUM team,équipe Gestion des utilisateurs Autodesk
Autodesk Image Library,bibliothèque d'images Autodesk
average end area,aire de fin moyenne
azimuth,azimut
backsight,visée arrière
ball in court,attributaire
base family,famille de base
base layer,calque de base
basemap,fond de carte
Batch Print,Batch Print
BCA,BCA
bearing wall,mur porteur
bend diameter,diamètre de cintrage
billing period,période de facturation
BIM object,objet BIM
BIM tool,outil BIM
bloss,Bloss
borrower,emprunteur
branch circuit,circuit de dérivation
brick veneer,placage de brique
Bridge,Pont
brushed,brossé
brushed aluminium,aluminium brossé
budget payment application,demande de paiement du budget
budget transfer,transfert de budget
building common area,partie commune des bâtiments
building footprint,empreinte du bâtiment
building level,niveau de bâtiment
built-up roof,toit d'assemblage
business units,divisions
butt,about
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,chemin de câbles
CADmep,CADmep
cant,dévers de rail
cap,extrémité
cartoon set,maquette numérique
casement,battant
cast-in-place,coulé sur place
catch basin,fosse septique
cavitation,cavitation
cavity wall,mur creux
CDE,ECD
ceiling plan,plan de plafond
center line,axe central
center mark,point de centre
ceramic tile,carreau en céramique
chamfer,chanfrein
characteristic strength,résistance caractéristique
Cipolletti,Cipolletti
clash group,groupe de conflits
clash service,service de détection des conflits
clerestory,claire-voie
clip volume,volume de délimitation
cloud model,modèle cloud
CNC data,données pour machines à commande numérique
code combination,combinaison de codes
COGO,COGO
cold water fixture unit,débit d'eau froide par appareil
colinear,colinéaire
collinear,colinéaire
composition roof,toit à couverture
compound curve,courbe composée
compressive strength,résistance à la compression
Conceptual Energy Analysis,analyse d'énergie conceptuelle
conceptual mass,volume conceptuel
condensate drain,purge condensat
conduit,conduit
conduit connector,connecteur de conduit
conduit fitting,raccord de conduit
constraint element,élément de contrainte
constructability modeling,modélisation de constructibilité
Content Awareness,Reconnaissance de contenu
content library,bibliothèque de contenu
content pack,module de contenu
contour label,étiquette de courbe
contracted,contracté
convection load,charge de convection
convex,convexe
coordination space,espace de coordination
cope,ajustement
corbel,corbeau
corridor section editor,éditeur de ligne de profil en travers du projet 3D
cost payment application,demande de paiement du débours
count takeoff,relevé unitaire
counterfort,contrefort
country kit,kit régional
cover level,niveau de la clé
crest curve,courbe à point haut
crossing pipe,croisement de canalisations
crown,sommet
crowned roadway,route en toit
CS,CS
current directory,répertoire actuel
curtain grid,quadrillage du mur-rideau
curtain panel,panneau de mur-rideau
curtain system,système de mur-rideau
curtain wall,mur-rideau
curtain wall frame,dormant de mur-rideau
curtain wall grid,grille de mur-rideau
curtain wall mullion,meneau de mur-rideau
curtain wall unit,unité de mur-rideau
curve tessellation distance,distance de maillage par approximation de la courbe
curved beam,poutre incurvée
custom girder,poutre personnalisée
cut-in speed wind,vitesse d'accrochage
cut-out speed wind,vitesse de coupure
CWFU,CWFU
dashboard,tableau de bord
daylight portal,claire-voie
daylighting glass,vitre d'éclairage lumineux naturel
DDG comment,commentaire DDG
dead load,charge permanente
DECDEG,DECDEG
deck,tablier
Degree Urbanization,degré d’urbanisation
degrees minutes seconds,"degrés, minutes, secondes"
DEM,DEM
demand factor,facteur de charge
design report,rapport de conception
Desktop Connector,Desktop Connector
digital elevation model,modèle DEM
digital terrain model,modèle numérique de terrain
DimConstraint,Contraintecote
direction type,type de direction
Distribution List,Liste de distribution
DLL,dll
DMS,DMS
document,document
document log,liste de documents
Document Management,Document Management
Documents,Documents
drainage network,réseau de drainage
drawing group,groupe de dessins
drop reference location,emplacement de référence de la dénivellation
dry bulb,température sèche
drywall,plâtre
DTM,DTM
duct connector,connexion de gaine
duct damper,amortisseur de gaine
duct fitting,raccord de gaine
duct lining,revêtement de gaine
duct system,système de gaines
duty head,charge de service
earthworks,terrassements
e-book,livre électronique
EDM,EDM
EGL,ligne de charge
electrical equipment,équipement électrique
electronic distance meter,télémètre électronique
elevation,élévation
elevation axis,axe d'élévation
ellipse segment,segment d'ellipse
embedded wall,mur encastré
end connector,connecteur de fin
engineering drawing,plan d’ensemble
equilibrium cant,dévers d'équilibre
EVC,EVC
EVCE,EVCE
exhaust air,extraction d'air
External Data Reference,référence aux données externes
fabrication parts,éléments de fabrication
fabricator,fabricant
field book,carnet de terrain
field splice,éclisse chantier
file,fichier
fill pattern,motif de remplissage
fillet,raccord
fillet radius,rayon de raccord
finite-element bridge analysis,analyse de pont par éléments finis
fixed window,fenêtre fixe
fixture unit,débit par appareil
flare angle,angle arrondi
float curve,courbe flottante
float valve,robinet à flotteur
floor plan,plan d'étage
flume,jaugeur
form element,élément de forme
FormIt,FormIt
Forms,Formulaires
foul flow,Débit d’eaux usées
foundation,fondation
frame,image
frame rate,nombre d'images par seconde
free float,marge libre
FU,FU
fuzz,estompage
Gantt,Gantt
general contractor,maître d'œuvre
general contractor company,société du maître d'œuvre
girder,poutre
girder shape,forme de poutre
gizmo,gizmo
global coordinate system,système de coordonnées universelles
grade break,changement de talus
grading plan,plan de nivellement
gravity network,réseau gravitaire
gravity pipe,canalisation gravitaire
ground conductor,conducteur de terre
ground level,niveau du sol
ground model,modèle numérique de terrain (MNT)
ground profile,ligne de profil en long du terrain naturel
ground water,nappe phréatique
guardrail,rambarde
handle,descripteur
HDS,HDS
head discharge table,table vidange/hauteur
headloss,perte de charge
heat gain,gain de chaleur
heat island,îlot thermique
