source,target
1-year subscription,годовая подписка
30-day trial,30-дневная демоверсия
3D,3D
3D printer,3D-принтер
3D printing,3D-печать
Accelerate Better Design,Повышенное качество проектов
ACE,ACE
ACI,ACI
activation code,код активации
active rental plan,активный договор на временное пользование
add-in,надстройка
additive manufacturing,аддитивное производство
ADI,ADI
AdLM,AdLM
ADN,ADN
ADN Open,ADN Open
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
advertise,анонсировать
aerospace,аэрокосмическая промышленность
AIA,AIA
ALC,ALC
Aligned Marketing Program,согласованные маркетинговые программы
All products,Все программы
alpha channel,альфа-канал
ambient color,рассеиваемый цвет
ambient temperature,температура окружающей среды
amendment,изменение
American Institute of Architects,Американский институт архитекторов
anchor,привязка
anchor point,точка привязки
angle,угол
angle constraint,угловая зависимость
Announcements,объявления
anti-aliasing,сглаживание
anti-boycott,противодействие бойкотам
anti-corruption,противодействие коррупции
anxiety question,тревожный вопрос
API,API
App Store,App Store
app store end user license agreement,лицензионное соглашение с конечным пользователем App Store
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,инженер по внедрению
application ID,идентификатор приложения
Application Programming Interface,интерфейс прикладного программирования
Architect's Supplemental Instruction,вспомогательная инструкция архитектора
Architectural Supplemental Instructions,вспомогательные инструкции архитекторов
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
ASIs,ASI
Ask Autodesk,Спросить Autodesk
ASM,ASM
aspect ratio,пропорции
assembly,сборка
asset,компонент
ATC,ATC
ATC Agreement,Договор с ATC
ATC Global Program Guide,глобальный справочник по программе ATC
ATC Locator,поиск авторизованных учебных центров Autodesk
ATC Online Evaluation System,онлайн-система оценки ATC
ATC Site Enrolment and Business Plan Form,форма регистрации учебной площадки и бизнес-плана для ATC
attach rate,коэффициент привлечения
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authorized partner,авторизованный партнер
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,авторизованный партнер Autodesk для образовательных учреждений
Autodesk Analytics,программа по анализу использования продуктов Autodesk
Autodesk Animation Academy,Autodesk Animation Academy
Autodesk App Store Verified Download,проверенная загрузка с Autodesk App Store
Autodesk assessment test,оценочный тест Autodesk
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Authorized Academic Partner,авторизованный партнер Autodesk в сфере образования
Autodesk authorized reseller,авторизованный партнер Autodesk
Autodesk Authorized Training Center,Авторизованный учебный центр Autodesk
Autodesk Backburner,Autodesk Backburner
Autodesk BIM and Beam Blog,Блог BIM and Beam
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum",Учебный курс по Autodesk BIM для архитектуры и строительства
Autodesk BIM Transformation Services,решения Autodesk по переходу к технологии BIM
Autodesk Bronze reseller,партнер Autodesk со статусом Bronze
Autodesk Building Engineering Playbook,Руководство по строительным решениям Autodesk
Autodesk Building YouTube Channel,канал YouTube по решениям Autodesk для строительной промышленности
Autodesk Business Center,Autodesk Business Center
Autodesk Business Value Methodology,методология Autodesk для измерения ценности бизнеса
Autodesk carbon footprint,углеродный след Autodesk
Autodesk Certification,сертификация Autodesk
Autodesk Certification Training,сертификационное обучение Autodesk
Autodesk Certified Instructor program,программа Autodesk Certified Instructor
Autodesk Certified logo,логотип Autodesk Certified
Autodesk Certified Professional,сертифицированные специалисты Autodesk
Autodesk Certified User program,программа Autodesk Certified User
Autodesk Channel Branding Guidelines,Рекомендации по брендингу для партнеров Autodesk
Autodesk Channel Sales Manager,менеджер по работе с авторизованными партнерами Autodesk
Autodesk Channel Team,специалисты Autodesk по работе с партнерами
Autodesk Classroom Training,очное обучение Autodesk
Autodesk Clean Tech Partner Program,партнерская программа Autodesk Clean Tech
Autodesk Collaboration and Data Management Services,решения Autodesk по совместной работе и управлению данными
Autodesk Collaborative Project Management Solutions,Решения Autodesk для совместного управления проектами
Autodesk Compliance Program,программа соответствия Autodesk
Autodesk Construction Magazine,журнал Autodesk о строительстве
Autodesk Consulting,служба консультирования Autodesk
