source,target
三维迷你地图,3D Mini-map
三维旋转小控件,3D Rotate gizmo
三维缩放小控件,3D Scale gizmo
桥台,abutment
帐户管理员,account administrator
管理员,administrator
聚合视图,aggregate View
空气处理设备,air handler
路线形状点,alignment geometry point
路线偏移,alignment offset
ALKIS,ALKIS
载流量,ampacity
8 字形分度标,analemma
分析支撑,analytical brace
分析楼层,analytical floor
角速度,angular speed
注释,annotation
APL,APL
视在功率,apparent power
外观样式,appearance style
弧弦距离,arc-chord distance
ArchiCAD 模型,ArchiCAD model
建筑楼层,architectural floor
人工地平线,artificial horizon
ASBD,ASBD
ASHRAE 管件,ASHRAE fitting
资源库,asset library
ATIL,ATIL
附件,attachment
AUM 团队,AUM team
Autodesk 图像库,Autodesk Image Library
平均端面积,average end area
方位角,azimuth
后视,backsight
被分配者,ball in court
基本族,base family
基准曲面,base surface
批量转换器,batch converter
Batch Print,Batch Print
Batch Utility,Batch Utility
BCA,BCA
承重墙,bearing wall
弯曲直径,bend diameter
护道,berm
投标资料包,bid package
计费期,billing period
BIM 对象,BIM object
BIM 工具,BIM tool
Bloss,bloss
模糊度,blurriness
借用者,borrower
边界点,boundary point
边界框,bounding box
坡度变化,breakover removal
砖饰面,brick veneer
桥,Bridge
预算支付申请,budget payment application
预算转移,budget transfer
建筑公共面积,building common area
建筑迹线,building footprint
组合屋顶,built-up roof
凸起,bulge
业务部门,business units
平接,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
电缆桥架,cable tray
详图索引标记,callout markup
基于相机,camera-centric
铁路超高,cant
端口,cap
卡通集,cartoon set
平开,casement
现场浇注,cast-in-place
汇流,catchment
空心墙,cavity wall
CDE,CDE
天花板平面,ceiling plan
中心线,center line
中心标记,center mark
瓷砖,ceramic tile
倒角,chamfer
更改分析,change analysis
“更改”工具,Changes tool
弦距离,chord distance
碰撞,clash
Clash Detective,Clash Detective
冲突网格,clash grid
冲突组,clash group
冲突服务,clash service
间隙,clearance
间隙碰撞,clearance clash
天窗,clerestory
剪裁范围,clip volume
云模型,cloud model
规范组合,code combination
代码集样式,code set style
几何空间点,Cogo Points
冷水卫浴装置当量,cold water fixture unit
共线,colinear
公司,company
复合对象,composite object
合成屋顶,composition roof
概念能量分析,Conceptual Energy Analysis
概念体量,conceptual mass
冷凝水排水,condensate drain
导管接头,conduit connector
连接符号,connection symbol
约束图元,constraint element
可施工性,constructability
可施工性建模,constructability modeling
建筑用钉枪,construction nail gun
联系人,contact
内容感知,Content Awareness
内容包,content pack
等高线标签,contour label
受控共享,controlled sharing
对流载荷,convection load
外凸,convex
坐标系,Coordinate System
坐标追踪器,Coordinate Tracker
协作空间,coordination space
连接端切割,cope
COR,COR
托臂,corbel
道路横断面编辑器,corridor section editor
道路包络线,corridor shrinkwrap
道路曲面,corridor surface
成本影响,cost impact
成本支付申请,cost payment application
计数算量,count takeoff
扶壁式,counterfort
国家/地区套件,country kit
交叉管道,crossing pipe
蹲伏,crouch
三次抛物线,cubic parabola
当前目录,current directory
幕墙嵌板,curtain panel
幕墙系统,curtain system
幕墙框架,curtain wall frame
幕墙竖梃,curtain wall mullion
幕墙单元,curtain wall unit
曲线拟合步长,curve tessellation distance
弯曲梁,curved beam
切入风速,cut-in speed wind
切出风速,cut-out speed wind
CWFU,CWFU
面板,dashboard
数据标注栏,data band
采光口,daylight portal
采光玻璃,daylighting glass
恒荷载,dead load
DECDEG,DECDEG
桥面,deck
度/分/秒,degrees minutes seconds
DEM,DEM
设计,design
Desktop Connector,Desktop Connector
数字高程模型,digital elevation model
数字地形模型,digital terrain model
分发列表,Distribution List
dll,DLL
DMS,DMS
文档,document
文档日志,document log
Document Management,Document Management
工程图组,drawing group
落差量,drop amount
落差参考位置,drop reference location
落差值,drop value
忽略,drop-out
干球,dry bulb
补墙板,drywall
DTM,DTM
风管调节阀,duct damper
风管管件,duct fitting
风管内衬,duct lining
风管系统,duct system
副本碰撞,duplicate clash
土方,earthworks
东距,easting
编辑点,edit point
EDM,EDM
电气设备,electrical equipment
电子测距仪,electronic distance meter
标高,elevation
标高轴,elevation axis
椭圆段,ellipse segment
内嵌墙,embedded wall
终点连接件,end connector
平衡铁路超高,equilibrium cant
EVC,EVC
EVCE,EVCE
执行权,executive
排风,exhaust air
外部距离,external distance
外部割线,external secant
护眼,eye
预制支架,fabrication hanger
预制零件,fabrication parts
镶嵌面系数,faceting factor
功能,feature
要素线,feature lines
外业手簿,field book
视野,field of view
现场拼接,field splice
现场团队,field team
文件,file
文件日志,files log
填充图案,fill pattern
圆角,fillet
配件,fitting
固定线,fixed line
固定窗,fixed window
卫浴装置当量,fixture unit
排水沟边坡顶点,flange point
扩口角度,flare angle
浮动曲线,float curve
楼层平面,floor plan
焦点,focal point
表单,Form
形状图元,form element
基础,foundation
帧,frame
帧速率,frame rate
自由浮动时间,free float
FU,FU
甘特图,Gantt
总承包商,general contractor
总承包商公司,general contractor company
大梁,girder
小控件,gizmo
百分度,grad
重力管网,gravity network
重力管道,gravity pipe
栅格填充,grid padding
地线,ground conductor
地下水,ground water
护栏,guardrail
支架,hanger
硬碰撞,hard clash
HDS,HDS
热岛,heat island
