source,target
mesh 3D elementare,3D mesh primitive
gizmo Spostamento 3D,3D Move gizmo
gizmo Rotazione 3D,3D Rotate gizmo
gizmo Scala 3D,3D Scale gizmo
spalla,abutment
amministratore,administrator
piattaforma di lavoro aerea,aerial lift
unità di trattamento aria,air handler
vista in sezione allineata,aligned section view
punto notevole tracciato,alignment geometry point
scostamento tracciato,alignment offset
ALKIS,ALKIS
portata del conduttore,ampacity
analemma,analemma
controvento analitico,analytical brace
pavimento analitico,analytical floor
superficie analitica,analytical surface
angolo di deflessione,angle of deflection
velocità angolare,angular speed
annotazione,annotation
armatura antiritiro,anti-shrinkage reinforcement
APL,APL
alimentazione apparente,apparent power
stile aspetto,appearance style
distanza arco-corda,arc-chord distance
ArcGIS,ArcGIS
Modello di ArchiCAD,ArchiCAD model
piano architettonico,architectural floor
ASBD,ASBD
raccordo ASHRAE,ASHRAE fitting
Risorse,Assets
ATIL,ATIL
team AUM,AUM team
Modello di AutoCAD,AutoCAD model
Libreria di immagini Autodesk,Autodesk Image Library
sezioni ragguagliate,average end area
scostamento dell'asse,axis offset
azimut,azimuth
punto ribattuto,backsight
responsabilità,ball in court
famiglia di base,base family
layer base,base layer
carta base,basemap
Batch Print,Batch Print
BCA,BCA
BCF,BCF
muro portante,bearing wall
diametro di curvatura,bend diameter
pacchetto di offerta,bid package
Bloss,bloss
utente che prende in prestito,borrower
circuito derivato,branch circuit
rivestimento in mattoni,brick veneer
Ponte,Bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
spazzolato,brushed
alluminio spazzolato,brushed aluminium
instabilità,buckling
segmento codice budget,budget code segment
area comune dell'edificio,building common area
perimetro edificio,building footprint
livello dell'edificio,building level
tetto a strati,built-up roof
curvatura,bulge
testa,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
passerella,cable tray
CADmep,CADmep
annotazione di richiamo,callout markup
etichetta di dettaglio,callout tag
sopraelevazione ferroviaria,cant
pendenza trasversale ferroviaria,cant gradient
terminazione,cap
bozza digitale,cartoon set
bacino di drenaggio,catch basin
drenaggio,catchment
area di drenaggio,catchment area
posizione di drenaggio,catchment location
muro ad intercapedine,cavity wall
linea d'asse,center line
centro,center mark
piastrella di ceramica,ceramic tile
cima,chamfer
resistenza caratteristica,characteristic strength
griglia delle interferenze,clash grid
lucernario,clerestory
volume di ritaglio,clip volume
modello cloud,cloud model
combinazione di norma,code combination
coefficiente,coefficient
portata di progetto acqua fredda,cold water fixture unit
azienda,company
tetto sintetico,composition roof
curva di continuità,compound curve
resistenza di compressione,compressive strength
Utilità di analisi energetica concettuale,Conceptual Energy Analysis
massa concettuale,conceptual mass
scarico condensa,condensate drain
tubo protettivo,conduit
connettore per tubo protettivo,conduit connector
raccordo tubo protettivo,conduit fitting
elemento vincolo,constraint element
modellazione di costruibilità,constructability modeling
contatto,contact
libreria di contenuti,content library
pacchetto di contenuti,content pack
etichetta della curva di livello,contour label
condivisione controllata,controlled sharing
carico di convezione,convection load
convesso,convex
spazio di coordinamento,coordination space
cimasa,cope
COR,COR
modiglione,corbel
editor di sezione modellatore,corridor section editor
sostegno,counterfort
country kit,country kit
raccordo convesso,crest curve
regione di taglio,crop region
condotta intersecante,crossing pipe
sommità,crown
sezione stradale a doppia falda,crowned roadway
CS,CS
directory corrente,current directory
sistema di facciata continua,curtain system
facciata continua,curtain wall
telaio di facciata continua,curtain wall frame
montante di facciata continua,curtain wall mullion
distanza tassellazione curva,curve tessellation distance
trave curva,curved beam
trave personalizzata,custom girder
velocità di taglio inferiore,cut-in speed wind
velocità di taglio superiore,cut-out speed wind
CWFU,CWFU
entrata della luce diurna,daylight portal
vetro per l'illuminazione con luce diurna,daylighting glass
carico permanente,dead load
DECDEG,DECDEG
impalcato del ponte,deck
DEM,DEM
fattore di richiesta,demand factor
progettazione,design
rapporto progetto,design report
Desktop Connector,Desktop Connector
diffuso,diffuse
modello digitale del terreno,digital terrain model
