source,target
alpha 混成,alpha-blend
角速度,angular speed
Autodesk 大師獎項,Autodesk Masters award
Autodesk 大師計劃,Autodesk Masters Program
軸偏移,axis offset
烘烤,bake
二進位大型物件,binary large object
綁定姿勢,bind pose
混合模式,blend mode
混成曲面,blend surface
模糊,blur
模糊度,blurriness
邊界框,bounding box
筆刷,brush
凸度,bulge
凸紋,bump
相機,camera
推開窗,casement
角色大型物件,character large object
CLOB,CLOB
封閉邊,closed edge
受約束的物件,constrained object
控制頂點,control vertex
凸面,convex
座標參考系統,coordinate reference system
CV,CV
CV 關聯線,CV hull
景深,depth of field
數位高程模型,digital elevation model
位移比例,displacement scale
調色,dithering
DOF,DOF
高程軸,elevation axis
滴管,eyedropper
圓角,fillet
畫面,frame
畫面速率,frame rate
全身反向運動,full-body inverse kinematics
衍生式設計,generative design
硬體描影程式,hardware shader
i-drop 目標,i-drop target
結構線,isoparm
肘形路緣,knuckle
圖層,layer
等級,level
線性陣列,linear array
網面,mesh
網面產生器,mesher
NTSC,NTSC
不透明度,opacity
光跡追蹤,ray tracing
反射貼圖,reflection map
取樣點,sample point
斜度偏移功率,slope-offset-power
SMPTE,SMPTE
SOP,SOP
模板,stencil
疊合縱斷面,superimposed profile
曲面修剪,surface trimming
通用操控點,universal manipulator
