source,target
1-year subscription,اشتراك لمدة عام واحد
30-day trial,تجربة لمدة 30 يومًا
3D printer,طابعة 3D
3D printing,طباعة 3D
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ACC,سحابة البناء من Autodesk
acceleration,التسارع
Account Management,إدارة الحساب
ACE,ACE
ACI,ACI
activation code,رمز التفعيل
activation scenario,سيناريو التفعيل
active contract,عقد ساري
Active Directory,المسار النشط
active rental plan,خطة تأجير سارية
activity feed,موجز النشاط
Activity Monitor,مراقبة النشاط
add-in,وظيفة إضافية
additive manufacturing,التصنيع الإضافي
add-on,وظيفة إضافية
ADI,ADI
AdLM,AdLM
Administrative Tools,أدوات إدارية
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,الإضاءة المتقدمة
AEC,AEC
AEC Collection,مجموعة AEC
aerospace,الفضاء
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Aligned Marketing Program,برنامج التسويق المتوافق
alpha channel,قناة ألفا
Alternative Distribution Methods,طرق التوزيع البديلة
ambient color,اللون المحيط
ambient occlusion,الإغلاق المحيطي
ambient temperature,درجة الحرارة المحيطة
amendment,تعديل
American Institute of Architects,المعهد الأمريكي للمهندسين المعماريين
anchor point,نقطة ارتساء
angle,زاوية
angle constraint,قيد الزاوية
annealing,التلدين
Ansys Mechanical,Ansys Mechanical
anti-boycott,مناهضة المقاطعة
anti-corruption,مكافحة الفساد
anxiety question,سؤال مطروح
API,API
App Store,App Store
app store end user license agreement,اتفاقية ترخيص المستخدم النهائي لمتجر التطبيقات
AppFrame,AppFrame
APPID,معرف التطبيق
Apple App Store,متجر تطبيقات Apple
Application Engineer,مهندس التطبيقات
application ID,معرف التطبيق
Application Programming Interface,واجهة برمجة التطبيقات
aPriori,aPriori
ArcGIS,ArcGIS
Architect's Supplemental Instruction,التعليمات الإضافية للمهندس المعماري
Architectural Supplemental Instructions,التعليمات الإضافية المعمارية
"Architecture, Engineering & Construction Collection",مجموعة العمارة والهندسة والإنشاءات
"architecture, engineering and construction",العمارة والهندسة والإنشاءات
array,مصفوفة
ASM,ASM
aspect ratio,نسبة العرض إلى الارتفاع
assembly,تجميع
asset,الأصول
ATC,ATC
ATC Agreement,اتفاقية ATC
ATC Global Program Guide,دليل البرنامج العالمي لـ ATC
ATC Locator,مُحدد موقع ATC
ATC Online Evaluation System,نظام التقييم عبر الإنترنت لـ ATC
ATC Site Enrolment and Business Plan Form,نموذج خطة التسويق والتسجيل على موقع ATC
attach rate,سعر الالتحاق
AU Virtual,برنامج AU Virtual
AUGI,AUGI
authentication,مصادقة
authorized academic partner,شريك أكاديمي معتمد
authorized partner,شريك معتمد
authorized reseller,موزع معتمد
AutoCAD,AutoCAD
AutoCAD 2019 Add-In,الوظيفة الإضافية AutoCAD 2019
AutoCAD 360,AutoCAD 360
AutoCAD Architecture 2019 Add-In,الوظيفة الإضافية AutoCAD Architecture 2019
AutoCAD Civil 3 D 2019 Add-In,الوظيفة الإضافية AutoCAD Civil 3 D 2019
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD DXF,AutoCAD DXF
AutoCAD Electrical,AutoCAD Electrical
AutoCAD Electrical 2019 Add-In,الوظيفة الإضافية AutoCAD Electrical 2019
AutoCAD Electrical Turing Beta,إصدار بيتا لـ AutoCAD Electrical Turing
AutoCAD for Mac,AutoCAD for Mac
AutoCAD including specialized toolsets,AutoCAD مع مجموعات الأدوات المتخصصة
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT 2019 Add-In,الوظيفة الإضافية AutoCAD LT 2019
AutoCAD LT for Mac,AutoCAD LT لجهاز Mac
AutoCAD Map 2019 Add-In,الوظيفة الإضافية AutoCAD Map 2019
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Mechanical 2019 Add-In,الوظيفة الإضافية AutoCAD Mechanical 2019
AutoCAD MEP 2019 Add-In,الوظيفة الإضافية AutoCAD MEP 2019
AutoCAD Migration Assistance,مساعد النقل لـ AutoCAD
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3 D 2019 Add-In,الوظيفة الإضافية AutoCAD Plant 3 D 2019
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
AutoCAD Structural Detailing 2019 Add-In,الوظيفة الإضافية AutoCAD Structural Detailing 2019
AutoCAD Utility Design 2019 Add-In,الوظيفة الإضافية AutoCAD Utility Design 2019
AutoCAD vertical,AutoCAD vertical
Autocast,Autocast
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,موزع Autodesk الأكاديمي المعتمد
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Analytics,برنامج تحليلات Autodesk
Autodesk Animation Academy,أكاديمية Autodesk للرسوم المتحركة
Autodesk App Store Verified Download,تنزيل تم التحقق منه على متجر تطبيقات Autodesk
Autodesk assessment test,اختبار تقييم Autodesk
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Authorized Academic Partner,شريك أكاديمي معتمد من Autodesk
Autodesk authorized reseller,موزع Autodesk المعتمد
Autodesk Authorized Training Center,مركز تدريب Autodesk المعتمد
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,مدونة Autodesk BIM وBeam
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum",منهج Autodesk BIM لفن العمارة والهندسة وإدارة مشاريع البناء
Autodesk BIM Transformation Services,خدمات تحول Autodesk BIM
Autodesk Bronze reseller,الموزعون من الفئة البرونزية لشركة Autodesk
Autodesk Building Engineering Playbook,دليل Autodesk لهندسة المباني
Autodesk Building YouTube Channel,قناة Autodesk المتخصصة بالبناء على YouTube
Autodesk Business Center,مركز أعمال Autodesk
Autodesk Business Value Methodology,منهجية قيمة أعمال Autodesk
Autodesk carbon footprint,تأثير Autodesk على البيئة
Autodesk Certification,اعتماد Autodesk
Autodesk Certification Training,التدريب على شهادة Autodesk
Autodesk Certified Instructor program,برنامج المدرب المعتمد من Autodesk
Autodesk Certified logo,شعار معتمد من Autodesk
Autodesk Certified Professional,محترف معتمد من Autodesk
Autodesk Certified User program,برنامج مستخدم Autodesk المعتمد
Autodesk Channel Sales Manager,مدير مبيعات قنوات Autodesk
Autodesk Channel Team,فريق قنوات Autodesk
Autodesk Classroom Training,تدريب الفصل الدراسي من Autodesk
Autodesk Clean Tech Partner Program,برنامج شريك التكنولوجيا النظيفة من Autodesk
Autodesk Collaboration and Data Management Services,خدمات التعاون وإدارة البيانات من Autodesk
Autodesk Collaborative Project Management Solutions,حلول إدارة المشاريع التعاونية من Autodesk
Autodesk Compliance Program,برنامج الامتثال من Autodesk
Autodesk Construction Cloud,سحابة Autodesk للإنشاءات
Autodesk Construction Magazine,مجلة Autodesk للإنشاءات
Autodesk Consulting,استشارات Autodesk
Autodesk Consulting Specialization Program,برنامج تخصص استشارات Autodesk
Autodesk Content Explorer,مستكشف محتوى Autodesk
Autodesk Content Service,Autodesk Content Service
Autodesk Content Syndication Service,خدمة توزيع محتوى Autodesk
Autodesk Creative Commons,Autodesk Creative Commons
Autodesk Creative Commons license,ترخيص Autodesk Creative Commons
Autodesk Customer Engagement Program,برنامج تفاعل العملاء من Autodesk
Autodesk Customer Experience Team,فريق تجربة العملاء من Autodesk
Autodesk Customer Involvement Program,برنامج مشاركة عملاء Autodesk
Autodesk Customer Satisfaction Program,برنامج رضا عملاء Autodesk
Autodesk Customer Service representative,ممثل خدمة عملاء Autodesk
Autodesk Customer Support,دعم عملاء Autodesk
Autodesk data management tools,أدوات إدارة بيانات Autodesk
Autodesk Design Academy,أكاديمية Autodesk Design
Autodesk Design and Creation Suites,مجموعة Autodesk للتصميم والإبداع
Autodesk Design for Industry,برنامج Autodesk Design للصناعة
Autodesk Design Institute,معهد Autodesk Design
Autodesk Design Package,Autodesk Design Package
Autodesk Desktop Connector,موصل سطح المكتب من Autodesk
Autodesk DevDays Conference,مؤتمر Autodesk DevDays
Autodesk Developer Network,شبكة مطوري Autodesk
Autodesk Developer Network Open,الشبكة المفتوحة لمطوري Autodesk
Autodesk Digital Entertainment Creation solution,حل إنشاء الترفيه الرقمي من Autodesk
Autodesk Digital Magazine,المجلة الرقمية من Autodesk
Autodesk Digital Prototyping Forum,منتدى النماذج الرقمية من Autodesk
Autodesk Digital Prototyping solution,حل النمذجة الرقمية من Autodesk
Autodesk Digital STEAM Workshop,ورقة STEAM الرقمية من Autodesk
Autodesk Distributor Agreement,اتفاقية موزع Autodesk
Autodesk Docs,مستندات Autodesk
