source,target
30-day trial,30 päivän kokeiluversio
3D printer,3D-tulostin
ACE,ACE
ACI,ACI
activation code,aktivointikoodi
add-in,lisäosa
ADI,ADI
ADN,ADN
ADN Open,ADN Open
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
alpha channel,alpha-kanava
ambient color,yleisvalaistuksen väri
ambient temperature,ympäristön lämpötila
anchor point,ankkuripiste
angle constraint,kulman rajoite
anti-aliasing,sahalaitaisuuden poisto
AOTC,AOTC
API,API
App Store,App Store
AppFrame,AppFrame
application programming interface,ohjelmointirajapinta
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","arkkitehtuuri, tekninen suunnittelu ja rakennusala"
ASM,ASM
aspect ratio,kuvasuhde
assembly,kokoonpano
asset,resurssi
ATC,ATC
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk assessment test,Autodesk-arviointikokeet
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,Autodeskin valtuuttama jälleenmyyjä
Autodesk Authorized Training Center,Autodeskin valtuuttama koulutuskeskus
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,Autodesk BIM and Beam -blogi
Autodesk Bronze reseller,Autodesk Bronze -jälleenmyyjä
Autodesk Building YouTube Channel,Autodesk Building -Youtube-kanava
Autodesk Certification,Autodeskin sertifiointi
Autodesk Certified Instructor program,Autodesk Certified Instructor -koulutusohjelma
Autodesk Certified logo,Autodesk Certified -logo
Autodesk Certified Professional,Autodesk Certified Professional
Autodesk Collaborative Project Management Solutions,Autodeskin CPM (Collaborative Project Management) -ratkaisut
Autodesk Compliance Program,Autodesk Compliance -ohjelma
Autodesk Consulting,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design and Creation Suites,Autodesk Design Suite ja Autodesk Creation Suite
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodeskin kehittäjäverkosto
Autodesk Developer Network Open,ADN Open
Autodesk Digital Entertainment Creation solution,Autodeskin digitaalisen viihteen luontiratkaisut
Autodesk Digital Prototyping Forum,Autodesk Digital Prototyping Forum -tapahtuma
Autodesk Download Manager,Autodeskin Download Manager -sovellus
Autodesk Education,Autodeskin koulutustarjonta
Autodesk Education Community,Autodesk Education Community -ryhmä
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk forum,Autodeskin keskustelupalstat
Autodesk Gold partner,Autodesk Gold Partner
Autodesk ID,Autodesk ID
Autodesk in the News,Autodesk uutisissa
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,Autodesk Legacy -ohjelma
Autodesk Manufacturing Team,Autodesk Manufacturing -tiimi
Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Guides,Autodeskin viralliset koulutusmateriaalit
Autodesk Online Store,Autodeskin verkkokauppa
Autodesk Partner Manager,Autodesk Partner Manager
Autodesk Partner Portal,Autodesk Partner -portaali
Autodesk Partner Program,Autodesk Partner Program -kumppanuusohjelma
Autodesk Partner Specializations,Autodeskin kumppaneiden erikoistumisalat
Autodesk Platinum partner,Autodesk Platinum Partner
Autodesk Premier Solutions Provider,Autodesk Premier Solutions Provider
Autodesk Privacy Statement,Autodeskin tietosuojalausunto
Autodesk Professional Excellence,Autodesk Professional Excellence
Autodesk sales representative,Autodeskin myyntiedustaja
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Silver partner,Autodesk Silver Partner
Autodesk software license,Autodesk-ohjelmistolisenssi
Autodesk Software License Agreement,Autodesk-ohjelmiston lisenssisopimus
Autodesk Streamline,Autodesk Streamline
Autodesk suite,Autodesk Suite
Autodesk Training Center,Autodesk-koulutuskeskus
Autodesk University,Autodesk University
Autodesk University Virtual,Autodesk University Virtual
Autodesk User Group International,Autodesk User Group International
Autodesk Value Added Reseller,Autodeskin valtuuttama jälleenmyyjä
automotive component design,autoteollisuuden komponenttien suunnittelu
Backburner,Backburner
baseline features,perusominaisuudet
basic tooltip,perustyökaluvihje
blog,blogi
Brainshark,Brainshark
brightness,kirkkaus
building component,rakennuskomponentti
building engineering,rakennussuunnittelu
building product,rakennustuotteet
case studies,tapauskertomuksia
case study,tapauskertomus
certification exam,sertifiointikoe
Certified Associate,Certified Associate
channel partner,kanavakumppani
Character Generator,Character Generator
clip plane,leikkaustaso
clipping boundary,leikkausraja
closed end,suljettu pää
cloud credits,pilvipisteet
cloud services,pilvipalvelut
cloud unit,Cloud-yksiköt
coarse,karkea
codec,pakkauksenhallinta
commercial license,kaupallinen lisenssi
companion product,oheistuote
comprehensive exam guide,perusteelliset tutkinto-oppaat
concave,kovera
concept sketch,konseptiluonnos
construction manager,rakennusmestari
consulting system integrator partner,Consulting System Integrator -kumppanuusohjelma
consumer product,kulutushyödyke
content source,sisällön lähde
contextual tab,aihevälilehti
continuing education credit,ammattimaiset lisensointi- ja jatko-opiskelukrediitit
contract manager,sopimuspäällikkö
controller cap,ohjain
coordinate space,koordinaattiavaruus
crossgrade,tuotevaihto
CSI,CSI
curricula,opetussuunnitelmia
customer gallery,asiakasgalleria
customer relationship management,asiakkuudenhallinta
customer reviews,asiakasarviot
customer showcase,asiakkaan esittely
customer stories,asiakastarinat
customer success stories,asiakkaiden menestystarinat
customer with a maintenance plan,"asiakas, jolla on ylläpitosuunnitelma"
data acquisition,datan luonti
data silo,tietosiilot
defense,maanpuolustus
demo video,esittelyvideo
design intent,suunnittelutavoite
design validation,suunnitelmien validointi
design visualization,suunnitelmien visualisointi
Designers Accord,Designers Accord
digital entertainment creation,digitaalisen viihteen luonti
