source,target
3D hálóprimitív,3D mesh primitive
3D mozgatási minialkalmazás,3D Move gizmo
3D forgatási minialkalmazás,3D Rotate gizmo
3D léptékezési minialkalmazás,3D Scale gizmo
légkezelő,air handler
illesztett metszet,aligned section view
ALKIS,ALKIS
névleges áram,ampacity
analemma,analemma
tartószerkezeti merevítés,analytical brace
analitikus födém,analytical floor
analitikus felület,analytical surface
hajlásszög,angle of deflection
szögsebesség,angular speed
feliratozás,annotation
Látszólagos teljesítmény,apparent power
megjelenésstílus,appearance style
kapcsolódó út,approach road
ív-húr távolság,arc-chord distance
ArcGIS,ArcGIS
építészeti szint,architectural floor
ASHRAE-idom,ASHRAE fitting
eszközelemtár,asset library
aszimmetrikus útsablon,asymmetrical roadway template
ATIL,ATIL
átlag végterület,average end area
tengelyeltolás,axis offset
azimut,azimuth
alapcsalád,base family
alapfólia,base layer
Batch Print,Batch Print
BCA,BCA
teherhordó fal,bearing wall
padozatképzés,benching
hajlítási átmérő,bend diameter
keret és mutató hézag,border and leader gap
kölcsönző,borrower
perempont,boundary point
határolt térfogat,bounded volume
befoglaló forma,bounding shape
télgaborítás,brick veneer
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
közösen használt épületterület,building common area
épületkontúr,building footprint
épületszint,building level
zsindelytető,built-up roof
derékszög,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
elkerülő sáv,bypass lane
kábeltálca,cable tray
tervhivatkozás címke,callout tag
vasúti túlemelés,cant
vasúti túlemelés meredeksége,cant gradient
végzárás,cap
lapkészletsablon,cartoon set
nyíló,casement
monolit,cast-in-place
víznyelő medence,catch basin
vízgyűjtő terület,catchment
vízgyűjtő helye,catchment location
üreges fal,cavity wall
mennyezetterv,ceiling plan
középjel,center mark
kerámialap,ceramic tile
csatorna,channel
TENG,CL
hézag,clearance
világítóablak,clerestory
metszőtérfogat,clip volume
egyenértékű hidegvízfogyasztási egység,cold water fixture unit
kombinált víznyelő,combination inlet
összetett térfogat,composite volumes
kompozit tető,composition roof
kosárív,compound curve
Koncepcionális energiaelemzés,Conceptual Energy Analysis
koncepcióterv,conceptual mass
kondenzvíz-elvezető,condensate drain
vezeték,conduit
vezetékcsatlakozó,conduit connector
csatlakozó,connector
kényszerelem,constraint element
kivitelezhetőség modellezése,constructability modeling
konstrukciós háromszög,construction triangle
tartalomtár,content library
tartalomcsomag,content pack
Szintvonalfelirat,contour label
vezérelt tartomány,control region
konvekciós terhelés,convection load
konvex,convex
igazodás,cope
gyámkő,corbel
nyomtervkeresztszelvény-szerkesztő,corridor section editor
országfüggő csomag,country kit
Keresztező cső,crossing pipe
tető,crown
tetőszelvényes út,crowned roadway
szegély,curb
oldalbeömlésű víznyelő,curb opening inlet
szegélylekerekítés,curb return
aktuális alkönyvtár,current directory
függönyfalpanel,curtain panel
függöny rendszer,curtain system
függönyfal,curtain wall
függönyfal keret,curtain wall frame
függönyfal osztórúd,curtain wall mullion
függönyfalegység,curtain wall unit
ívelt gerenda,curved beam
bekapcsolási szélsebesség,cut-in speed wind
leállítási szélsebesség,cut-out speed wind
CWFU,CWFU
bevilágítás,daylight portal
bevilágító,daylighting glass
állandó terhelés,dead load
DECDEG,DECDEG
fok perc másodperc,degrees minutes seconds
DEM,DEM
Igénytényező,demand factor
mélypont,depression low point
Tervezési sebesség keresési módszere,design speed lookup method
Desktop Connector,Desktop Connector
különbségfelület,differential surface
méretkényszer,DimConstraint
DMS,DMS
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
rajzi csoport,drawing group
esés mértéke,drop amount
esés referenciahelye,drop reference location
esés értéke,drop value
Száraz léghőmérséklet,dry bulb
gipszkarton,drywall
DTM,DTM
áramlásszabályozó,duct damper
csatornabélés,duct lining
csatornarendszer,duct system
kelet koordináta,easting
EDM,EDM
elektromos berendezés,electrical equipment
elektronikus távmérő,electronic distance meter
magasság,elevation
magassági tengely,elevation axis
beágyazott fal,embedded wall
végcsatlakozás,end connector
Becsatlakozási hossz,entry length
szelvény,equation
elméleti túlemelés,equilibrium cant
EVC,EVC
EVCE,EVCE
Kivezetett levegő,exhaust air
Kiválási sáv,exit lane
Külső adatreferencia,External Data Reference
Külső metszővonal,external secant
kitöltési minta,fill pattern
lekerekítés,fillet
rögzített egyenes,fixed line
fix ablak,fixed window
egyenértékű fogyasztási egység,fixture unit
sík lap,flat face
úszóegyenes,floating line
alaprajz,floor plan
folyásfenékvonal,flow line
leporelló,flyout
formaelem,form element
helyben mozgatott,freehaul
súrlódási tényező,friction factor
Előkert,front yard
Homlokvonal,frontage
Homlokvonal-távolság,frontage offset
Homlokvonal kezdőpontja,frontage start point
FU,FU
