source,target
analytisk overflate,analytical surface
assosiativ avrunding,fillet
Autodesk Masters-pris,Autodesk Masters award
Autodesk Masters-program,Autodesk Masters Program
Autodesk-partner,Autodesk Partner
blandingsoverflate,blend surface
cel-skygget,cel shading
DPI,DPI
DSS,DSS
EDM,EDM
flat skygge,flat shading
fokalplan,focal plane
forholdsrestriksjon,infer constraints
fri bane,free orbit
Fusion,Fusion
iCopy,iCopy
iFeatures,iFeatures
iProperties,iProperties
markering,markup
modelloversettelse,model translation
organisk modellering,organic modeling
overflatenormaler,surface normal
plan flate,planar face
Pro,Pro
skissekant,sketch edge
språkpakke,language pack
Thick Client,Thick Client
Thin Client,Thin Client
tonemap-metode,tonemap method
underlag,underlay
Vault,Vault
workshop med nye funksjoner,new features workshop
