source,target
30-dages prøveversion,30-day trial
3D-printer,3D printer
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
abonnement,subscription
abonnementsfordele,subscription benefits
abonnent,subscriber
ACE,ACE
ACI,ACI
ad hoc-analyse,ad hoc analysis
ADI,ADI
Administration af data om igangværende arbejde,Work In Process Data Management
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AECO,AECO
afkast af investering,return on investment
aftale om kundeforskning,customer research agreement
aktiv,asset
aktiveringskode,activation code
alfakanal,alpha channel
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
analyse af fejltilstande og virkninger,failure mode and effects analysis
Anbefalet ydelse,Performance Recommendations
annoncere,advertise
anti-aliasing,anti-aliasing
Anvendelsesmuligheder,Use cases
AOTC,AOTC
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
Arbejdsgange,Workflows
Arbejdsgange og anvendelsesmuligheder,Workflows & use cases
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
arkitektonisk beslutningsprotokol,architectural decision record
"Arkitektur, ingeniørarbejde, konstruktion og drift","Architecture, Engineering, Construction, and Operations"
"arkitektur, teknik og konstruktion","architecture, engineering and construction"
årlig ordreværdi,annual order value
arrangere overlappet,cascade
ASM,ASM
ATC,ATC
AUGI,AUGI
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
