source,target
3D mesh primitive,3D मेश प्राचीन
3D Mini-map,3D मिनी-मैप
3D Move gizmo,3D मूव गिज़्मो
3D Rotate gizmo,3D रोटेट गिज़्मो
3D Scale gizmo,3D स्केल गिज़्मो
abutment,एब्यूटमेंट
account administrator,अकाउंट व्यवस्थापक
Activity Gantt View,ऐक्टिविटी गैंट व्यू
aggregate view,समग्र व्यू
air handler,एयर हेंडलर
Airtable,Airtable
aligned section view,संरेखित सेक्शन व्यू
alignment geometry point,संरेखण ज्यामिति बिंदु
alignment offset,संरेखण ऑफ़सेट
ALKIS,ALKIS
ampacity,उदारता
analemma,एनालेम्मा
analytical brace,विश्लेषणात्मक ब्रेस
analytical floor,विश्लेषणात्मक तल
analytical surface,विश्लेषणात्मक सतह
angle of deflection,विक्षेपण का कोण
angular speed,कोणीय गति
annotation,टिप्पणी
anti-shrinkage reinforcement,सिकुड़न-रोधी सुदृढीकरण
apparent power,स्पष्ट पावर
appearance style,रूप-रंग की शैली
approver,अनुमोदक
arc-chord distance,आर्क-कॉर्ड दूरी
ArchiCAD model,ArchiCAD मॉडल
architectural floor,वास्तुशिल्प फ़र्श
ASBD,ASBD
ASHRAE fitting,ASHRAE फ़िटिंग
asset library,असेट लाइब्रेरी
ATIL,ATIL
attachment,अटैचमेंट
AutoCAD model,AutoCAD मॉडल
Autodesk Image Library,Autodesk इमेज लाइब्रेरी
average end area,औसत अंत क्षेत्र
azimuth,दिगंश
backsight,बैकसाइट
ball in court,बॉल इन कोर्ट
base family,एक ही परिवार के
base layer,आधार परत
basemap,आधार मैप
BCA,BCA
BCF,BCF
bearing wall,बियरिंग वॉल
bend diameter,बेंड व्यास
bent bar,बेंट बार
billing period,बिलिंग की अवधि
BIM object,BIM ऑब्जेक्ट
bisymmetric,द्विसममितीय
bloss,खिलना
borrower,उधार लेने वाला
box girder,बॉक्स गर्डर
branch circuit,ब्रांच सर्किट
brick veneer,ईंट की पतली परत
brushed aluminium,ब्रश एल्यूमीनियम
budget transfer,बजट ट्रांसफ़र
building common area,बिल्डिंग कॉमन एरिया
building footprint,बिल्डिंग फ़ुटप्रिंट
building level,बिल्डिंग स्तर
built-up roof,निर्मित छत
bulge,उभार
burnishing,बर्निशिंग
business units,व्यावसायिक इकाइयां
butt,बट
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,केबल ट्रे
CADmep,CADmep
callout markup,कॉलआउट मार्कअप
callout tag,कॉलआउट टैग
camera-centric,कैमरा-केंद्रित
cant,कैंट
cant gradient,कैंट ग्रेडियेंट
cant view,कैंट व्यू
cap,कैप
cartoon set,कार्टून सेट
casement,केसमेंट
catch basin,कैच बेसिन
catchment,केचमेंट
catchment area,केचमेंट क्षेत्र
catchment location,केचमेंट लोकेशन
cavity wall,कैविटी वॉल
CDE,CDE
center line,केंद्र रेखा
center mark,केंद्र चिह्न
ceramic tile,सिरेमिक टाइल
change analysis,परिवर्तन विश्लेषण
Changes tool,परिवर्तन टूल
characteristic strength,विशेषता क्षमता
Cipolletti,सिपोलेटी
clash group,टकराव समूह
clash service,टकराव सेवा
clerestory,क्लेस्टोरी
clip volume,क्लिप वॉल्यूम
cloud model,क्लाउड मॉडल
code combination,कोड संयोजन
cold water fixture unit,ठंडे पानी की स्थिरता इकाई
colinear,कोलाइनर
collinear,कोलाइनर
composition roof,कंपोज़िशन छत
compound curve,यौगिक वक्र
compressive strength,सम्पीडक क्षमता
concentrated force,संकेंद्रित बल
conceptual energy analysis,वैचारिक ऊर्जा विश्लेषण
conceptual mass,वैचारिक जन
condensate drain,घनीभूत नाली
conduit,नाली
conduit connector,नाली कनेक्टर
conduit fitting,नाली की फ़िटिंग
connector,कनेक्टर
constraint element,बाधा तत्व
constructability modeling,निर्माणशीलता मॉडलिंग
content awareness,कॉन्टेंट जागरूकता
content library,कॉन्टेंट लाइब्रेरी
content pack,कॉन्टेंट पैक
contingency,आकस्मिकता
contour label,समोच्च लेबल
contracted,संकुचित
contributor,योगदानकर्ता
convection load,संवहन लोड
convex,उत्तल
coordination space,समन्वय स्थान
cope,कोप
COR,COR
corbel,घोड़िया
co-reviewer,सह-समीक्षक
corridor section,कोरिडोर सेक्शन
cost impact,लागत प्रभाव
cost management,लागत प्रबंधन
cost payment application,लागत पेमेंट एप्लिकेशन
count takeoff,काउंट टेकऑफ़
country kit,देशी किट
crest curve,शिखा वक्र
crossing pipe,क्रॉसिंग पाइप
crossover library,क्रॉसओवर लाइब्रेरी
crown,क्राउन
crowned roadway,क्राउन वाली सड़क
CS,CS
cubic parabola,क्यूबिक पैराबोला
current directory,मौजूदा निर्देशिका
curtain grid,पर्दे वाली ग्रिड
curtain panel,पर्दा पैनल
curtain system,पर्दा प्रणाली
curtain wall,पर्दा वॉल
curtain wall frame,पर्दा वॉल फ़्रेम
curtain wall grid,पर्दा वॉल ग्रिड
