source,target
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
Codificarea standardelor de contabilitate,Accounting Standards Codification
ACE,ACE
analiză ad-hoc,ad hoc analysis
ADI,ADI
ADN,ADN
cale de adoptare,adoption path
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
Model informațional AEC,AEC Information Model
AECO,AECO
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
valoarea anuală a comenzii,annual order value
API,API
AppFrame,AppFrame
interfaţă pentru programare de aplicaţii,Application Programming Interface
înregistrarea deciziei arhitecturale,architectural decision record
"arhitectură, inginerie şi construcţii","architecture, engineering and construction"
"Arhitectură, inginerie, construcții și operațiuni","Architecture, Engineering, Construction, and Operations"
ASM,ASM
ATC,ATC
AUGI,AUGI
"Autentificare, autorizare și contabilitate","Authentication, Authorization and Accounting"
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Reseller autorizat Autodesk,Autodesk authorized reseller
Centru de Instruire Autorizat Autodesk,Autodesk Authorized Training Center
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Certificare Autodesk,Autodesk Certification
Instructor certificat Autodesk,Autodesk Certified Instructor
Standarde cloud Autodesk,Autodesk Cloud Standards
Platforma Autodesk Compute,Autodesk Compute Platform
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Consulting Media & Entertainment,Autodesk Consulting Media & Entertainment
Autodesk Content Explorer,Autodesk Content Explorer
Autodesk Content Service,Autodesk Content Service
Mediul clientului Autodesk,Autodesk Customer Environment
Ciclul de viață al clientului Autodesk,Autodesk Customer Lifecycle
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Education Experience,Autodesk Education Experience
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Analiza evenimentelor Autodesk,Autodesk Event Analysis
Marketing pentru dezvoltare Autodesk,Autodesk Growth Marketing
Tablou de bord Autodesk Health,Autodesk Health Dashboard
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Learning Central,Autodesk Learning Central
Autodesk Lightning Integrated Case Experience,Autodesk Lightning Integrated Case Experience
Platformă de învățare automată Autodesk,Autodesk Machine Learning Platform
Autodesk Material Library,Autodesk Material Library
Set de instrumente Autodesk Meshmixer,Autodesk Meshmixer Toolkit
Autodesk Network License Manager,Autodesk Network License Manager
Intrare comenzi Autodesk,Autodesk Order Entry
Managerul de parteneri Autodesk,Autodesk Partner Manager
Portalul Partenerilor Autodesk,Autodesk Partner Portal
Programul de parteneriat Autodesk,Autodesk Partner Program
Specializări ale partenerilor Autodesk,Autodesk Partner Specializations
Autodesk Platform Services,Autodesk Platform Services
Sistem de gestionare a stimulentelor de vânzare Autodesk,Autodesk Sales Incentive Management System
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Shared Component,Autodesk Shared Component
Magazin Autodesk,Autodesk Store
Cadru de lucru Autodesk Translations,Autodesk Translation Framework
Autodesk University,Autodesk University
BIM 360 Ops,BIM 360 Ops
BIM360,BIM360
reprezentarea limitei,boundary representation
BREP,BREP
B-rep,B-rep
modelul informațional al clădirii,building information model
produs pentru construcţii,building product
BuildingConnected,BuildingConnected
model și notare proces comercial,business process model and notation
centru de excelență,center of excellence
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Character Generator,Character Generator
Manager licențe CLIC,CLIC license manager
licențiere cloud,cloud licensing
modelare solidă cloud,cloud solid modeling
Collaboration For Revit,Collaboration For Revit
mediu cloud comercial,commercial cloud environment
mediu date comune,common data environment
experiență date comune,common data experience
spațiu de lucru comun,common workspace
comunitatea de practică,community of practice
conținut generat de comunitate,community-generated content
Configurator 360,Configurator 360
interfața utilizatorului pentru materiale consistente,consistent materials user interface
produs de consum,consumer product
Conceptul experienței de conținut,Content Experience Design
informații neclasificate controlate,controlled unclassified information
valoarea clientului pe parcursul duratei de viață,customer lifetime value
acord de cercetare pentru clienți,customer research agreement
Customer Value Hub,Customer Value Hub
D&M,D&M
D&MwA,D&MwA
ameliorarea datelor,data enrichment
gravitatea datelor,data gravity
Proiectare colaborativă,Design Collaboration
proiectare pentru fabricație și asamblare,design for manufacturing and assembly
obiectivul proiectării,design intent
vizualizare proiectare,design visualization
Designers Accord,Designers Accord
Promovare și asistență pentru dezvoltatori,Developer Advocacy and Support
Programul de asistență pentru dezvoltatori,Developer Support Program
ciclu de viață al clientului digital,digital customer lifecycle
Experiență digitală și abilitarea clientului,Digital Experience and Customer Empowerment
HIG digital,digital HIG
Grup de manufactură digitală,Digital Manufacturing Group
dotcom,dotcom
îndrumare dotcom,dotcom guidance
test dinamic de securitate a aplicației,dynamic application security test
ECaaS,ECaaS
comerț electronic ca serviciu,eCommerce as a service
concept electronic asistat de computer,electronic computer-aided design
planificarea resurselor întreprinderii,enterprise resource planning
sistem entitate-componentă,entity-component system
realitate extinsă,extended reality
fabricaţie,fabrication
manager de date legate de fabricare,fabrication data manager
mod de defecțiune și analiza efectelor,failure mode and effects analysis
FeatureCAM,FeatureCAM
Caracteristici şi beneficii,Features and Benefits
film şi televiziune,film & TV
"filme, jocuri şi televiziune","film, games and television"
FormIt,FormIt
Încercare gratuită,Free Trial
Fusion 360,Fusion 360
Experiență date comune Fusion,Fusion common data experience
Acces date Fusion,Fusion Data Access
Permisiuni folder Fusion,Fusion Folder Permissions
Servicii de sănătate Fusion,Fusion Health Service
Turnare prin injecție Fusion,Fusion Injection Molding
Serviciu JavaScript Fusion,Fusion JavaScript Service
Fusion Lifecycle,Fusion Lifecycle
Serviciu de notificare Fusion,Fusion Notification Service
Monitorizare sintetică Fusion,Fusion synthetic monitoring
Platformă cloud generativă,Generative Cloud Platform
geospaţial,geospatial
Gnosis,Gnosis
Green Building Studio,Green Building Studio
Halley,Halley
Serviciu tablou de bord stare de sănătate,Health Dashboard Service
tabloul de bord starea de sănătate a afacerii,health of business dashboard
Helius Composite,Helius Composite
Helius PFA,Helius PFA
Hot Fix,Hot Fix
Hotfix,Hotfix
HSMWorks,HSMWorks
IaaS,IaaS
IFC,IFC
utilaje industriale,industrial machinery
Biblioteca infrastructurii pentru tehnologia informației,Information Technology Infrastructure Library
InfraWorks 360,InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
Instructables,Instructables
Proiectarea și analiza integrată a sistemelor de drenaj,Integrated Drainage Design & Analysis
test de integrare,integration test
Internet of things,Internet of things
interoperabilitate,interoperability
Inventor,Inventor
Inventor LT,Inventor LT
Inventor LT Suite,Inventor LT Suite
Inventor Professional,Inventor Professional
Knowledge Network,Knowledge Network
LEED,LEED
Menţiuni legale şi mărci comerciale,Legal Notices & Trademarks
instrumente de gestionare a licenţei,license management tool
Protocol de acces director lightweight,Lightweight Directory Access Protocol
producţie,manufacturing
marketing,marketing
Maya,Maya
Maya LT,Maya LT
inginerie mecanică,mechanical engineering
model de informații media,media information model
realitate mixtă,mixed reality
PRP,MSRP
Mudbox,Mudbox
autentificare cu factori multipli,multi-factor authentication
licențiere utilizatori multipli,multi-user licensing
de la utilizatori multipli la un singur utilizator,multi-user to single-user
monitor multiplu ferestre multiple,multi-window multi-monitor
NAS,NAS
Nastran,Nastran
Nastran In-CAD,Nastran In-CAD
Navisworks,Navisworks
Navisworks Exporters,Navisworks Exporters
Navisworks Freedom,Navisworks Freedom
Navisworks Manage,Navisworks Manage
Navisworks Simulate,Navisworks Simulate
Netfabb,Netfabb
traducerea adresei de rețea,network address translation
Serviciul de raportare a licenței de rețea,Network License Reporting Service
Aplicația pentru desktop NextGen Autodesk,NextGen Autodesk Desktop Application
NLM,NLM
distribuitor necontractat,non-contracted reseller
North Star,North Star
One Team 360,One Team 360
PaaS,PaaS
Phoenix,Phoenix
PowerInspect,PowerInspect
PowerMill,PowerMill
PowerShape,PowerShape
proces de producţie,process manufacturing
procurare,procurement
Tabloul de bord starea de sănătate a produsului,Product Health Dashboard
Model de informații despre produs,Product Information Model
Descriere produs,Product Summary
RaaS,RaaS
