source,target
30-day trial,versão experimental por 30 dias
3D printer,impressora 3D
ACE,ACE
activation code,código de ativação
add-in,suplemento
ADI,ADI
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
AEC,AEC
affiliate,surcursal
alpha channel,canal alfa
ambient color,cor ambiente
ambient temperature,temperatura ambiente
anchor point,ponto de âncora
angle constraint,restrição de ângulo
anti-aliasing,suavização de contornos
AOTC,AOTC
API,API
App Store,App Store
AppFrame,AppFrame
application programming interface,interface de programação de aplicações
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","arquitetura, engenharia e construção"
ASM,ASM
aspect ratio,proporção
assembly,montagem
asset,estrutura
ATC,ATC
AUGI,AUGI
authorized partner,parceiro autorizado
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk authorized reseller,Revendedor autorizado da Autodesk
Autodesk Authorized Training Center,Centro de formação autorizado da Autodesk
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,Blogue BIM and Beam da Autodesk
Autodesk Bronze reseller,Revendedor Bronze da Autodesk
Autodesk Building YouTube Channel,Canal sobre construção da Autodesk no YouTube
Autodesk Certification,Certificação Autodesk
Autodesk Certified logo,logótipo Autodesk Certified
Autodesk Certified Professional,Profissionais com certificação Autodesk
Autodesk Classroom Training,Formação em sala de aula da Autodesk
Autodesk Consulting,Consultadoria da Autodesk
Autodesk Content Service,Autodesk Content Service
Autodesk Customer Support,Suporte ao cliente da Autodesk
Autodesk Design and Creation Suites,Suites de projeto e criação Autodesk
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Download Manager,Gestor de transferências da Autodesk
Autodesk Education Community,Autodesk Education Community
Autodesk Employee Purchase Program,Programa de aquisição por funcionários da Autodesk
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk Gold partner,Parceiro Ouro da Autodesk
Autodesk ID,ID Autodesk
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Janela de início Autodesk
Autodesk Learning and Education,Formação Autodesk
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,Programa Legacy da Autodesk
Autodesk License Manager,Autodesk License Manager
Autodesk Live,Autodesk Live
Autodesk logo,logótipo Autodesk
Autodesk MasterClasses,MasterClasses da Autodesk
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,Material de formação oficial da Autodesk
Autodesk Official Training Guides,Guias de formação oficiais da Autodesk
Autodesk Online Store,Loja online da Autodesk
Autodesk Partner Manager,Gestor de canal da Autodesk
Autodesk Partner Portal,Portal de parceiros Autodesk
Autodesk Partner Program,Programa de parceiros Autodesk
Autodesk Partner Specializations,Especializações de parceiros Autodesk
Autodesk Platinum partner,Parceiro Platina da Autodesk
Autodesk Premier Solutions Provider,Fornecedor preferencial de soluções Autodesk
Autodesk Privacy Statement,Declaração de privacidade da Autodesk
Autodesk sales representative,Representante de vendas da Autodesk
Autodesk Services and Support,Serviços e suporte da Autodesk
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Silver partner,Parceiro Prata da Autodesk
Autodesk Software License Agreement,Acordo de licença de software Autodesk
Autodesk Store,Loja da Autodesk
Autodesk Streamline,Autodesk Streamline
Autodesk suite,Suite Autodesk
Autodesk Training Center,Centro de formação da Autodesk
Autodesk University,Autodesk University
Autodesk User Group International,Autodesk User Group International
Autodesk Value Added Reseller,Revendedor de valor acrescentado da Autodesk
Autodesk Virtual Classroom Training,Formação em sala de aula virtual da Autodesk
automotive component design,desenho de componentes automóveis
Backburner,Backburner
baseline features,funcionalidades de base
basic tooltip,sugestão básica
benchmark report,relatório referencial
best practice,melhores práticas
blog,blogue
Brainshark,Brainshark
brightness,luminosidade
building component,componente de construção
building engineering,engenharia de construção
buy,comprar
CAE,CAE
case studies,casos de estudo
case study,caso de estudo
catalog,catálogo
certification exam,exame de certificação
certified hardware,hardware certificado
Character Generator,Character Generator
click,clicar
clip plane,plano de corte
clipping boundary,limite de corte
closed end,extremidade fechada
cloud credits,créditos na nuvem
cloud services,serviços na nuvem
cloud unit,unidade de nuvem
coarse,grosso
codec,codec
collaborative project management,gestão colaborativa de projetos
commercial license,licença comercial
communication center,centro de comunicações
companion product,produtos complementares
compare,comparar
concave,côncavo
concept sketch,esboço conceptual
construction management,gestão da construção
construction manager,gestor de obra
consumer product,produto de consumo
contact autodesk,contactar a autodesk
content source,origem do conteúdo
contextual tab,separador contextual
contract manager,gestor de contratos
controller cap,cápsula do controlador
coordinate space,espaço de coordenadas
CPM,CPM
CRM,CRM
customer relationship management,gestão das relações com os clientes
customer reviews,críticas de clientes
customer showcase,destaques dos clientes
customer stories,histórias de clientes
customer success stories,histórias de sucesso de clientes
customer with a maintenance plan,cliente com um plano de manutenção
data acquisition,aquisição de dados
defense,defesa
demo video,vídeo de demonstração
design bar,barra de projeto
design intent,objetivo do projeto
design visualization,visualização de projetos
Designers Accord,Designers Accord
detailer,detalhista
digital entertainment creation,criação de entretenimento digital
digital modeling,modelação digital
digital prototyping,prototipagem digital
digital visual interface,interface visual digital
discussion forum,fórum de debate
discussion group,grupo de debate
distributed license server,servidor de licenças distribuídas
documentation,documentação
drafter,projetista
draw,desenhar
duct,conduta
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
Eagle,Eagle
eBook,eBook
e-book,eBook
education version,versão de educação
educational version,versão de educação
eLearning,eLearning
e-Learning,eLearning
energy efficiency,eficiência energética
energy retrofit,adaptação energética
Event Publisher,Publicador de eventos
extended support hours,horário de suporte alargado
extra territory rights,direitos extraterritoriais
fabrication,produção
FAQ,Perguntas frequentes
FAQs,Perguntas frequentes
feature comparison,comparação de funcionalidades
feature demos,demonstrações das funcionalidades
feature set,conjunto de funcionalidades
features,funcionalidades
features and benefits,funcionalidades e vantagens
features and demonstrations,funcionalidades e demonstrações
features and specifications,funcionalidades e especificações
"film, games and television","filmes, jogos e televisão"
Flash-based,baseado em Flash
flexible license terms,termos de licenciamento flexível
flexible licensing terms,termos de licenciamento flexível
floating window,janela flutuante
geospatial,geoespacial
global travel rights,direitos de mobilidade global
guidance,orientação
holidays,feriados
home page,página inicial
home use,utilização doméstica
home use rights,direitos de utilização doméstica
homepage,página inicial
horizontal ribbon,friso horizontal
Hot Fix,Hot Fix
Hotfix,Hotfix
IC,IC
i-drop,i-drop
IFC,IFC
imagery,imagens
incident,incidente
incremental product enhancement,melhoramentos incrementais dos produtos
industrial design,projeto industrial
industrial machinery,maquinaria industrial
InfoCenter,Centro de informação
infrastructure planning,planeamento de infraestruturas
installation wizard,assistente de instalação
Instructables,Instructables
integrated project delivery,execução integrada de projetos
Interactive Overview,apresentação interativa
interoperability,interoperabilidade
IPD,IPD
key features,principais funcionalidades
knowledge base,knowledge base
late renewal,renovação tardia
latest versions/releases,versões/edições mais recentes
learner tracking capabilities,capacidades de monitorização do aluno
learning course,curso de aprendizagem
learning materials,materiais de aprendizagem
learning path,percurso de aprendizagem
LEED,LEED
legal notices & trademarks,informação legal e marcas comerciais
license agreement,acordo de licença
license management tool,ferramenta de gestão de licenças
local business hours,horário de expediente local
maintenance plan,plano de manutenção
maintenance plan contract,contrato de plano de manutenção
maintenance plan customer,cliente com um plano de manutenção
major account discount,desconto de Grande conta
manufacturer retail price,preço recomendado ao público pelo fabricante
manufacturing,fabrico
marketing,marketing
material library,biblioteca de materiais
mechanical engineering,engenharia mecânica
Media & Entertainment Collection,Media & Entertainment Collection
multi-seat license,licença multiposto
multi-seat stand-alone license,licença autónoma multiposto
multi-user,multiutilizador
multi-user access,acesso multiutilizador
multi-user license,licença multiutilizador
multi-year,plurianual
multi-year subscription contract,contrato de subscrição plurianual
named caller,interlocutor designado
NAS,NAS
navigation toolbar,barra de ferramentas de navegação
network license,licença de rede
NLM,NLM
object rollover tooltip,sugestão de sobreposição em objetos
oil & gas,petróleo e gás
One Team 360,One Team 360
out-of-process,independente
overview brochure,brochura de apresentação
overview video,vídeo de apresentação
panel arrow,seta de painel
Partner Center,Centro de parceiros
partner products and services,serviços e produtos de parceiros
pay as you go,pago consoante a utilização
performance recommendations,recomendações de desempenho
pipeline,fluxo de produção
planning professional,profissionais de planeamento
PLM,PLM
plug-in,plug-in
podcast,podcast
Preferred Plus Plan,Plano preferencial Plus
previous version eligible product list,lista de produtos elegíveis para utilização de versões anteriores
previous version rights,direitos de utilização de versões anteriores
previous versions,versões anteriores
privacy statement,declaração de privacidade
process management,gestão de processos
process manufacturing,produção por processo
procurement,aprovisionamento
product brochure,brochura do produto
product center,centro do produto
Product Design & Manufacturing Collection,Product Design & Manufacturing Collection
product enhancement,melhoramento do produto
product extension,extensão do produto
product family,família de produtos
product information,informações sobre o produto
product lifecycle management,gestão de ciclo de vida do produto
product line,linha de produtos
product summary,resumo de produtos
product support,suporte ao produto
product support specialist,Especialista de suporte ao produto
product trial,versão experimental do produto
product upgrade,atualização do produto
productivity study,estudo de produtividade
Publisher 360,Publisher 360
purchase options,opções de compra
QAT,QAT
questions and answers,perguntas e respostas
quick access toolbar,barra de ferramentas de acesso rápido
quick view,vista rápida
real estate,setor imobiliário
rebate,desconto
recommended retail price,preço recomendado ao público
registered trademark,marca registada
related links,ligações relacionadas
related products,produtos relacionados
release comparison matrix,matriz de comparação de versões
release date,data de lançamento
release management,gestão de versões
renew,renovar
renewal,renovação
renovation,renovação
resolution,resolução
resource center,centro de recursos
response,resposta
return on investment,retorno do investimento
ribbon contextual tab,separador contextual do friso
ROI,ROI
sales,vendas
Sales Enablement Programs & Technology,Sales Enablement Programs & Technology
seat,posto
self help tool,ferramenta de autoajuda
SEPT,SEPT
session specific licensing,licenciamento para sessão específica
severity level,nível de gravidade
show reel,vídeo promocional
single sign-on,início de sessão único
single-seat license,licença monoposto
single-user,utilizador único
single-user access,acesso de utilizador único
single-user license,licença de utilizador único
slideout panel,painel deslizante
software coordinator,coordenador de software
software development kit,kit de desenvolvimento de software
software retirement,descontinuação do software
software upgrade,atualizações de software
split button,botão de divisão
standalone license,licença autónoma
sticky panel,painel permanente
structural engineering,engenharia de estruturas
student community,comunidade de estudantes
student engineering & design community,student design & engineering community
submit a support request,submeter um pedido de suporte
subscribe,subscrever
subscriber,subscritor
subscription,subscrição
subscription benefits,vantagens da subscrição
suggested retail price,preço recomendado ao público
support & learning,suporte e aprendizagem
support agreement,contrato de suporte
support request,pedido de suporte
