source,target
اشتراك لمدة عام واحد,1-year subscription
تجربة لمدة 30 يومًا,30-day trial
طابعة 3D,3D printer
طباعة 3D,3D printing
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
سحابة البناء من Autodesk,ACC
التسارع,acceleration
إدارة الحساب,Account Management
ACE,ACE
ACI,ACI
رمز التفعيل,activation code
سيناريو التفعيل,activation scenario
عقد ساري,active contract
المسار النشط,Active Directory
خطة تأجير سارية,active rental plan
موجز النشاط,activity feed
مراقبة النشاط,Activity Monitor
التصنيع الإضافي,additive manufacturing
ADI,ADI
AdLM,AdLM
أدوات إدارية,Administrative Tools
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
الإضاءة المتقدمة,Advanced Illuminance
AEC,AEC
مجموعة AEC,AEC Collection
الفضاء,aerospace
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
برنامج التسويق المتوافق,Aligned Marketing Program
قناة ألفا,alpha channel
طرق التوزيع البديلة,Alternative Distribution Methods
اللون المحيط,ambient color
الإغلاق المحيطي,ambient occlusion
درجة الحرارة المحيطة,ambient temperature
تعديل,amendment
المعهد الأمريكي للمهندسين المعماريين,American Institute of Architects
نقطة ارتساء,anchor point
زاوية,angle
قيد الزاوية,angle constraint
التلدين,annealing
Ansys Mechanical,Ansys Mechanical
مناهضة المقاطعة,anti-boycott
مكافحة الفساد,anti-corruption
سؤال مطروح,anxiety question
API,API
App Store,App Store
اتفاقية ترخيص المستخدم النهائي لمتجر التطبيقات,app store end user license agreement
AppFrame,AppFrame
متجر تطبيقات Apple,Apple App Store
مهندس التطبيقات,Application Engineer
واجهة برمجة التطبيقات,Application Programming Interface
aPriori,aPriori
ArcGIS,ArcGIS
التعليمات الإضافية للمهندس المعماري,Architect's Supplemental Instruction
التعليمات الإضافية المعمارية,Architectural Supplemental Instructions
مجموعة العمارة والهندسة والإنشاءات,"Architecture, Engineering & Construction Collection"
العمارة والهندسة والإنشاءات,"architecture, engineering and construction"
مصفوفة,array
ASM,ASM
نسبة العرض إلى الارتفاع,aspect ratio
تجميع,assembly
الأصول,asset
ATC,ATC
اتفاقية ATC,ATC Agreement
دليل البرنامج العالمي لـ ATC,ATC Global Program Guide
مُحدد موقع ATC,ATC Locator
نظام التقييم عبر الإنترنت لـ ATC,ATC Online Evaluation System
نموذج خطة التسويق والتسجيل على موقع ATC,ATC Site Enrolment and Business Plan Form
سعر الالتحاق,attach rate
برنامج AU Virtual,AU Virtual
AUGI,AUGI
مصادقة,authentication
شريك أكاديمي معتمد,authorized academic partner
شريك معتمد,authorized partner
AutoCAD,AutoCAD
الوظيفة الإضافية AutoCAD 2019,AutoCAD 2019 Add-In
AutoCAD 360,AutoCAD 360
الوظيفة الإضافية AutoCAD Architecture 2019,AutoCAD Architecture 2019 Add-In
الوظيفة الإضافية AutoCAD Civil 3 D 2019,AutoCAD Civil 3 D 2019 Add-In
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD DXF,AutoCAD DXF
AutoCAD Electrical,AutoCAD Electrical
الوظيفة الإضافية AutoCAD Electrical 2019,AutoCAD Electrical 2019 Add-In
إصدار بيتا لـ AutoCAD Electrical Turing,AutoCAD Electrical Turing Beta
AutoCAD for Mac,AutoCAD for Mac
AutoCAD مع مجموعات الأدوات المتخصصة,AutoCAD including specialized toolsets
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
الوظيفة الإضافية AutoCAD LT 2019,AutoCAD LT 2019 Add-In
AutoCAD LT لجهاز Mac,AutoCAD LT for Mac
الوظيفة الإضافية AutoCAD Map 2019,AutoCAD Map 2019 Add-In
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
الوظيفة الإضافية AutoCAD Mechanical 2019,AutoCAD Mechanical 2019 Add-In
الوظيفة الإضافية AutoCAD MEP 2019,AutoCAD MEP 2019 Add-In
مساعد النقل لـ AutoCAD,AutoCAD Migration Assistance
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
الوظيفة الإضافية AutoCAD Plant 3 D 2019,AutoCAD Plant 3 D 2019 Add-In
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
الوظيفة الإضافية AutoCAD Structural Detailing 2019,AutoCAD Structural Detailing 2019 Add-In
الوظيفة الإضافية AutoCAD Utility Design 2019,AutoCAD Utility Design 2019 Add-In
AutoCAD vertical,AutoCAD vertical
Autocast,Autocast
AutoCorrect,AutoCorrect
موزع Autodesk الأكاديمي المعتمد,Autodesk Academic Value Added Reseller
Autodesk Advanced Support,Autodesk Advanced Support
برنامج تحليلات Autodesk,Autodesk Analytics
