source,target
subskrypcja roczna,1-year subscription
30-dniowa wersja testowa,30-day trial
3D,3D
drukarka 3D,3D printer
drukowanie 3D,3D printing
Lepsze i szybsze projektowanie,Accelerate Better Design
ACE,ACE
kod aktywacji,activation code
aktywny plan wynajmu,active rental plan
dodatek,add-in
produkcja addytywna,additive manufacturing
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
rozgłaszanie,advertise
aeronautyka,aerospace
program Aligned Marketing Program (AMP),Aligned Marketing Program
kanał alfa,alpha channel
kolor otoczenia,ambient color
zmiana,amendment
American Institute of Architects (Amerykański Instytut Architektów),American Institute of Architects
składnik zakotwiczenia,anchor
punkty zakotwiczenia,anchor point
kąt,angle
wiązania kątowe,angle constraint
Powiadomienia,Announcements
antyaliasing,anti-aliasing
antykorupcyjne,anti-corruption
pytanie o problemy,anxiety question
API,API
App Store,App Store
AppFrame,AppFrame
APPID,APPID
inżynier aplikacji,Application Engineer
identyfikator aplikacji,application ID
interfejs programowania aplikacji,Application Programming Interface
dodatkowe instrukcje architektoniczne,Architectural Supplemental Instructions
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architektura, inżynieria i budownictwo","architecture, engineering and construction"
Zapytaj Autodesk,Ask Autodesk
ASM,ASM
współczynnik proporcji,aspect ratio
zespół,assembly
zasób,asset
ATC,ATC
Umowa z Autoryzowanym Centrum Szkoleniowym (ATC),ATC Agreement
Przewodnik po globalnym programie Autoryzowanych Centrów Szkoleniowych (ATC),ATC Global Program Guide
Wyszukiwarka Autoryzowanych Centrów Szkoleniowych (ATC),ATC Locator
Internetowy system oceny Autoryzowanych Centrów Szkoleniowych,ATC Online Evaluation System
Formularz wdrożenia Autoryzowanego Centrum Szkoleniowego i planu biznesowego,ATC Site Enrolment and Business Plan Form
wskaźnik sprzedaży produktów powiązanych,attach rate
program Autodesk University Virtual,AU Virtual
AUGI,AUGI
autoryzowany partner,authorized partner
Autoryzowane Centrum Szkoleniowe,Authorized Training Center
AutoCorrect,AutoCorrect
sprzedawca AVAR Autodesk,Autodesk Academic Value Added Reseller
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Animation Academy,Autodesk Animation Academy
Sprawdzone pobranie Autodesk App Store,Autodesk App Store Verified Download
test próbny Autodesk,Autodesk assessment test
Autodesk Asset Locator,Autodesk Asset Locator
autoryzowany partner akademicki (AAP) Autodesk,Autodesk Authorized Academic Partner
autoryzowany sprzedawca Autodesk,Autodesk authorized reseller
Autoryzowane Centrum Szkoleniowe Autodesk,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM i blog Beam,Autodesk BIM and Beam Blog
usługi transformacyjne Autodesk BIM,Autodesk BIM Transformation Services
sprzedawca Autodesk Bronze,Autodesk Bronze reseller
Autodesk Building Engineering Playbook,Autodesk Building Engineering Playbook
kanał Autodesk Building w serwisie YouTube,Autodesk Building YouTube Channel
Centrum Biznesowe Autodesk,Autodesk Business Center
metodologia wartości biznesowej Autodesk,Autodesk Business Value Methodology
ślad węglowy Autodesk,Autodesk carbon footprint
Szkolenie certyfikacyjne Autodesk,Autodesk Certification Training
program certyfikacji instruktorów Autodesk,Autodesk Certified Instructor program
logo „Certyfikowane przez Autodesk”,Autodesk Certified logo
Certyfikowany profesjonalista Autodesk,Autodesk Certified Professional
Program certyfikowanych użytkowników Autodesk,Autodesk Certified User program
Wytyczne Autodesk dotyczące używania marki,Autodesk Channel Branding Guidelines
kierownik sprzedaży Autodesk,Autodesk Channel Sales Manager
Autodesk Classroom Training,Autodesk Classroom Training
program partnerski Autodesk Clean Tech,Autodesk Clean Tech Partner Program
usługi zarządzania współpracą i danymi Autodesk,Autodesk Collaboration and Data Management Services
rozwiązania Autodesk do wspólnego zarządzania projektami,Autodesk Collaborative Project Management Solutions
program Autodesk na rzecz zgodności z przepisami,Autodesk Compliance Program
Magazyn budowlany Autodesk,Autodesk Construction Magazine
Autodesk Consulting,Autodesk Consulting
program specjalizacji doradczej Autodesk,Autodesk Consulting Specialization Program
Autodesk Content Service,Autodesk Content Service
usługa syndykacji zawartości Autodesk,Autodesk Content Syndication Service
zespół obsługi klienta Autodesk,Autodesk Customer Experience Team
program zadowolenia klientów Autodesk,Autodesk Customer Satisfaction Program
przedstawiciel obsługi klienta Autodesk,Autodesk Customer Service representative
obsługa klienta Autodesk,Autodesk Customer Support
narzędzia Autodesk do zarządzania danymi,Autodesk data management tools
Autodesk Design Academy,Autodesk Design Academy
pakiety Autodesk Design Suite i Creation Suite,Autodesk Design and Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
konferencja Autodesk DevDays,Autodesk DevDays Conference
sieć deweloperów Autodesk Developer Network,Autodesk Developer Network
sieć Autodesk Developer Network Open,Autodesk Developer Network Open
rozwiązania Autodesk Digital Entertainment Creation,Autodesk Digital Entertainment Creation solution
magazyn cyfrowy Autodesk,Autodesk Digital Magazine
forum prototypowania cyfrowego Autodesk,Autodesk Digital Prototyping Forum
warsztaty Autodesk Digital STEAM,Autodesk Digital STEAM Workshop
Umowa z dystrybutorem Autodesk,Autodesk Distributor Agreement
Autodesk Download Manager,Autodesk Download Manager
program Autodesk Education,Autodesk Education
Autodesk Education Community,Autodesk Education Community
Program edukacyjny Autodesk,Autodesk Education Curriculum
pakiet Autodesk Education Suite for Architecture & Engineering,Autodesk Education Suite for Architecture & Engineering
pakiet Autodesk Education Suite for Civil & Structural Engineering,Autodesk Education Suite for Civil & Structural Engineering
pakiet Autodesk Education Suite for Industrial Design,Autodesk Education Suite for Industrial Design
pakiet Autodesk Education Suite for Mechanical Engineering,Autodesk Education Suite for Mechanical Engineering
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
usługi Engineer-to-Order Autodesk,Autodesk Engineer-to-Order Services
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
token flex Autodesk,Autodesk flex token
konkurs projektowania Autodesk FLUX Design Competition,Autodesk FLUX Design Competition
forum Autodesk,Autodesk forum
Galeria Autodesk,Autodesk Gallery
partner Autodesk Gold,Autodesk Gold partner
Autodesk ID,Autodesk ID
konkurs Autodesk iiko Experience,Autodesk iiko Experience
Prasa o Autodesk,Autodesk in the News
program Autodesk Industry Careers Framework for Games and Animation,Autodesk Industry Careers Framework for Games and Animation
rozwiązania infrastrukturalne Autodesk,Autodesk Infrastructure Solutions
wewnętrzny zespół sprzedaży Autodesk,Autodesk Inside Sales Team
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Autodesk LaunchPad
szkolenia i edukacja Autodesk,Autodesk Learning and Education
Autodesk Learning Central,Autodesk Learning Central
Program Autodesk Legacy,Autodesk Legacy Program
zespół badania zgodności z warunkami licencji,Autodesk License Compliance Team
program Autodesk Licensing Manager,Autodesk License Manager
AutoCAD Live,Autodesk Live
Autodesk Live Chat,Autodesk Live Chat
zespół produkcyjny Autodesk,Autodesk Manufacturing Team
Szkolenie Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Network License Manager,Autodesk Network License Manager
oficjalne materiały szkoleniowe Autodesk,Autodesk Official Training Courseware
oficjalne podręczniki szkoleniowe Autodesk,Autodesk Official Training Guides
sklep internetowy Autodesk,Autodesk Online Store
