source,target
3D Mini-map,3D-minimap
3D Move gizmo,3D Move-gizmo
3D Rotate gizmo,3D Rotate-gizmo
3D Scale gizmo,3D Scale-gizmo
ACC,ACC
account administrator,accountbeheerder
aerial lift,Hoogwerker
aggregate View,verzamelweergave
ALKIS,ALKIS
analytical surface,analytisch oppervlak
approver,goedkeurder
ATIL,ATIL
attachment,bijlage
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
Autodesk Construction Cloud,Autodesk Construction Cloud
Autodesk Insight,Autodesk Insight
ball in court,Toegewezen aan
BCA,BCA
Bridge,Verbinding
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
business units,Bedrijfseenheden
BVC,BVC
BVCE,BVCE
BVCS,BVCS
callout markup,toelichting-markering
clash group,clash groep
clash service,clash service
cloud model,cloudmodel
Content Awareness,Gerelateerde content
coordination space,coördinatieruimte
count takeoff,Aantal calculatie
CWFU,CWFU
dashboard,dashboard
data center,datacenter
DECDEG,DECDEG
DEM,DEM
DMS,DMS
document,document
document log,documentlogboek
Document Management,Document Management
Documents,Documenten
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
elevation,hoogte
ellipse segment,ellipssegment
EVC,EVC
EVCE,EVCE
fall protection,valbescherming
field report,bouwverslag
file,bestand
FormIt,FormIt
Forms,Formulieren
free float,Flexibele tijdsduur
FU,FU
gizmo,gizmo
HDS,HDS
heat island,hitte-eiland
HGL,HGL
Home,Startpagina
HP,HP
hypermodeling,hypermodellering
Ia,Ia
InfraWorks 360,InfraWorks 360
InfraWorks 360 LT,InfraWorks 360 LT
initiator,initiator
issue,melding
Issues,Meldingen
jobsite photos,foto's van het bouwterrein
level of smoothness,vloeiendheidsniveau
LF,LF
Locations,Locaties
LP,LP
markup,Aantekening
Meetings,Vergaderingen
model alignment,modeluitlijning
multiple members,meerdere deelnemers
Navisworks,Navisworks
Navisworks Exporters,Navisworks Exporters
Navisworks Freedom,Navisworks Freedom
Navisworks Manage,Navisworks Manage
Navisworks Simulate,Navisworks Simulate
next action by,volgende actie door
node,knoop
not an issue,geen clash
PCO,PCO
Photo on ReCap 360,Photo on ReCap 360
Photos,Foto's
Piranesi EPix,Piranesi EPix
Place Me,Plaats mij
power collaborator,power-medewerker
progress photos,voortgangsfoto's
project administrator,projectbeheerder
push pin,pin
ReCap,ReCap
ReCap 360,ReCap 360
ReCap 360 Ultimate,ReCap 360 Ultimate
report,rapport
reviewer,beoordelaar
Revit,Revit
Revit Collaboration Suite,Revit Collaboration Suite
Revit LT,Revit LT
RFI custom field,Aangepast RFI-veld
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
role,rol
root cause,hoofdoorzaak
Schedule,Projectplanning
Settings,Instellingen
sheet,tekenblad
Sheets,Bouwtekeningen
SketchUp,SketchUp
string field,stringveld
Structural Analysis for Revit,Structural Analysis for Revit
sub-location,sublocatie
submittal,indiening
Submittals,Indieningen
takeoff object,calculatie-object
takeoff type,calculatie type
Team Space,Teamomgeving
Teams,Teams
Timeline,Tijdlijn
TimeLiner,TimeLiner
Tinkerplay,Tinkerplay
Vehicle Tracking,Vehicle Tracking
viewer,viewer
XDRef,XDRef
