source,target
alpha-blend,alpha 混成
angular speed,角速度
Autodesk Masters award,Autodesk 大師獎項
Autodesk Masters Program,Autodesk 大師計劃
axis offset,軸偏移
bake,烘烤
binary large object,二進位大型物件
bind pose,綁定姿勢
blend mode,混合模式
blend surface,混成曲面
blur,模糊
blurriness,模糊度
bounding box,邊界框
brush,筆刷
bulge,凸度
bump,凸紋
bump map,凸紋貼圖
bump mapping,凸紋貼圖
camera,相機
casement,推開窗
character large object,角色大型物件
CLOB,CLOB
closed edge,封閉邊
constrained object,受約束的物件
control vertex,控制頂點
control vertex hull,控制頂點關聯線
control vertices hull,控制頂點關聯線
convex,凸面
coordinate reference system,座標參考系統
CV,CV
CV hull,CV 關聯線
depth of field,景深
digital elevation model,數位高程模型
displacement scale,位移比例
dithering,調色
DOF,DOF
elevation axis,高程軸
eyedropper,滴管
fillet,圓角
frame,畫面
frame rate,畫面速率
full-body inverse kinematics,全身反向運動
generative design,衍生式設計
hardware shader,硬體描影程式
i-drop target,i-drop 目標
isoparm,結構線
knuckle,肘形路緣
layer,圖層
level,等級
linear array,線性陣列
mesh,網面
mesher,網面產生器
NTSC,NTSC
opacity,不透明度
ray tracing,光跡追蹤
reflection map,反射貼圖
sample point,取樣點
slope-offset-power,斜度偏移功率
SMPTE,SMPTE
SOP,SOP
stencil,模板
superimposed profile,疊合縱斷面
surface trimming,曲面修剪
universal manipulator,通用操控點
