source,target
enkelt 3D-nett,3D mesh primitive
3D-flytting,3D Move gizmo
3D-rotering,3D Rotate gizmo
3D-skalering,3D Scale gizmo
ACC,ACC
aktivt medlem,active member
administrator,administrator
ALKIS,ALKIS
analytisk overflate,analytical surface
områdeverktøy,areas tool
objektstatus,asset status
utstyr,assets
ATIL,ATIL
Autodesk-konstruksjonssky,Autodesk Construction Cloud
Autodesk-ID,Autodesk ID
Autodesk Insight,Autodesk Insight
Autodesk-representant,Autodesk representative
saken ligger hos,ball in court
BCA,BCA
fakturaperiode,billing period
bro,bridge
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
budsjettbetalingsapplikasjon,budget payment application
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CDE,CDE
kollisjonsrutenett,clash grid
konfliktløsning,clash resolution
selskap,company
kontakt,contact
kontrollert deling,controlled sharing
CWFU,CWFU
daglig risiko,daily risk
DECDEG,DECDEG
DEM,DEM
DMS,DMS
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
høyde,elevation
forretningsabonnement,enterprise subscription
utstyrsadministrasjon,equipment management
EVC,EVC
EVCE,EVCE
funksjon,feature
feltsjekkliste,field checklist
feltprosjekt,field project
feltprosjektadmin,field project admin
feltviser,field viewer
fil-logg,files log
assosiativ avrunding,fillet
gulvplan,floorplan
formverk,formwork
FU,FU
gruppeanmeldelser,group review
gruppeanmelder,group reviewers
HDS,HDS
HGL,HGL
HP,HP
hypermodell,hypermodel
material-liste,inventory
element,item
utjevningsgrad,level of smoothness
LF,LF
LP,LP
markeringsvedlegg,markup attachment
medlem,member
minikart,mini-map
modellaggregering,model aggregation
modellutgave,model iteration
flere medlemmer,multiple members
Neste generasjons tjenester,Next Generation services
objekt,object
tilbud,offering
organisasjon,organization
PCO,PCO
tillatelse,permission
Piranesi EPix,Piranesi EPix
produkt,product
produktvelger,product picker
fremdriftssporing,progress tracking
prosjekt,project
prosjektliste,project list
pushpin,pushpin
referanse,reference
hyppighet for rapportgenerering,report generation frequency
RFI-telling,RFI count
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
sett,set
innstillinger,settings
tegninger,sheets
SketchUp,SketchUp
stempel,stamp
Structural Analysis for Revit,Structural Analysis for Revit
bygningsmodellering,structural modeling
underplassering,sub-location
abonnent,subscriber
beregningspakke,takeoff package
oppgave,task
team,team
mal,template
TimeLiner,TimeLiner
tittel,title
verktøy,tool
Vehicle Tracking,Vehicle Tracking
snekkerarbeid,wood framing
XDRef,XDRef
XRef,XRef
