source,target
30 päivän kokeiluversio,30-day trial
3D-tulostin,3D printer
ACE,ACE
ACI,ACI
aktivointikoodi,activation code
lisäosa,add-in
ADI,ADI
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
alpha-kanava,alpha channel
yleisvalaistuksen väri,ambient color
ympäristön lämpötila,ambient temperature
ankkuripiste,anchor point
kulman rajoite,angle constraint
sahalaitaisuuden poisto,anti-aliasing
AOTC,AOTC
API,API
App Store,App Store
AppFrame,AppFrame
ohjelmointirajapinta,application programming interface
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"arkkitehtuuri, tekninen suunnittelu ja rakennusala","architecture, engineering and construction"
ASM,ASM
kuvasuhde,aspect ratio
kokoonpano,assembly
resurssi,asset
ATC,ATC
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk-arviointikokeet,Autodesk assessment test
Autodesk Asset Locator,Autodesk Asset Locator
Autodeskin valtuuttama koulutuskeskus,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam -blogi,Autodesk BIM and Beam Blog
Autodesk Bronze -jälleenmyyjä,Autodesk Bronze reseller
Autodesk Building -Youtube-kanava,Autodesk Building YouTube Channel
Autodeskin sertifiointi,Autodesk Certification
Autodesk Certified Instructor -koulutusohjelma,Autodesk Certified Instructor program
Autodesk Certified -logo,Autodesk Certified logo
Autodesk Certified Professional,Autodesk Certified Professional
Autodeskin CPM (Collaborative Project Management) -ratkaisut,Autodesk Collaborative Project Management Solutions
Autodesk Compliance -ohjelma,Autodesk Compliance Program
Autodesk Consulting,Autodesk Consulting
Autodesk Content Service,Autodesk Content Service
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design Suite ja Autodesk Creation Suite,Autodesk Design and Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodeskin kehittäjäverkosto,Autodesk Developer Network
Autodeskin digitaalisen viihteen luontiratkaisut,Autodesk Digital Entertainment Creation solution
Autodesk Digital Prototyping Forum -tapahtuma,Autodesk Digital Prototyping Forum
Autodeskin Download Manager -sovellus,Autodesk Download Manager
Autodeskin koulutustarjonta,Autodesk Education
Autodesk Education Community -ryhmä,Autodesk Education Community
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodeskin keskustelupalstat,Autodesk forum
Autodesk Gold Partner,Autodesk Gold partner
Autodesk ID,Autodesk ID
Autodesk uutisissa,Autodesk in the News
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy -ohjelma,Autodesk Legacy Program
Autodesk Manufacturing -tiimi,Autodesk Manufacturing Team
Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodeskin viralliset koulutusmateriaalit,Autodesk Official Training Guides
Autodeskin verkkokauppa,Autodesk Online Store
Autodesk Partner Manager,Autodesk Partner Manager
Autodesk Partner -portaali,Autodesk Partner Portal
Autodesk Partner Program -kumppanuusohjelma,Autodesk Partner Program
Autodeskin kumppaneiden erikoistumisalat,Autodesk Partner Specializations
Autodesk Platinum Partner,Autodesk Platinum partner
Autodesk Premier Solutions Provider,Autodesk Premier Solutions Provider
Autodeskin tietosuojalausunto,Autodesk Privacy Statement
Autodesk Professional Excellence,Autodesk Professional Excellence
Autodeskin myyntiedustaja,Autodesk sales representative
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Silver Partner,Autodesk Silver partner
Autodesk-ohjelmistolisenssi,Autodesk software license
Autodesk-ohjelmiston lisenssisopimus,Autodesk Software License Agreement
Autodesk Streamline,Autodesk Streamline
Autodesk Suite,Autodesk suite
Autodesk-koulutuskeskus,Autodesk Training Center
Autodesk University,Autodesk University
Autodesk University Virtual,Autodesk University Virtual
Autodesk User Group International,Autodesk User Group International
autoteollisuuden komponenttien suunnittelu,automotive component design
Backburner,Backburner
perusominaisuudet,baseline features
perustyökaluvihje,basic tooltip
blogi,blog
Brainshark,Brainshark
kirkkaus,brightness
rakennuskomponentti,building component
rakennussuunnittelu,building engineering
rakennustuotteet,building product
tapauskertomuksia,case studies
tapauskertomus,case study
sertifiointikoe,certification exam
Certified Associate,Certified Associate
kanavakumppani,channel partner
Character Generator,Character Generator
leikkaustaso,clip plane
leikkausraja,clipping boundary
suljettu pää,closed end
pilvipisteet,cloud credits
pilvipalvelut,cloud services
Cloud-yksiköt,cloud unit
karkea,coarse
pakkauksenhallinta,codec
kaupallinen lisenssi,commercial license
oheistuote,companion product
perusteelliset tutkinto-oppaat,comprehensive exam guide
kovera,concave
konseptiluonnos,concept sketch
rakennusmestari,construction manager
Consulting System Integrator -kumppanuusohjelma,consulting system integrator partner
kulutushyödyke,consumer product
sisällön lähde,content source
aihevälilehti,contextual tab
ammattimaiset lisensointi- ja jatko-opiskelukrediitit,continuing education credit
sopimuspäällikkö,contract manager
ohjain,controller cap
koordinaattiavaruus,coordinate space
tuotevaihto,crossgrade
CSI,CSI
opetussuunnitelmia,curricula
asiakasgalleria,customer gallery
asiakkuudenhallinta,customer relationship management
asiakasarviot,customer reviews
asiakkaan esittely,customer showcase
asiakastarinat,customer stories
asiakkaiden menestystarinat,customer success stories
"asiakas, jolla on ylläpitosuunnitelma",customer with a maintenance plan
datan luonti,data acquisition
tietosiilot,data silo
maanpuolustus,defense
suunnittelutavoite,design intent
suunnitelmien validointi,design validation
suunnitelmien visualisointi,design visualization
Designers Accord,Designers Accord
digitaalisen viihteen luonti,digital entertainment creation
digitaalinen mallinnus,digital modeling
Digital Prototyping Days -tilaisuudet,Digital Prototyping Days
DVI-liitäntä,digital visual interface
direct partner -kumppani,direct partner
keskustelupalsta,discussion forum
keskusteluryhmä,discussion group
hajautettu lisenssipalvelin,distributed license server
piirtäjä,drafter
Dropbox,Dropbox
kanava,duct
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
Eagle,Eagle
valtuutettu opiskelija- ja oppilaitosversioiden jälleenmyyjä,education reseller
Eligibility Matrix -kaavio,eligibility matrix
energiatehokkuus,energy efficiency
energiatehokkuutta parantavat muutokset,energy retrofit
Entitlement Certificate,entitlement certificate
hae tapahtumia,events lookup
Extra Territory -oikeudet,extra territory rights
valmistus,fabrication
Facebook,Facebook
ominaisuuksien vertailu,feature comparison
ominaisuuksien esittely,feature demos
ominaisuussarja,feature set
Ominaisuudet,Features
ominaisuudet ja edut,features and benefits
ominaisuudet ja tekniset tiedot,features and specifications
"elokuvat, pelit ja televisio","film, games and television"
laiteohjelmisto,firmware
Flickr,Flickr
siirrettävä ikkuna,floating window
toimintomatriisi,functionality matrix
paikkatiedot,geospatial
GFP,GFP
paikkatietojen integrointi,GIS integration
globaalit matkustusoikeudet,global travel rights
"Opas kestävään suunnitteluun arkkitehdeille, insinööreille ja rakennusalan ammattilaisille","Guide to Sustainable Design for Architecture, Engineering, and Construction"
kotikäyttö,home use
kotikäyttöoikeudet,home use rights
vaakanauha,horizontal ribbon
Hot Fix,Hot Fix
Hotfix,Hotfix
IC,IC
i-drop,i-drop
IFC,IFC
kuvat,imagery
tärkeät tuoteparannukset,incremental product enhancement
Value-Added Resellers -jälleenmyyjät,indirect value added reseller
teollinen muotoilu,industrial design
teollisuuden koneet ja laitteet,industrial machinery
toimialat,industries
toimialan uutisia,industry news
InfoCenter,InfoCenter
infrastruktuurin suunnittelu,infrastructure planning
asennus- ja lisensointituki,installation and licensing help
ohjattu asennustoiminto,installation wizard
Instructables,Instructables
integroitu projektitoimitus,integrated project delivery
interaktiivinen katsaus,interactive overview
interaktiivinen PDF,interactive PDF
yhteentoimivuus,interoperability
tärkeimmät ominaisuudet,key features
Knowledge Base -tietokanta,knowledge base
etusivu,landing page
myöhästymismaksu,late renewal
uusimmat versiot/julkaisut,latest versions/releases
LEED,LEED
oikeudelliset huomautukset ja tavaramerkit,legal notices & trademarks
lisenssisopimus,license agreement
lisenssiehtojen noudattaminen,license compliance
lisenssien hallintatyökalu,license management tool
License Transfer -apuohjelma,license transfer utility
tarjous voimassa rajoitetun ajan,limited time offer
M&E,M&E
ylläpitosuunnitelma,maintenance plan
sopimus ylläpitosuunnitelmasta,maintenance plan contract
ylläpitosuunnitelma-asiakas,maintenance plan customer
suurasiakas,major account
Major Account -alennus,major account discount
OVH,manufacturer retail price
valmistava teollisuus,manufacturing
markkinointi,marketing
markkinointijohtaja,marketing director
materiaalikirjasto,material library
mekaniikkasuunnittelu,mechanical engineering
media- ja viihdeala,media & entertainment
Media & Entertainment Collection,Media & Entertainment Collection
MUI,MUI
monen käyttäjän lisenssi,multi-seat license
monen käyttäjän yksittäinen lisenssi,multi-seat stand-alone license
monta käyttäjää,multi-user
monen käyttäjän käyttöoikeus,multi-user access
usean käyttäjän lisenssit,multi-user license
monivuotinen,multi-year
monivuotinen tilaussopimus,multi-year subscription contract
NAS,NAS
navigointityökalurivi,navigation toolbar
verkkolisenssien hallinta,network license manager
NLM,NLM
osoittimen päälleviennillä näytettävät objektin työkaluvihjeet,object rollover tooltip
One Team 360,One Team 360
elollinen muoto,organic form
yleisesite,overview brochure
paneelinuoli,panel arrow
Partner Center,Partner Center
kumppaneiden tuotteet ja palvelut,partner products and services
suorituskykysuositukset,performance recommendations
pipeline,pipeline
suunnittelun ammattilaiset,planning professional
laajennus,plug-in
podcast,podcast
pistepilvi,point cloud
Ekstrasopimus Plus,Preferred Plus Plan
kokeiluversio jo ennen julkistusta,pre-release trial
lehdistötiedote,press release
lista aiempien versioiden käyttöön oikeuttavista tuotteista,previous version eligible product list
aiempien versioiden käyttöoikeudet,previous version rights
aiemmat versiot,previous versions
tietosuojalausunto,privacy statement
prosessienhallinta,process management
prosessituotanto,process manufacturing
hankinta,procurement
tuote-esite,product brochure
tuotekeskus,product center
tuotekuvaus,product description
Product Design & Manufacturing Collection,Product Design & Manufacturing Collection
tietoja tuotteesta,product details
tuotekehitys,product development
tuotelaajennus,product extension
tuoteperhe,product family
tuotetiedot,product information
tuotteen elinkaaren hallinta,product lifecycle management
ohjelmistopaketti,product suite
tuote-esittely,product summary
tuotetuki,product support
tuotetukiasiantuntija,product support specialist
tuotteen kokeiluversio,product trial
tuotepäivitys,product upgrade
tuottavuustutkimus,productivity study
kampanjat,promotions
Publisher 360,Publisher 360
hankintavaihtoehdot,purchase options
QAT,QAT
kysymyksiä ja vastauksia,questions and answers
Quick Access -työkalurivi,quick access toolbar
pikanäkymän ohjaus,quick view
RasterDWG,RasterDWG
kiinteistöt,real estate
hyvitys,rebate
muuta aiheeseen liittyvää,related information
hyödyllisiä linkkejä,related links
liittyvät tuotteet,related products
tuotevertailumatriisi,release comparison matrix
julkaisupäivä,release date
versiohallinta,release management
peruskorjaukset,renovation
vuokralisenssisopimus,rental plan
resurssikeskus,resource center
sijoitetun pääoman tuotto,return on investment
nauhan aihevälilehti,ribbon contextual tab
myynti,sales
Sales Enablement Programs & Technology,Sales Enablement Programs & Technology
sovellusnäytteitä,sample applications
lisenssi,seat
Self Help -aputyökalut,self help tool
itseopiskelumateriaalit,self-paced training
SEPT,SEPT
istuntokohtainen lisenssi,session specific licensing
yksittäislisenssien hallinta,single license manager
yksi kirjautuminen,single sign-on
yksi käyttäjä,single-user
yhden käyttäjän käyttöoikeus,single-user access
Sivustokartta,site map
SKU,SKU
liukupaneeli,slideout panel
ohjelmisto,software
ohjelmistojen käyttöoikeusomaisuuden hallinta,software asset management
ohjelmistokoordinaattori,software coordinator
ohjelmistojen kehitystyökalut,software development kit
ohjelmistojen päivitysoikeus päättyy,software retirement
ohjelmistopäivitys,software upgrade
jaettu painike,split button
yksittäinen lisenssi,standalone license
tarttuva paneeli,sticky panel
rakennesuunnittelu,structural engineering
Student Engineering & Design Community,Student Engineering & Design Community
tilaaja,subscriber
tilaus,subscription
tilausedut,subscription benefits
toimitusketju,supply chain
tuki ja tiedonhankinta,support & learning
tukiohjelma,support program
kestävä kehitys,sustainability
järjestelmävaatimukset,system requirements
iskulause,tagline
tekninen tuki,tech support
Uusien ominaisuuksien tekninen kuvaus,Technical What's New
käyttöehdot,terms and conditions
palveluehdot,terms of service
koekäyttö,test drive
Käyttäjien kertomuksia,testimonial
kolmannen osapuolen sovellukset,third-party application
taso,tier
