source,target
alpha-blend,अल्फ़ा--ब्लेंड
angular speed,कोणीय गति
base mesh,बेस मेश
binary large object,बाइनरी बड़ा ऑब्जेक्ट
bind pose,बांधने की मुद्रा
blend mode,ब्लेंड मोड
blend surface,ब्लेंड सतह
blurriness,धुंधलापन
bookmark,बुकमार्क
brush,ब्रश
brush stroke,ब्रश स्ट्रोक
bulge,उभार
bump,बम्प
bump map,बम्प मैप
bump mapping,बम्प मैपिंग
camera,कैमरा
casement,केसमेंट
character large object,कैरेक्टर लार्ज ऑब्जेक्ट
CLOB,CLOB
closed edge,बंद किनारा
component,घटक
constrained object,बाधित ऑब्जेक्ट
control vertex,नियंत्रण शीर्ष
control vertex hull,नियंत्रण शीर्ष पतवार
control vertices hull,नियंत्रण शीर्ष पतवार
depth of field,क्षेत्र की गहराई
digital elevation model,डिजिटल उन्नयन मॉडल
displacement map,विस्थापन मैप
displacement scale,विस्थापन स्केल
dithering,कटौती
DOF,DOF
elevation axis,उन्नयन ऐक्सिस
extraction,निष्कर्षण
eyedropper,आईड्रॉपर
face,फ़ेस
fillet,फ़िलेट
flyout,फ्लायआउट
fly-out,फ्लाय-आउट
fragment,फ़्रेगमेंट
frame,फ़्रेम
frame rate,फ़्रेम दर
full-body inverse kinematics,"फुल-बॉडी, व्युत्क्रम कीनेमेटिक्स"
gamma,गामा
hardware shader,हार्डवेयर शेडर
highlight,हाइलाइट
Hypershade,हाइपरशेड
image map,छवि मैप
image plane,छवि प्लेन
image-based lighting,छवि-आधारित प्रकाश व्यवस्था
isoparm,आइसोपर्म
joint,संयुक्त
knuckle,जोड़
layer,परत
level,स्तर
limit surface,सीमा सतह
linear array,रैखिक ऐरे
mesh,मेश
mesher,मेशर
mid-tone,मध्य टोन
modifier,संशोधक
node-locked license,नोड-लॉक लाइसेंस
normal map,सामान्य मैप
NTSC,NTSC
object space,ऑब्जेक्ट स्पेस
opacity,अस्पष्टता
outline,आउटलाइन
Particle View,पार्टिकल व्यू
polygon,पॉलीगन
primitive,बहुभूज
projection map,प्रक्षेपण मैप
ray tracing,रे ट्रेसिंग
reflection map,प्रतिबिंब मैप
retopology,रीटोपोलॉजी
retopology mesh,रीटोपोलॉजी मेश
retopology modifier,रीटोपोलॉजी संशोधक
retopology process,रीटोपोलॉजी प्रोसेस
retopology tools,रीटोपोलॉजी टूल
safe frame,सुरक्षित फ्रेम
sample point,नमूना बिंदु
screen projection,स्क्रीन प्रक्षेपण
shading,शेडिंग
slope-offset-power,स्लोप-ऑफ़सेट-पावर
smoothing,सुचारू
SMPTE,SMPTE
SOP,SOP
specular highlight,स्पेक्युलर हाइलाइट
spline knot,स्प्लाइन नॉट
stencil,स्टैंसिल
stroke,स्ट्रोक
subdivision level,सब डिवीज़न स्तर
superimposed profile,आरोपित प्रोफ़ाइल
surface trimming,सतह की छंटाई
threshold,थ्रेसहोल्ड
universal manipulator,यूनिवर्सल मैनिप्युलेटर
vertex ID,शीर्ष ID
vertex normal,शीर्ष सामान्य
