source,target
jednoleté předplatné,1-year subscription
30denní zkušební verze,30-day trial
3D,3D
3D tiskárna,3D printer
3D tisk,3D printing
Rychlejší a lepší navrhování,Accelerate Better Design
ACE,ACE
aktivační kód,activation code
aktivní plán pronájmu,active rental plan
doplněk,add-in
aditivní výroba,additive manufacturing
ADI,ADI
Autodesk Licensing Manager,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
ohlašování,advertise
AEC,AEC
letecký,aerospace
orientovaný marketingový program,Aligned Marketing Program
kanál alfa,alpha channel
barva okolí,ambient color
Americký institut architektů,American Institute of Architects
body kotvy,anchor point
úhel,angle
úhlová vazba,angle constraint
Oznámení,Announcements
vyhlazení,anti-aliasing
App Store,App Store
Licenčním ujednáním s koncovým uživatelem služby App Store,app store end user license agreement
AppFrame,AppFrame
ID aplikace,APPID
aplikační inženýr,Application Engineer
ID aplikace (APPID),application ID
architektonické doplňkové instrukce,Architectural Supplemental Instructions
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
ASI,ASIs
Zeptejte se Autodesku,Ask Autodesk
ASM,ASM
poměr stran,aspect ratio
sestava,assembly
položka,asset
ATC,ATC
Smlouva ATC,ATC Agreement
rychlost zapojení,attach rate
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
autorizovaný partner,authorized partner
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,Autodesk Academic Value Added Reseller
rozšířená podpora Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Animation Academy,Autodesk Animation Academy
posuzovací text Autodesk,Autodesk assessment test
Autodesk Asset Locator,Autodesk Asset Locator
autorizovaný akademický partner Autodesk,Autodesk Authorized Academic Partner
Autorizovaný prodejce společnosti Autodesk,Autodesk authorized reseller
Školicí centrum Autodesk Authorized Training Center,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
základní podpora Autodesk Basic Support,Autodesk Basic Support
blog Autodesk BIM and Beam,Autodesk BIM and Beam Blog
Autodesk BIM pro studium správy v architektuře a stavebnictví,"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum"
transformační služby Autodesk BIM,Autodesk BIM Transformation Services
Autodesk Building Engineering Playbook,Autodesk Building Engineering Playbook
architektonický kanál YouTube Autodesk,Autodesk Building YouTube Channel
Autodesk Business Center,Autodesk Business Center
obchodní metodologie Autodesk,Autodesk Business Value Methodology
uhlíková stopa Autodesk,Autodesk carbon footprint
Certifikáty společnosti Autodesk,Autodesk Certification
certifikační školení Autodesk,Autodesk Certification Training
logo certifikace Autodesk,Autodesk Certified logo
certifikovaný odborník společnosti Autodesk,Autodesk Certified Professional
program Autodesk Certified User,Autodesk Certified User program
pokyny Autodesk Channel Branding,Autodesk Channel Branding Guidelines
obchodní manažer společnosti Autodesk,Autodesk Channel Sales Manager
obchodní tým Autodesk,Autodesk Channel Team
Školení Autodesk v učebně,Autodesk Classroom Training
program Autodesk Clean Tech Partner,Autodesk Clean Tech Partner Program
služby Autodesk Collaboration and Data Management,Autodesk Collaboration and Data Management Services
program Autodesk Compliance,Autodesk Compliance Program
časopis Autodesk Construction Magazine,Autodesk Construction Magazine
Autodesk Consulting,Autodesk Consulting
program Autodesk Consulting Specialization,Autodesk Consulting Specialization Program
Autodesk Content Service,Autodesk Content Service
služba Autodesk Content Syndication Service,Autodesk Content Syndication Service
program Autodesk Customer Engagement,Autodesk Customer Engagement Program
tým uživatelských zkušeností Autodesk,Autodesk Customer Experience Team
Program zapojení zákazníků Autodesk,Autodesk Customer Involvement Program
program Autodesk Customer Satisfaction,Autodesk Customer Satisfaction Program
zástupce zákaznických služeb společnosti Autodesk,Autodesk Customer Service representative
zákaznická podpora společnosti Autodesk,Autodesk Customer Support
nástroje správy dat Autodesk,Autodesk data management tools
Autodesk Design Academy,Autodesk Design Academy
sady Autodesk Design Suite a Creation Suite,Autodesk Design and Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
konference Autodesk DevDays,Autodesk DevDays Conference
Autodesk Developer Network,Autodesk Developer Network
Autodesk Developer Network Open,Autodesk Developer Network Open
řešení digitální zábavy Autodesk Digital Entertainment Creation,Autodesk Digital Entertainment Creation solution
časopis Autodesk Digital Magazine,Autodesk Digital Magazine
fórum Autodesk Digital Prototyping,Autodesk Digital Prototyping Forum
řešení Autodesk Digital Prototyping,Autodesk Digital Prototyping solution
workshop Autodesk Digital STEAM,Autodesk Digital STEAM Workshop
distributorská smlouva společnosti Autodesk,Autodesk Distributor Agreement
Autodesk Download Manager,Autodesk Download Manager
Autodesk Education,Autodesk Education
Autodesk Education Community,Autodesk Education Community
výuka Autodesk Education,Autodesk Education Curriculum
Autodesk Education Suite pro architekturu a stavebnictví,Autodesk Education Suite for Architecture & Engineering
Autodesk Education Suite pro stavební inženýrství,Autodesk Education Suite for Civil & Structural Engineering
Autodesk Education Suite pro průmyslové návrhy,Autodesk Education Suite for Industrial Design
program Autodesk Employee Purchase,Autodesk Employee Purchase Program
služby Autodesk Engineer-to-Order Services,Autodesk Engineer-to-Order Services
podpora Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
soutěž Autodesk FLUX Design,Autodesk FLUX Design Competition
galerie Autodesk,Autodesk Gallery
ID Autodesk,Autodesk ID
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk Industry Careers Framework pro hry a animace,Autodesk Industry Careers Framework for Games and Animation
řešení Autodesk Infrastructure,Autodesk Infrastructure Solutions
