source,target
1-year subscription,підписка на 1 рік
30-day trial,30-денна пробна версія
3D,3D
3D printer,3D-принтер
3D printing,3D-друк
3ds Max,3ds Макс
3ds Max Design,Дизайн в 3ds Max
A360,A360
A360 Rendering,Рендеринг A360
A360 Team,Команда A360
ACC,ACC
acceleration,прискорення
Account Management,Управління обліковими записами
ACE,ACE
ACI,ACI
activation code,код активації
activation scenario,сценарій активації
active contract,Активний контракт
Active Directory,Активний каталог
active rental plan,активний план оренди
activity feed,стрічка активності
Activity Monitor,Монітор активності
add-in,надбудова
additive manufacturing,адитивне виробництво
add-on,доповнення
ADI,ADI
AdLM,AdLM
Administrative Tools,Адміністративні інструменти
ADN,ADN
ADP,ADP
Advance Concrete,Попередній бетон
Advance Steel,Передова сталь
Advanced Illuminance,Покращена освітленість
AEC,AEC
AEC Collection,Колекція AEC
aerospace,аерокосмічний
Alias AutoStudio,Автостудія Alias
Alias Concept,Концепція Alias
Alias Design,Дизайн Alias
Alias SpeedForm,Форма швидкості Alias
Alias Surface,Поверхня Alias
Aligned Marketing Program,Узгоджена маркетингова програма
alpha channel,альфа-канал
Alternative Distribution Methods,Альтернативні методи розповсюдження
ambient color,навколишній колір
ambient occlusion,навколишня оклюзія
ambient temperature,температура навколишнього середовища
amendment,поправка
American Institute of Architects,Американський інститут архітекторів
AMP,AMP
anchor point,точка прив'язки
angle,кут
angle constraint,обмеження кута нахилу
annealing,відпал
Ansys Mechanical,Механічний Ansys
anti-boycott,антібойкот
anti-corruption,боротьба з корупцією
anxiety question,тривожне питання
AOTC,AOTC
API,API
App Store,Магазин App Store
app store end user license agreement,Ліцензійна угода з кінцевим користувачем app Store
AppFrame,Додаток AppFrame
APPID,APPID
Apple App Store,Магазин додатків Apple App Store
Application Engineer,Інженер-прикладник
application ID,ідентифікатор додатка
Application Programming Interface,Інтерфейс прикладного програмування
aPriori,Апріорі
ArcGIS,ArcGIS
Architect's Supplemental Instruction,Додаткова інструкція архітектора
Architectural Supplemental Instructions,Додаткові архітектурні інструкції
"Architecture, Engineering & Construction Collection","Колекція архітектури, інженерії та будівництва"
"architecture, engineering and construction","Архітектура, інжиніринг та будівництво"
array,масив
ASIs,ASIs
ASM,ASM
aspect ratio,співвідношення сторін
assembly,зібрання
asset,актив
ATC,ATC
ATC Agreement,Угода ATC
ATC Global Program Guide,Керівництво по глобальній програмі ATC
ATC Locator,Локатор ATC
ATC Online Evaluation System,Система онлайн-оцінки ATC
ATC Site Enrolment and Business Plan Form,Форма реєстрації на сайті та бізнес-план ATC
attach rate,швидкість приєднання
AU,AU
AU Virtual,Віртуальний AU
AUGI,AUGI
authentication,ідентифікація
authorized academic partner,авторизований академічний партнер
authorized partner,авторизований партнер
authorized reseller,авторизований реселлер
AutoCAD,AutoCAD
AutoCAD 2019 Add-In,Додаток для AutoCAD 2019
AutoCAD 360,AutoCAD 360
AutoCAD Architecture 2019 Add-In,Додаток для AutoCAD Architecture 2019
AutoCAD Civil 3 D 2019 Add-In,Додаток для AutoCAD Civil3D 2019
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD DXF,AutoCAD DXF
AutoCAD Electrical,Програма AutoCAD Electrical
AutoCAD Electrical 2019 Add-In,Додаток для AutoCAD Electrical 2019
AutoCAD Electrical Turing Beta,Бета-версія AutoCAD Electrical Turing
AutoCAD for Mac,AutoCAD для Mac
AutoCAD including specialized toolsets,"AutoCAD, включаючи спеціалізовані набори інструментів"
AutoCAD Inventor LT Suite,Пакет AutoCAD Inventor Lt Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT 2019 Add-In,Додаток для AutoCAD LT 2019
AutoCAD LT for Mac,AutoCAD LT для Mac
AutoCAD Map 2019 Add-In,Додаток для AutoCAD Map 2019
AutoCAD Map 3D,Карта AutoCAD 3D
AutoCAD Mechanical,Програма AutoCAD Mechanical
AutoCAD Mechanical 2019 Add-In,Додаток для AutoCAD Mechanical 2019
AutoCAD MEP 2019 Add-In,Додаток для AutoCAD MEP 2019
AutoCAD Migration Assistance,Допомога в перенесенні AutoCAD
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3 D 2019 Add-In,Додаток для AutoCAD Plant3D 2019
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,Растровий дизайн в AutoCAD
AutoCAD Revit Architecture Suite,Архітектурний пакет AutoCAD Revit
AutoCAD Revit LT Suite,Пакет AutoCAD Revit Lt Suite
AutoCAD Structural Detailing 2019 Add-In,Додаток для AutoCAD Structural Detailing 2019
AutoCAD Utility Design 2019 Add-In,Додаток для AutoCAD Utility Design 2019
AutoCAD vertical,Вертикаль AutoCAD
Autocast,Автоматична трансляція
AutoCorrect,Автозаміна
Autodesk Academic Value Added Reseller,Реселлер Autodesk Academic з доданою вартістю
Autodesk Advanced Support,Розширена підтримка Autodesk
Autodesk Analytics,Аналітика Autodesk
Autodesk Animation Academy,Академія анімації Autodesk
Autodesk App Store Verified Download,Підтверджене завантаження з магазину додатків Autodesk App Store
Autodesk assessment test,Тест оцінки Autodesk
Autodesk Asset Locator,Засіб визначення місця розташування активів Autodesk
Autodesk Authorized Academic Partner,Авторизований академічний партнер Autodesk
Autodesk authorized reseller,Авторизований реселлер Autodesk
Autodesk Authorized Training Center,Авторизований навчальний центр Autodesk
Autodesk Backburner,Програма Autodesk Backburner
Autodesk Basic Support,Базова підтримка Autodesk
Autodesk BIM and Beam Blog,Блог Autodesk BIM і Beam
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum","Навчальна програма Autodesk BIM для архітектури, інжинірингу та управління будівництвом"
Autodesk BIM Transformation Services,Послуги Autodesk з BIM-перетворення
Autodesk Bronze reseller,Реселлер Autodesk Bronze
Autodesk Building Engineering Playbook,Навчальний посібник Autodesk з проектування будівель
Autodesk Building YouTube Channel,Autodesk створює канал YouTube
Autodesk Business Center,Бізнес-центр Autodesk
Autodesk Business Value Methodology,Методологія створення цінності для бізнесу Autodesk
Autodesk carbon footprint,Вуглецевий слід Autodesk
Autodesk Certification,Сертифікація Autodesk
Autodesk Certification Training,Сертифікаційний тренінг Autodesk
Autodesk Certified Instructor program,Програма сертифікованого інструктора Autodesk
Autodesk Certified logo,"Логотип, сертифікований Autodesk"
Autodesk Certified Professional,Сертифікований спеціаліст Autodesk
Autodesk Certified User program,Сертифікована користувацька програма Autodesk
Autodesk Channel Sales Manager,Менеджер з продажу на каналі Autodesk
Autodesk Channel Team,Команда каналу Autodesk
Autodesk Classroom Training,Навчання в класі Autodesk
Autodesk Clean Tech Partner Program,Партнерська програма Autodesk CleanTech
Autodesk Collaboration and Data Management Services,Послуги Autodesk зі спільної роботи та управління даними
Autodesk Collaborative Project Management Solutions,Рішення Autodesk для управління спільними проектами
Autodesk Compliance Program,Програма відповідності вимогам Autodesk
Autodesk Construction Cloud,Хмара робiт Autodesk
Autodesk Construction Magazine,Будівельний журнал Autodesk
Autodesk Consulting,Консалтинг Autodesk
Autodesk Consulting Specialization Program,Спеціалізована програма Autodesk Consulting
Autodesk Content Explorer,Оглядач вмісту Autodesk
Autodesk Content Service,Служба підтримки контенту Autodesk
Autodesk Content Syndication Service,Служба синдикації контенту Autodesk
Autodesk Creative Commons,Autodesk Creative Commons
Autodesk Creative Commons license,Ліцензія Autodesk Creative Commons
Autodesk Customer Engagement Program,Програма взаємодії з клієнтами Autodesk
Autodesk Customer Experience Team,Команда по роботі з клієнтами Autodesk
Autodesk Customer Involvement Program,Програма залучення клієнтів Autodesk
Autodesk Customer Satisfaction Program,Програма підвищення задоволеності клієнтів Autodesk
Autodesk Customer Service representative,Представник служби підтримки клієнтів Autodesk
Autodesk Customer Support,Служба Підтримки Клієнтів Autodesk
Autodesk data management tools,Інструменти управління даними Autodesk
Autodesk Design Academy,Академія дизайну Autodesk
Autodesk Design and Creation Suites,Набори для проектування і створення Autodesk
Autodesk Design for Industry,Autodesk Design для промисловості
Autodesk Design Institute,Проектний інститут Autodesk
Autodesk Design Package,Пакет для проектування Autodesk
Autodesk Desktop Connector,З'єднувач для настільних комп'ютерів Autodesk
Autodesk DevDays Conference,Конференція Autodesk DevDays
Autodesk Developer Network,Мережа розробників Autodesk
Autodesk Developer Network Open,Відкрита мережа розробників Autodesk
Autodesk Digital Entertainment Creation solution,Рішення Autodesk для створення цифрових розваг
Autodesk Digital Magazine,Цифровий журнал Autodesk
Autodesk Digital Prototyping Forum,Форум цифрового прототипування Autodesk
Autodesk Digital Prototyping solution,Рішення для створення цифрових прототипів Autodesk
Autodesk Digital STEAM Workshop,Майстерня Autodesk Digital STEAM Workshop
Autodesk Distributor Agreement,Дистриб'юторська угода Autodesk
Autodesk Docs,Документи Autodesk
Autodesk Download Manager,Менеджер завантажень Autodesk
Autodesk Drive,Привід Autodesk
Autodesk Education,Освіта в Autodesk
Autodesk Education Community,Освітня спільнота Autodesk
Autodesk Education Curriculum,Навчальна програма Autodesk Education
Autodesk Education Suite for Architecture & Engineering,Навчальний пакет Autodesk для архітектури та інженерії
Autodesk Education Suite for Civil & Structural Engineering,Освітній пакет Autodesk для цивільного та будівельного проектування
Autodesk Education Suite for Industrial Design,Навчальний пакет Autodesk для промислового дизайну
Autodesk Education Suite for Mechanical Engineering,Освітній пакет Autodesk для машинобудування
Autodesk Employee Purchase Program,Програма закупівель для співробітників Autodesk
Autodesk Engineer-to-Order Services,Послуги інженера Autodesk на замовлення
Autodesk Enterprise Priority Support,Пріоритетна підтримка Autodesk Enterprise
Autodesk Flex,Autodesk Flex
Autodesk flex token,Токен Autodesk flex
Autodesk FLUX Design Competition,Конкурс Autodesk FLUX Design Competition
Autodesk forum,Форум Autodesk
Autodesk Gallery,Галерея Autodesk
Autodesk Gold partner,Золотий партнер Autodesk
Autodesk ID,Autodesk ID
Autodesk iiko Experience,Досвід роботи з Autodesk iiko
Autodesk Industry Careers Framework for Games and Animation,Autodesk Industry Careers Framework для ігор та анімації
Autodesk Infrastructure Solutions,Інфраструктурні рішення Autodesk
Autodesk Inside Sales Team,Внутрішній відділ продажів Autodesk
Autodesk Insight,Розуміння Autodesk
Autodesk Installation Help,Довідка по установці Autodesk
Autodesk Inventor 2019 Add-In,Додаток Autodesk Inventor 2019
Autodesk Inventor LT 2019 Add-In,Додаток Autodesk Inventor LT 2019
Autodesk Inventor Mentor,Наставник Autodesk Inventor
Autodesk IPv4 License Manager for Mac,Autodesk IPv4 License Manager для Mac
Autodesk IPv6 License Manager for Mac,Autodesk IPv6 License Manager для Mac
Autodesk Job Processor,Обробник завдань Autodesk
Autodesk Knowledge Network,Мережа знань Autodesk
Autodesk Labs,Лабораторії Autodesk
Autodesk LaunchPad,Панель запуску Autodesk
Autodesk learning and education,Autodesk навянання та освіта
Autodesk Learning Central,Центр навчання Autodesk
Autodesk Legacy Program,Застаріла програма Autodesk
Autodesk License Compliance Team,Команда Autodesk з дотримання вимог до ліцензій
Autodesk License Manager,Менеджер ліцензій Autodesk
Autodesk Live,Autodesk Live
Autodesk Live Chat,Живий чат Autodesk
Autodesk Manufacturing Community Portal,Портал виробничого співтовариства Autodesk
Autodesk Manufacturing Team,Виробнича група Autodesk
Autodesk MasterClasses,Майстер-класи Autodesk
Autodesk Masters award,Премія Autodesk Masters award
Autodesk Masters Program,Магістерська програма Autodesk
Autodesk Material Library,Бібліотека матеріалів Autodesk
Autodesk Network License Manager,Менеджер мережевих ліцензій Autodesk
Autodesk Official Training Courseware,Офіційний Навчальний посібник Autodesk
Autodesk Official Training Guides,Офіційні навчальні посібники Autodesk
Autodesk Online Store,Інтернет-магазин Autodesk
Autodesk Online Testing Service,Служба онлайн-тестування Autodesk
Autodesk Panorama,Панорама Autodesk
Autodesk Partner Manager,Панорама Autodesk
Autodesk Partner Marketing Platform,Партнерська маркетингова платформа Autodesk
Autodesk Partner Portal,Партнерський портал Autodesk
Autodesk Partner Program,Партнерська програма Autodesk
