source,target
administrateur de compte,account administrator
administrateur de projet,project administrator
alignement de modèles,model alignment
ALKIS,ALKIS
annotation,markup
annotation de référence,callout markup
approbateur,approver
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
centre de données,data center
champ de chaîne,string field
champ QT personnalisé,RFI custom field
collaborateur avancé,power collaborator
contingence,contingency
contrat principal,main contract
Dark Sky,Dark Sky
demande de modification,change order
demande de modification budgétaire en amont,upstream budget change order
demande de modification du fournisseur,supplier change order
demande de paiement budgétaire,budget payment application
demande de paiement du coût,cost payment application
détection automatique de conflit,clash service
Domo,Domo
dossier d'appel d'offres,bid package
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
EDC,CDE
entrepreneur général,general contractor
espace de coordination,coordination space
espace d'équipe,Team Space
excavation et terrassement,earthworks
Formulaires,Forms
géantes de glace,ice giants
Gestion de document,Document Management
gestion des coûts,cost management
groupe de conflits,clash group
hypermodélisation,hypermodeling
image de la signature,signature image
impact financier,cost impact
initiateur,initiator
journal de documents,document log
journal quotidien,daily log
liste des valeurs,schedule of values
mini-carte 3D,3D Mini-map
modèle,template
modèle nuagique,cloud model
modèle primaire,primary model
modifications du propriétaire,owner changes
noeud,node
période de facturation,billing period
photos d'avancement,progress photos
photos de chantier,jobsite photos
pièce jointe,attachment
Piranesi EPix,Piranesi EPix
plan de coupe,section plane
problème,issue
rapport sur la main-d'œuvre et les effectifs,labor and workforce report
recherche d'utilisateur,user research
Reconnaissance de contenu,Content Awareness
réviseur,reviewer
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
rôle,role
segment ellipse,ellipse segment
sélecteur de date,date picker
SketchUp,SketchUp
société d'entrepreneur général,general contractor company
soumission,submittal
spécification,specification
Structural Analysis for Revit,Structural Analysis for Revit
tableau de bord,dashboard
TimeLiner,TimeLiner
Tinkerplay,Tinkerplay
titre du bordereau de transmission,transmittal title
Vehicle Tracking,Vehicle Tracking
visualiseur,viewer
XDRef,XDRef
