source,target
3D-Netzgrundkörper,3D mesh primitive
3D-Minimap,3D Mini-map
3D-Verschieben-Gizmo,3D Move gizmo
3D-Drehen-Gizmo,3D Rotate gizmo
3D-Skalieren-Gizmo,3D Scale gizmo
Widerlager,abutment
Kontoadministrator,account administrator
Gantt-Diagramm für Aktivität,Activity Gantt View
Gesamtansicht,aggregate View
Lüftungsgerät,air handler
Airtable,Airtable
Ausgerichtete Schnittansicht,aligned section view
Achshauptpunkt,alignment geometry point
Achsversatz,alignment offset
ALKIS,ALKIS
Nennstromstärke,ampacity
Analemma,analemma
analytische Geschossdecke,analytical floor
berechnete Oberfläche,analytical surface
Winkeltoleranz,angle of deflection
Winkelgeschwindigkeit,angular speed
Anmerkung,annotation
Mindestbewehrung,anti-shrinkage reinforcement
Scheinleistung,apparent power
Darstellungsstil,appearance style
Genehmiger,approver
Bogen-Sehnen-Abstand,arc-chord distance
ArchiCAD-Modell,ArchiCAD model
architektonisches Geschoss,architectural floor
ASBD,ASBD
ASHRAE-Formstück,ASHRAE fitting
Objektbibliothek,asset library
ATIL,ATIL
Anhang,attachment
AutoCAD-Modell,AutoCAD model
Autodesk-Bilddatenbank,Autodesk Image Library
durchschnittliche Endfläche,average end area
Azimut,azimuth
Anschlusspunkt,backsight
Beauftragter,ball in court
Basisfamilie,base family
Basislayer,base layer
Basemap,basemap
Batch Print,Batch Print
BCA,BCA
BCF,BCF
tragende Wand,bearing wall
Biegedurchmesser,bend diameter
Stabkröpfung,bent bar
Abrechnungszeitraum,billing period
BIM-Objekt,BIM object
zweifachsymmetrisch,bisymmetric
Bloss-Bogen,bloss
Entleiher,borrower
Hohlträger,box girder
Zweigstromkreis,branch circuit
Ziegelverblendung,brick veneer
Transfer-Tool,Bridge
gebürstet,brushed
gebürstetes Aluminium,brushed aluminium
Budget-Übertragung,budget transfer
Gemeinschaftsfläche,building common area
Gebäudegrundfläche,building footprint
Geschoss,building level
mehrlagiges Dach,built-up roof
Wölbung,bulge
poliert,burnishing
Geschäftsbereiche,business units
stumpf,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
Kabeltrasse,cable tray
CADmep,CADmep
Ausschnittsvergrößerung,callout markup
Detailausschnittsbeschriftung,callout tag
host,camera-centric
Überhöhung,cant
Überhöhungsneigung,cant gradient
Überhöhungsansicht,Cant View
Linienende,cap
Cartoon-Satz,cartoon set
Flügel,casement
Auffangbecken,catch basin
Gebietsauslass,catchment location
Hohlwand,cavity wall
CDE,CDE
Mittellinie,center line
Zentrumsmarke,center mark
Keramikfliese,ceramic tile
Fase,chamfer
Änderungsanalyse,change analysis
Änderungsverfolgung,Changes tool
charakteristische Festigkeit,characteristic strength
Cipolletti,Cipolletti
Kollisionsgruppe,clash group
Oberlicht,clerestory
Schnittvolumen,clip volume
Cloud-Modell,cloud model
Normkombination,code combination
Kaltwasser-Sanitärobjekt,cold water fixture unit
Dach mit Asphaltschindeln,composition roof
Korbbogen,compound curve
Druckfestigkeit,compressive strength
Einzelkraft,concentrated force
Entwurfsenergieanalyse,Conceptual Energy Analysis
Entwurfskörper,conceptual mass
Kondensatableiter,condensate drain
Leerrohr,conduit
Leerrohr-Anschlussstück,conduit connector
Leerrohrformteil,conduit fitting
Verbinder,connector
Abhängigkeitselement,constraint element
Realisierbarkeitsmodelle,constructability modeling
Relevante Inhalte,Content Awareness
Inhaltsbibliothek,content library
Inhaltspaket,content pack
Eventualfonds,contingency
Höhenlinienbeschriftung,contour label
mit Kontraktion,contracted
Mitwirkender,Contributor
Konvektionslast,convection load
konvex,convex
Koordinationsraum,coordination space
Ausklinkung,cope
Anforderung für Änderungsauftrag,COR
Konsole,corbel
Co-Prüfer,Co-reviewer
Trassenabschnitt,corridor section
Auswirkung auf Kosten,cost impact
Kostenverwaltung,cost management
Kostenzahlungsantrag,cost payment application
Ermittlung der Anzahl,count takeoff
Länder-Kit,country kit
Kuppe,crest curve
Haltungsquerschnitt,crossing pipe
Gleisverbindungsbibliothek,crossover library
Fahrbahnscheitel,crown
Straße mit Dachprofil,crowned roadway
kubische Parabel,Cubic Parabola
aktuelles Verzeichnis,current directory
Fassadensystem,curtain system
Fassade,curtain wall
Fassadenrahmen,curtain wall frame
Fassadenpfosten,curtain wall mullion
Bogen-Tessellationsabstand,curve tessellation distance
gekrümmter Träger,curved beam
benutzerdefinierter Träger,custom girder
Einschaltwindgeschwindigkeit,cut-in speed wind
Ausschaltwindgeschwindigkeit,cut-out speed wind
CWFU,CWFU
Dashboard,dashboard
Rechenzentrum,data center
lichtdurchlässiges Bauteil,daylight portal
Verglasung für Beleuchtung mit Tageslicht,daylighting glass
ständige Last,dead load
DECDEG,DECDEG
Überbau,deck
Grad/Minuten/Sekunden,degrees minutes seconds
DEM,DEM
Bedarfsdiagramm,demand diagram
Gleichzeitigkeit,demand factor
Entwurfsbericht,design report
Desktop Connector,Desktop Connector
diffus,diffuse
digitales Geländemodell,digital terrain model
Bemaßungsabhängigkeit,DimConstraint
Richtungstyp,direction type
Disziplin,Discipline
Verteilungsliste,Distribution List
dll,DLL
DMS,DMS
Dokument,document
Dokumentprotokoll,document log
Document Management,Document Management
Dokumente,Documents
Entwässerungsnetz,drainage network
Zeichnungsgruppe,drawing group
Absturz-Referenzposition,drop reference location
Trockenkugel,dry bulb
Trockenbauwand,drywall
