source,target
3D,3D
3D printer,3D プリンタ
3D printing,3D プリンティング
3ds Max,3ds Max
3ds Max Design,3ds Max Design
Accelerate Better Design,より優れたデザインをより迅速に
acceleration,アクセラレーション
accelerator,アクセラレータ
Account Management,アカウント管理
ACE,ACE
ACI,ACI
activation code,アクティベーション コード
Activation Limit Reached,アクティべーションの制限数に達しました
activation scenario,アクティベーション シナリオ
active contract,有効な契約
Active Directory,Active Directory
active rental plan,有効な期間限定ライセンス
activity feed,アクティビティ フィード
Activity Monitor,アクティビティ モニタ
Add new payment method,新しい支払い方法の追加
add-in,アドイン
additive manufacturing,積層造形
add-on,アドオン
ADI,ADI
AdLM,AdLM
administrative privileges,管理者権限
Administrative Tools,管理ツール
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Advanced Illuminance
advertise,アドバタイズ
aerospace,航空宇宙
ALC,ALC
Aligned Marketing Program,連携マーケティング プログラム
alpha channel,アルファ チャネル
Alternative Distribution Methods,代替配布法
ambient color,アンビエント カラー
ambient occlusion,アンビエント オクルージョン
ambient temperature,周囲温度
amendment,修正
American Institute of Architects,米国建築家協会
anchor,アンカー
anchor point,アンカー点
angle,角度
angle constraint,角度拘束
annealing,アニーリング
Announcements,お知らせ
anti-aliasing,アンチエイリアシング
anti-boycott,反ボイコット
anti-corruption,不正行為防止
anxiety question,懸念事項
API,API
App Store,App Store
app store end user license agreement,App Store エンド ユーザ使用許諾契約
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,アプリケーション エンジニア
application ID,アプリケーション ID
Application Programming Interface,アプリケーション プログラミング インターフェイス
Architect's Supplemental Instruction,設計者の補足指示
Architectural Supplemental Instructions,ASI
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
array,アレイ
ASIs,ASI
Ask Autodesk,お問い合わせ
ASM,ASM
aspect ratio,縦横比
assembly,アセンブリ
asset,アセット
ATC,ATC
ATC Agreement,ATC 許諾契約
ATC Global Program Guide,ATC Global Program Guide
ATC Online Evaluation System,ATC Online Evaluation System
ATC Site Enrolment and Business Plan Form,ATC Site Enrolment and Business Plan フォーム
attach rate,アタッチ レート
AUGI,AUGI
authentication,認証
authorized academic partner,認定アカデミック パートナー
Autocast,Autocast
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,オートデスク アカデミック付加価値リセラー
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Analytics,オートデスクの解析プログラム
Autodesk Animation Academy,Autodesk アニメーション アカデミー
Autodesk App Store Verified Download,Autodesk App Store ダウンロード確認済み
Autodesk assessment test,オートデスク評価テスト
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Authorized Academic Partner,オートデスク認定アカデミック パートナー
Autodesk authorized reseller,オートデスク認定販売パートナー
Autodesk Authorized Training Center,オートデスク認定トレーニング センター
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk BIM and Beam Blog,Autodesk BIM and Beam ブログ
"Autodesk BIM for Architecture, Engineering and Construction Management Curriculum","Autodesk BIM for Architecture, Engineering and Construction Management カリキュラム"
Autodesk BIM Transformation Services,Autodesk BIM Transformation サービス
Autodesk Bronze reseller,オートデスク ブロンズ パートナー
Autodesk Building Engineering Playbook,Autodesk Building Engineering Playbook
