source,target
3D-printer,3D printer
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
Aanbevelingen voor de beste prestaties,Performance Recommendations
aanpassingen,retrofit
Aanschafmogelijkheden,Purchase Options
ABCP,ABCP
abonnee,subscriber
abonnement,subscription
abonnement voor één gebruiker,single-user subscription
abonnementsvoordelen,subscription benefits
ACE,ACE
ACI,ACI
activeringscode,activation code
ad-hocanalyse,ad hoc analysis
ADI,ADI
AdLM,AdLM
ADN,ADN
adoptietraject,adoption path
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
adverteren,advertise
AEC,AEC
AEC-informatiemodel,AEC Information Model
AECO,AECO
afbeeldingen,imagery
alfakanaal,alpha channel
algemene voorwaarden,terms and conditions
Alias,Alias
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
anker,anchor
anti-aliasing,anti-aliasing
antwoord,response
AOTC,AOTC
APEX,APEX
API,API
App Store,App Store
AppFrame,AppFrame
application programming interface,Application Programming Interface
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architectuur, engineering en bouw","architecture, engineering and construction"
"Architectuur, techniek, bouw en operations","Architecture, Engineering, Construction, and Operations"
ASM,ASM
assemblage,assembly
ATC,ATC
AUGI,AUGI
"Authenticatie, autorisatie en accounting","Authentication, Authorization and Accounting"
AutoCAD,AutoCAD
AutoCAD 360,AutoCAD 360
AutoCAD Electrical,AutoCAD Electrical
AutoCAD for Mac,AutoCAD for Mac
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Migration Assistance,AutoCAD Migration Assistance
AutoCAD Mobile,AutoCAD Mobile
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCorrect,AutoCorrect
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Asset Locator,Autodesk Asset Locator
Autodesk Authorized Training Center,Autodesk Authorized Training Center
Autodesk Backburner,Autodesk Backburner
Autodesk Basic Support,Autodesk Basic Support
Autodesk bestel-item,Autodesk Order Entry
Autodesk BIM Collaborate,Autodesk BIM Collaborate
Autodesk BIM Collaborate Pro,Autodesk BIM Collaborate Pro
Autodesk Bronze-reseller,Autodesk Bronze reseller
Autodesk Certified Instructor-programma,Autodesk Certified Instructor program
Autodesk Certified Professional,Autodesk Certified Professional
Autodesk Certified-logo,Autodesk Certified logo
Autodesk Clean Tech Partner Program,Autodesk Clean Tech Partner Program
Autodesk cloudstandaarden,Autodesk Cloud Standards
Autodesk Collaborative Project Management-oplossingen,Autodesk Collaborative Project Management Solutions
Autodesk Compliance-programma,Autodesk Compliance Program
Autodesk Compute-platform,Autodesk Compute Platform
Autodesk Construction Solutions,Autodesk Construction Solutions
Autodesk Consulting,Autodesk Consulting
Autodesk Consulting Media & Entertainment,Autodesk Consulting Media & Entertainment
Autodesk Content Service,Autodesk Content Service
Autodesk Customer Environment,Autodesk Customer Environment
Autodesk Customer Lifecycle,Autodesk Customer Lifecycle
Autodesk Design Academy,Autodesk Design Academy
Autodesk Design en Creation Suites,Autodesk Design and Creation Suites
Autodesk Design for Industry,Autodesk Design for Industry
Autodesk Design Package,Autodesk Design Package
Autodesk Developer Network,Autodesk Developer Network
Autodesk Digital Entertainment Creation Software,Autodesk Digital Entertainment Creation solution
Autodesk Digital Prototyping-forum,Autodesk Digital Prototyping Forum
Autodesk Digital Prototyping-oplossing,Autodesk Digital Prototyping solution
Autodesk Downloadmanager,Autodesk Download Manager
Autodesk Education Community,Autodesk Education Community
Autodesk Education Experience,Autodesk Education Experience
Autodesk Employee Purchase Program,Autodesk Employee Purchase Program
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk Event Analysis,Autodesk Event Analysis
Autodesk Gold-partner,Autodesk Gold partner
Autodesk Growth Marketing,Autodesk Growth Marketing
Autodesk Health Dashboard,Autodesk Health Dashboard
Autodesk in het nieuws,Autodesk in the News
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy-programma,Autodesk Legacy Program
Autodesk License Manager,Autodesk License Manager
Autodesk Lightning Integrated Case Experience,Autodesk Lightning Integrated Case Experience
Autodesk Live,Autodesk Live
Autodesk Live Chat,Autodesk Live Chat
Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,Autodesk Official Training Courseware
Autodesk Online winkel,Autodesk Online Store
Autodesk Opleiding en onderwijs,Autodesk Learning and Education
Autodesk Partnermanager,Autodesk Partner Manager
Autodesk Partnerportal,Autodesk Partner Portal
Autodesk Platform Services,Autodesk Platform Services
Autodesk Platinum-partner,Autodesk Platinum partner
Autodesk Premier Solutions Provider,Autodesk Premier Solutions Provider
Autodesk Privacyverklaring,Autodesk Privacy Statement
Autodesk Professional Excellence,Autodesk Professional Excellence
Autodesk Sales Incentive Management System,Autodesk Sales Incentive Management System
Autodesk Services en ondersteuning,Autodesk Services and Support
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Shared Component,Autodesk Shared Component
Autodesk Silver-partner,Autodesk Silver partner
Autodesk Store,Autodesk Store
Autodesk Streamline,Autodesk Streamline
Autodesk Translation Framework,Autodesk Translation Framework
Autodesk University,Autodesk University
Autodesk User Group International,Autodesk User Group International
Autodesk Value Added Reseller,Autodesk Value Added Reseller
Autodesk® Product Design & Manufacturing Collection,Autodesk® Product Design & Manufacturing Collection
Autodesk-beoordelingstest,Autodesk assessment test
Autodesk-certificering,Autodesk Certification
Autodesk-forum,Autodesk forum
Autodesk-ID,Autodesk ID
Autodesk-klantenservicemedewerker,Autodesk Customer Service representative
Autodesk-launchPad,Autodesk LaunchPad
Autodesk-partnerprogramma,Autodesk Partner Program
Autodesk-partnerspecialisaties,Autodesk Partner Specializations
Autodesk-platform voor machine-learning,Autodesk Machine Learning Platform
Autodesk-productieteam,Autodesk Manufacturing Team
Autodesk-softwarelicentieovereenkomst,Autodesk Software License Agreement
Autodesk-suite,Autodesk suite
Autodesk-trainingscentrum,Autodesk Training Center
Backburner,Backburner
balk,cuboid
Basiskenmerken,Baseline Features
basisknopinfo,basic tooltip
bebouwde omgeving,hardscape
bedrijfsontwikkeling,Business Development
bedrijfsprocesmodel en -notatie,business process model and notation
beëindiging ondersteuning,software retirement
begeleiding,guidance
beheer fabricagegegevens,fabrication data manager
Beheer simulatiecomputing,Simulation Compute Manager
bekende beller,named caller
Belangenbehartiging en ondersteuning voor ontwikkelaars,Developer Advocacy and Support
Belangrijkste functies,Key Features
beproefde methoden,best practice
bergingsgebied,detention area
beveiligde schil,secure shell
beveiligingsverplichtingen,security non-negotiables
bijsnijdkader,clipping boundary
BIM 360 Ops,BIM 360 Ops
BIM360,BIM360
BIM-kennispakket,BIM Knowledge Package
bioswale,bioswale
blog,blog
bouwcomponent,building component
bouwkunde,building engineering
bouwkundig beslissingsverslag,architectural decision record
bouwmanagement,construction management
bouwmateriaal,building product
bouwtechniek,structural engineering
Brainshark,Brainshark
Branchenieuws,Industry News
BREP,BREP
B-rep,B-rep
building information model,building information model
BuildingConnected,BuildingConnected
Carrières,Careers
casestudy,case study
Casestudy's,Case studies
center of excellence,center of excellence
certificeringsexamen,certification exam
Certified Associate,Certified Associate
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
Character Generator,Character Generator
CLIC-licentiebeheer,CLIC license manager
cloud-credits,cloud credits
cloudlicenties,cloud licensing
cloud-services,cloud services
cloudunit,cloud unit
cloudvolumemodelering,cloud solid modeling
codec,codec
Codering van boekhoudnormen,Accounting Standards Codification
Collaboration For Revit,Collaboration For Revit
Commercial New,Commercial New
commerciële cloud-omgeving,commercial cloud environment
commerciële licentie,commercial license
Communication Center,Communication Center
conceptschets,concept sketch
constructiemanager,construction manager
Consulting System Integrator-partner,consulting system integrator partner
consumentenproduct,consumer product
contextafhankelijke linttab,ribbon contextual tab
contextafhankelijke tab,contextual tab
Continuing Education-credit,continuing education credit
contract onderhoudsplan,maintenance plan contract
Contractmanager,Contract Manager
contractverlenging na verlopen contractdatum,late renewal
controllerdop,controller cap
coördinatenruimte,coordinate space
CoP,CoP
copy block,copy block
CPM,CPM
CSI,CSI
Curricula,Curricula
D&M,D&M
D&MwA,D&MwA
dashboard gezondheid van bedrijf,health of business dashboard
data-acquisitie,data acquisition
datasilo,data silo
datum van uitgifte,release date
De professionele handleiding voor Building Information Modeling (BIM),The professional guide to Building Information Modelling (BIM)
defensie,defense
dekkingsrapport,coverage report
demo,demo
Demonstratie,Demonstration
demonstratievideo,demo video
Design Collaboration,Design Collaboration
Designers Accord,Designers Accord
detailontwerper,detailer
digitaal modelleren,digital modeling
Digital Entertainment Creation,digital entertainment creation
Digital Manufacturing Group,Digital Manufacturing Group
Digital Prototyping-dagen,Digital Prototyping Days
Digital Prototyping-oplossing van Autodesk,Autodesk solution for Digital Prototyping
Digital Visual Interface,digital visual interface
Digitale ervaring en empowerment voor klanten,Digital Experience and Customer Empowerment
digitale HIG,digital HIG
digitale klantlevenscyclus,digital customer lifecycle
direct partner,direct partner
discussieforum,discussion forum
discussiegroep,discussion group
documentatie,documentation
dotcom,dotcom
dotcom-begeleiding,dotcom guidance
dreigingsmodellering,threat modeling
Duurzaamheid,Sustainability
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
dynamische applicatiebeveiligingstest,dynamic application security test
Eagle,Eagle
ECaaS,ECaaS
