source,target
30-day trial,30 天试用版
3D,三维
3D printer,3D 打印机
3D printing,3D 打印
3ds Max,3ds Max
3ds Max Design,3ds Max Design
About Us,关于我们
Accelerate Better Design,促进更好的设计
acceleration,加速
Account Management,帐户管理
ACE,ACE
ACI,ACI
Activate & Register,激活和注册
activation code,激活码
Activation Limit Reached,已达到激活限制
activation scenario,激活场景
active contract,生效合约
Active Directory,Active Directory
active rental plan,有效租赁计划
activity feed,活动提要
Activity Monitor,活动监视器
Add new payment method,添加新的支付方式
add-in,附加模块
additive manufacturing,增材制造
add-on,附加模块
ADI,ADI
AdLM,AdLM
Administrative Tools,管理工具
ADN,ADN
ADN Open,ADN Open
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Advanced Illuminance
advertise,公布
AEC,工程建设
aerospace,航空
AIA,AIA
alert,警报
Aligned Marketing Program,联合营销计划
alpha channel,Alpha 通道
Alternative Distribution Methods,备选分发方法
ambient color,环境色
ambient occlusion,环境光阻挡
ambient temperature,环境温度
amendment,修订
American Institute of Architects,美国建筑师协会
anchor,定位
anchor point,定位点
angle,角度
angle constraint,角度约束
annealing,退火
Announcements,公告
anti-aliasing,抗锯齿
anti-boycott,反抵制
anti-corruption,反腐败（反贿赂）
anxiety question,令人担忧的问题
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,App Store 最终用户许可协议
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,应用工程师
application ID,应用程序 ID
Application Programming Interface,应用程序编程接口
Architectural Supplemental Instructions,建筑补充说明
"Architecture, Engineering & Construction Collection",工程建设软件集
"architecture, engineering and construction",工程建设
array,阵列
ASIs,ASI
Ask Autodesk,咨询 Autodesk
ASM,ASM
aspect ratio,纵横比
assembly,部件
asset,资源
ATC,ATC
ATC Agreement,ATC 协议
ATC Global Program Guide,ATC 全球计划手册
ATC Locator,ATC 定位器
ATC Online Evaluation System,ATC 在线评估系统
ATC Site Enrolment and Business Plan Form,ATC 站点注册和业务规划表
attach rate,合约同期购买率
AU,AU
AU Virtual,AU Virtual
AUGI,AUGI
authentication,身份验证
