source,target
1-year subscription,suscripción de un año
30-day trial,versión de prueba de 30 días
3D,3D
3D printer,impresora 3D
3D printing,impresión en 3D
Accelerate Better Design,Diseño mejorado y más rápido
acceleration,aceleración
Account Management,Gestión de cuentas
ACE,ACE
ACI,ACI
activation code,código de activación
Activation Limit Reached,Límite de activaciones alcanzado
activation scenario,escenario de activación
active contract,contrato activo
Active Directory,Active Directory
active rental plan,plan de alquiler activo
activity feed,fuente de actividad
Activity Monitor,Supervisor de actividad
Add new payment method,Añadir nuevo método de pago
add-in,complemento
additive manufacturing,fabricación de aditivos
add-on,complemento
ADI,ADI
AdLM,AdLM
Administrative Tools,Herramientas administrativas
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Iluminancia avanzada
advertise,anunciar
AEC,AEC
aerospace,sector aeroespacial
affordable,asequible
Aligned Marketing Program,Programa de alineación de marketing
alpha channel,canal alfa
Alternative Distribution Methods,Métodos de distribución alternativos
ambient color,color ambiental
ambient occlusion,oclusión ambiental
ambient temperature,temperatura ambiente
American Institute of Architects,American Institute of Architects
anchor,ancla
anchor point,punto de anclaje
angle,ángulo
angle constraint,restricción de ángulo
annealing,recocido
Announcements,Anuncios
anti-aliasing,anti-aliasing
anxiety question,pregunta de posibles problemas
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,Acuerdo de licencia de usuario final de App Store
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,ingeniero de aplicaciones
application ID,identificador de aplicación
Application Programming Interface,interfaz de programación de aplicaciones
Architect's Supplemental Instruction,instrucciones adicionales del arquitecto
Architectural Supplemental Instructions,instrucciones adicionales del arquitecto
"Architecture, Engineering & Construction Collection","Architecture, Engineering & Construction Collection"
"architecture, engineering and construction","arquitectura, ingeniería y construcción"
array,matriz
ASIs,ASI
Ask Autodesk,Pregunte a Autodesk
ASM,ASM
aspect ratio,relación de anchura-altura
assembly,ensamblaje
asset,elemento
ATC,ATC
ATC Agreement,Acuerdo de ATC
ATC Global Program Guide,Guía del programa global de ATC
ATC Locator,Localizador de ATC
ATC Online Evaluation System,Sistema de evaluación en línea de ATC
ATC Site Enrolment and Business Plan Form,Formulario de inscripción como centro ATC y de plan de actuación
