source,target
analytical surface,analytisk overflate
Autodesk Masters award,Autodesk Masters-pris
Autodesk Masters Program,Autodesk Masters-program
Autodesk Partner,Autodesk-partner
blend surface,blandingsoverflate
cel shading,cel-skygget
DPI,DPI
DSS,DSS
EDM,EDM
fillet,assosiativ avrunding
flat shading,flat skygge
focal plane,fokalplan
free orbit,fri bane
Fusion,Fusion
iCopy,iCopy
iFeatures,iFeatures
infer constraints,forholdsrestriksjon
iProperties,iProperties
language pack,språkpakke
markup,markering
model translation,modelloversettelse
new features workshop,workshop med nye funksjoner
organic modeling,organisk modellering
planar face,plan flate
Pro,Pro
sketch edge,skissekant
surface normal,overflatenormaler
Thick Client,Thick Client
Thin Client,Thin Client
tonemap method,tonemap-metode
underlay,underlag
Vault,Vault
