source,target
3D mesh primitive,Jaring 3D primitif
3D Mini-map,Peta Mini 3D
3D Move gizmo,Alat Pindah 3D
3D Rotate gizmo,Alat Putar 3D
3D Scale gizmo,Alat Skala 3D
abutment,penyangga
account administrator,administrator akun
Activity Gantt View,Tampilan Gantt Aktivitas
aggregate view,tampilan agregat
air handler,penangan udara
Airtable,Airtable
aligned section view,tampilan bagian sejajar
alignment geometry point,titik geometri penyejajaran
alignment offset,offset penyejajaran
ALKIS,ALKIS
ampacity,kapasitas ampere
analemma,analemma
analytical brace,penjepit analitik
analytical floor,lantai analitik
analytical surface,permukaan analitik
angle of deflection,sudut defleksi
angular speed,kecepatan sudut
annotation,anotasi
anti-shrinkage reinforcement,penguat anti penyusutan
apparent power,kekuatan nyata
appearance style,gaya penampilan
approver,pemberi persetujuan
arc-chord distance,jarak akor busur
ArchiCAD model,Model ArchiCAD
architectural floor,lantai arsitektur
ASBD,ASBD
ASHRAE fitting,Pemasangan ASHRAE
asset library,pustaka aset
ATIL,ATIL
attachment,lampiran
AutoCAD model,Model AutoCAD
Autodesk Image Library,Pustaka Gambar Autodesk
average end area,area ujung rata-rata
azimuth,azimut
backsight,backsight
ball in court,bola di lapangan
base family,keluarga dasar
base layer,lapisan dasar
basemap,peta dasar
BCA,BCA
BCF,BCF
bearing wall,dinding bantalan
bend diameter,diameter tekukan
bent bar,bilah bengkok
billing period,periode penagihan
BIM object,Objek BIM
bisymmetric,bisimetris
bloss,bloss
borrower,peminjam
box girder,gelagar tubular
branch circuit,sirkuit cabang
brick veneer,veneer batu bata
brushed aluminium,aluminium yang digosok
budget transfer,transfer anggaran
building common area,area umum bangunan
building footprint,jejak bangunan
building level,tingkat bangunan
built-up roof,atap yang dibangun
bulge,tonjolan
burnishing,memoles
business units,unit bisnis
butt,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
cable tray,baki kabel
CADmep,CADmep
callout markup,markup panggilan
callout tag,tag panggilan
camera-centric,berpusat pada kamera
cant,cant
cant gradient,gradien cant
cant view,tampilan cant
cap,tutup
cartoon set,set kartun
casement,tingkap
catch basin,bak penangkap
catchment,tangkapan air
catchment area,daerah tangkapan
catchment location,lokasi tangkapan
cavity wall,dinding rongga
CDE,CDE
center line,garis tengah
center mark,tanda tengah
ceramic tile,ubin keramik
change analysis,analisis perubahan
Changes tool,Alat perubahan
characteristic strength,kekuatan karakteristik
Cipolletti,Cipolletti
clash group,grup clash
clash service,layanan clash
clerestory,lenggek cahaya
clip volume,volume klip
cloud model,model cloud
code combination,kombinasi kode
cold water fixture unit,unit perlengkapan pasokan air dingin
colinear,kolinear
collinear,kollinear
composition roof,atap komposisi
compound curve,kurva majemuk
compressive strength,kekuatan tekan
concentrated force,kekuatan terkonsentrasi
conceptual energy analysis,analisis energi konseptual
conceptual mass,massa konseptual
condensate drain,pembuangan kondensat
conduit,saluran
conduit connector,konektor saluran
conduit fitting,pemasangan saluran
connector,konektor
constraint element,elemen batasan
constructability modeling,pemodelan konstruktabilitas
content awareness,kesadaran konten
content library,pustaka konten
content pack,paket konten
contingency,kontingensi
contour label,label kontur
contracted,berkontraksi
contributor,kontributor
convection load,beban konveksi
convex,cembung
coordination space,ruang koordinasi
cope,cope
COR,COR
corbel,corbel
co-reviewer,pengulas bersama
corridor section,bagian koridor
cost impact,dampak biaya
cost management,manajemen biaya
cost payment application,aplikasi pembayaran biaya
count takeoff,penghitungan takeoff
country kit,kit negara
crest curve,kurva puncak
crossing pipe,pipa penyeberangan
crossover library,pustaka persilangan
crown,mahkota
crowned roadway,jalan bermahkota
CS,CS
cubic parabola,parabola kubik
current directory,direktori saat ini
curtain grid,kisi tirai
curtain panel,panel tirai
curtain system,sistem tirai
curtain wall,dinding tirai
curtain wall frame,bingkai dinding tirai
curtain wall grid,kisi-kisi dinding tirai
curtain wall mullion,mullion dinding tirai
curtain wall unit,unit dinding tirai
curve tessellation distance,jarak teselasi kurva
curved beam,balok melengkung
curve-spiral,kurva-spiral
custom girder,gelagar khusus
cut-in speed wind,kecepatan angin cut-in
cut-out speed wind,kecepatan angin cut-out
CWFU,CWFU
dashboard,dasbor
data center,pusat data
daylight portal,portal siang hari
daylighting glass,kaca siang hari
dead load,beban mati
DECDEG,DECDEG
deck,dek
DEM,DEM
demand diagram,diagram permintaan
demand factor,faktor permintaan
design report,laporan desain
Desktop Connector,Konektor Desktop
diffuse,menyebar
digital terrain model,model medan digital
direction type,jenis arah
discipline,disiplin
distribution list,daftar distribusi
DLL,DLL
DMS,DMS
document,dokumen
document log,log dokumen
drainage network,jaringan drainase
drawing group,grup gambar
drop reference location,lokasi referensi jatuhkan
dry bulb,suhu bola kering
drywall,papan gipsum
DTM,DTM
duct connector,konektor saluran
duct damper,peredam saluran
duct fitting,pemasangan saluran
duct lining,lapisan saluran
duct system,sistem saluran
earthworks,pekerjaan tanah
EDM,EDM
EGL,EGL
electrical equipment,peralatan listrik
electronic distance meter,pengukur jarak elektronik
elevation,elevasi
elevation axis,sumbu elevasi
ellipse segment,segmen elips
embedded wall,dinding tertanam
end connector,konektor ujung
equilibrium cant,equilibrium cant
evaporation,penguapan
EVC,EVC
EVCE,EVCE
exhaust air,udara buang
external data reference,referensi data eksternal
fidelity,fidelitas
field book,buku lapangan
field report,laporan lapangan
field splice,field splice
file,file
fill pattern,pola pengisian
fillet,filet
fillet radius,radius filet
finite-element bridge analysis,analisis jembatan finite-element
fixed window,jendela tetap
flare angle,sudut suar
float curve,kurva mengambang
floor plan,denah lantai
form element,elemen bentuk
forms,formulir
foundation,fondasi
frame,bingkai
frame rate,laju bingkai
free float,mengambang bebas
FU,FU
fuzz,fuzz
Gantt,Gantt
general contractor,kontraktor umum
general contractor company,perusahaan kontraktor umum
girder,gelagar
girder group,grup gelagar
girder shape,bentuk gelagar
gizmo,alat
global coordinate system,sistem koordinat global
grade break,grade break
grading plan,rencana grading
gravity network,jaringan gravitasi
gravity pipe,pipa gravitasi
ground conductor,konduktor tanah
ground model,model tanah
ground profile,profil tanah
ground water,air tanah
guardrail,pagar pembatas
hanger,gantungan
HDS,HDS
heat gain,perolehan panas
heat island,heat island
heating and cooling loads,beban pemanasan dan pendinginan
heating design temperature,suhu desain pemanas
HGL,HGL
Home,Beranda
horizontal adjustment method,metode penyesuaian horizontal
hot conductor,konduktor panas
HP,HP
HS end plate,Pelat ujung HS
HVAC zone,Zona HVAC
hypermodeling,hiperpemodelan
ice giants,raksasa es
impact cost,biaya dampak
implied point of intersection,titik persimpangan tersirat
IMX,IMX
Industrial Peak Flow Factor,Peak Flow Factor Industri
industry model,model industri
InfraWorks model,Model InfraWorks
initiator,inisiator
interface shear,geser antarmuka
interference check,pemeriksaan gangguan
intersection component,komponen persimpangan
