source,target
30-Tage-Testversion,30-day trial
3D,3D
3D-Druck,3D printing
3D-Drucker,3D printer
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ABCP,ABCP
Abfüllwerk,filling plant
Abhängigkeit Winkel,angle constraint
Abmelden,Unsubscribe
Abonnement,subscription
Abonnement-Angebot,subscription offering
Abonnement-Software,subscription software
Abonnement-Verlängerungsdatum,subscription renewal date
Abonnent,subscriber
Abonnieren,Subscribe
Abrechnungseinstellungen,billing settings
Abschlüsse,attach rate
ACC,ACC
ACE,ACE
Achsenabstand,axis offset
Achsensymbol,axis tripod icon
ACI,ACI
Active Directory,Active Directory
Activity Monitor,Activity Monitor
Add-In,add-in
additive Fertigung,additive manufacturing
Add-On,add-on
Ad-hoc-Analyse,ad hoc analysis
ADI,ADI
AdLM,AdLM
ADN,ADN
ADP,ADP
Advance Concrete,Advance Concrete
Advance Steel,Advance Steel
Advanced Illuminance,Advanced Illuminance
AEC,AEC
AEC Collection,AEC Collection
AEC-Informationsmodell,AEC Information Model
AECO,AECO
Aktionen und Sonderangebote,Promotions & Special Offers
aktiver Vertrag,active contract
Aktivieren und registrieren,Activate & Register
Aktivierungscode,activation code
Aktivierungslimit erreicht,Activation Limit Reached
Aktivierungsszenario,activation scenario
Aktivitäts-Feed,activity feed
aktualisieren,refresh
Aktualisieren Sie Ihr Profil,Update your profile
aktuellen Preis sichern,secure pricing
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Aligned Marketing Program,Aligned Marketing Program
Alpha-Kanal,alpha channel
Alternative Verteilungsmethoden,Alternative Distribution Methods
American Institute of Architects,American Institute of Architects
Amortisierung,payback
AMP,AMP
Amtsträger,government official
Änderung,amendment
Änderung der Adresse oder des Namens des Unternehmens,Company Address or Name Change
Änderungen bei Dauerlizenzen,Perpetual Licensing Changes
Anfordern einer Rückerstattung,Requesting a Refund
Anfrage,inquiry
Angemeldet bleiben,Keep Me Signed In
