source,target
3D mesh primitive,enkelt 3D-nett
3D Move gizmo,3D-flytting
3D Rotate gizmo,3D-rotering
3D Scale gizmo,3D-skalering
ACC,ACC
active member,aktivt medlem
administrator,administrator
ALKIS,ALKIS
analytical surface,analytisk overflate
areas tool,områdeverktøy
asset status,objektstatus
assets,utstyr
ATIL,ATIL
Autodesk Construction Cloud,Autodesk-konstruksjonssky
Autodesk ID,Autodesk-ID
Autodesk Insight,Autodesk Insight
Autodesk representative,Autodesk-representant
ball in court,saken ligger hos
BCA,BCA
billing period,fakturaperiode
bridge,bro
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
budget payment application,budsjettbetalingsapplikasjon
BVC,BVC
BVCE,BVCE
BVCS,BVCS
CDE,CDE
clash grid,kollisjonsrutenett
clash resolution,konfliktløsning
company,selskap
contact,kontakt
controlled sharing,kontrollert deling
CWFU,CWFU
daily risk,daglig risiko
DECDEG,DECDEG
DEM,DEM
DMS,DMS
Drainage Design for Infraworks 360,Drainage Design for Infraworks 360
DTM,DTM
EDM,EDM
elevation,høyde
enterprise subscription,forretningsabonnement
equipment management,utstyrsadministrasjon
EVC,EVC
EVCE,EVCE
feature,funksjon
field checklist,feltsjekkliste
field project,feltprosjekt
field project admin,feltprosjektadmin
field viewer,feltviser
files log,fil-logg
fillet,assosiativ avrunding
floorplan,gulvplan
formwork,formverk
FU,FU
group review,gruppeanmeldelser
group reviewers,gruppeanmelder
HDS,HDS
HGL,HGL
HP,HP
hypermodel,hypermodell
inventory,material-liste
item,element
level of smoothness,utjevningsgrad
LF,LF
LP,LP
markup attachment,markeringsvedlegg
member,medlem
mini-map,minikart
model aggregation,modellaggregering
model iteration,modellutgave
multiple members,flere medlemmer
Next Generation services,Neste generasjons tjenester
object,objekt
offering,tilbud
organization,organisasjon
PCO,PCO
permission,tillatelse
Piranesi EPix,Piranesi EPix
product,produkt
product picker,produktvelger
progress tracking,fremdriftssporing
project,prosjekt
project list,prosjektliste
pushpin,pushpin
reference,referanse
report generation frequency,hyppighet for rapportgenerering
RFI count,RFI-telling
Roadway Design for InfraWorks 360,Roadway Design for InfraWorks 360
Roamer,Roamer
set,sett
settings,innstillinger
sheets,tegninger
SketchUp,SketchUp
stamp,stempel
Structural Analysis for Revit,Structural Analysis for Revit
structural modeling,bygningsmodellering
sub-location,underplassering
subscriber,abonnent
takeoff package,beregningspakke
task,oppgave
team,team
template,mal
TimeLiner,TimeLiner
title,tittel
tool,verktøy
Vehicle Tracking,Vehicle Tracking
wood framing,snekkerarbeid
XDRef,XDRef
XRef,XRef
