source,target
1-year subscription,1-साल का सब्सक्रिप्शन
30-day trial,30-दिन का ट्रायल
3D,3D
3D printer,3D प्रिंटर
3D printing,3D प्रिंटिंग
3ds Max,3ds Max
3ds Max Design,3ds Max Design
A360,A360
A360 Rendering,A360 Rendering
A360 Team,A360 Team
ACC,ACC
acceleration,त्वरण
Account Management,अकाउंट प्रबंधन
ACE,ACE
ACI,ACI
activation code,ऐक्टिवेशन कोड
activation scenario,ऐक्टिवेशन परिदृश्य
active contract,सक्रिय अनुबंध
Active Directory,सक्रिय निर्देशिका
active rental plan,सक्रिय किराया प्लान
activity feed,गतिविधि फ़ीड
Activity Monitor,ऐक्टिविटी मॉनिटर
add-in,ऐड-इन
additive manufacturing,योगात्मक विनिर्माण
add-on,ऐड-ऑन
ADI,ADI
AdLM,AdLM
Administrative Tools,ऐडमिनिस्ट्रेटिव टूल
ADN,ADN
ADP,ADP
Advance Concrete,ऐडवांस कंक्रीट
Advance Steel,ऐडवांस स्टील
Advanced Illuminance,उन्नत रोशनी
AEC,AEC
AEC Collection,AEC कलेक्शन
aerospace,एयरोस्पेस
Alias AutoStudio,Alias AutoStudio
Alias Concept,Alias Concept
Alias Design,Alias Design
Alias SpeedForm,Alias SpeedForm
Alias Surface,Alias Surface
Aligned Marketing Program,संरेखित मार्केटिंग प्रोग्राम
alpha channel,अल्फा चैनल
Alternative Distribution Methods,वैकल्पिक वितरण विधियाँ
ambient color,परिवेश का रंग
ambient occlusion,परिवेशी बाधा
ambient temperature,परिवेश का तापमान
amendment,संशोधन
American Institute of Architects,अमेरिकन इंस्टीट्यूट ऑफ़ आर्किटेक्ट्स
AMP,AMP
anchor point,ऐंकर बिंदु
angle,कोण
angle constraint,कोण की बाधा
annealing,एनीलिंग
Ansys Mechanical,एन्सिस मैकेनिकल
anti-boycott,एंटी-बॉयकॉट
anti-corruption,भ्रष्टाचार निरोधक
anxiety question,चिंता प्रश्न
AOTC,AOTC
API,API
App Store,App Store
app store end user license agreement,ऐप स्टोर अंतिम उपयोगकर्ता लाइसेंस अनुबंध
AppFrame,AppFrame
APPID,APPID
Apple App Store,Apple App Store
Application Engineer,ऐप्लिकेशन इंजीनियर
application ID,ऐप्लिकेशन ID
Application Programming Interface,ऐप्लिकेशन प्रोग्रामिंग इंटरफ़ेस
aPriori,aPriori
ArcGIS,ArcGIS
Architect's Supplemental Instruction,आर्किटेक्ट के पूरक निर्देश
Architectural Supplemental Instructions,आर्किटेक्चरल पूरक निर्देश
"Architecture, Engineering & Construction Collection","आर्किटेक्चर, इंजीनियरिंग और कंस्ट्रक्शन कलेक्शन"
"architecture, engineering and construction","आर्किटेक्चर, इंजीनियरिंग और कंस्ट्रक्शन"
array,अरे
ASIs,ASIs
ASM,ASM
aspect ratio,आस्पेक्ट अनुपात
assembly,पुर्जे जोड़ना
asset,असेट
ATC,ATC
ATC Agreement,ATC अनुबंध
ATC Global Program Guide,ATC ग्लोबल प्रोग्राम गाइड
ATC Locator,ATC लोकेटर
ATC Online Evaluation System,ATC ऑनलाइन मूल्यांकन प्रणाली
ATC Site Enrolment and Business Plan Form,ATC साइट नामांकन और बिज़नेस प्लान फार्म
attach rate,संलग्न दर
AU,AU
AU Virtual,AU वर्चुअल
AUGI,AUGI
authentication,प्रमाणीकरण
authorized academic partner,अधिकृत शैक्षणिक भागीदार
authorized partner,अधिकृत भागीदार
authorized reseller,अधिकृत पुनर्विक्रेता
AutoCAD,AutoCAD
AutoCAD 2019 Add-In,AutoCAD 2019 ऐड-इन
AutoCAD 360,AutoCAD 360
AutoCAD Architecture 2019 Add-In,AutoCAD आर्किटेक्चर 2019 ऐड-इन
AutoCAD Civil 3 D 2019 Add-In,AutoCAD Civil 3 D 2019 ऐड-इन
AutoCAD Civil 3D,AutoCAD Civil 3D
AutoCAD DXF,AutoCAD DXF
AutoCAD Electrical,AutoCAD Electrical
AutoCAD Electrical 2019 Add-In,AutoCAD Electrical 2019 A ऐड-इन
AutoCAD Electrical Turing Beta,AutoCAD Electrical Turing Beta
AutoCAD for Mac,AutoCAD for Mac
AutoCAD including specialized toolsets,विशेष टूलसेट सहित AutoCAD
AutoCAD Inventor LT Suite,AutoCAD Inventor LT Suite
AutoCAD LT,AutoCAD LT
AutoCAD LT 2019 Add-In,AutoCAD LT 2019 ऐड-इन
AutoCAD LT for Mac,AutoCAD LT for Mac
AutoCAD Map 2019 Add-In,AutoCAD Map 2019 ऐड-इन
AutoCAD Map 3D,AutoCAD Map 3D
AutoCAD Mechanical,AutoCAD Mechanical
AutoCAD Mechanical 2019 Add-In,AutoCAD Mechanical 2019 ऐड-इन
AutoCAD MEP 2019 Add-In,AutoCAD MEP 2019 ऐड-इन
AutoCAD Migration Assistance,AutoCAD माइग्रेशन असिस्टेंस
AutoCAD OEM,AutoCAD OEM
AutoCAD P&ID,AutoCAD P&ID
AutoCAD Plant 3 D 2019 Add-In,AutoCAD Plant 3 D 2019 ऐड-इन
AutoCAD Plant 3D,AutoCAD Plant 3D
AutoCAD Raster Design,AutoCAD Raster Design
AutoCAD Revit Architecture Suite,AutoCAD Revit Architecture Suite
AutoCAD Revit LT Suite,AutoCAD Revit LT Suite
AutoCAD Structural Detailing 2019 Add-In,AutoCAD Structural Detailing 2019 ऐड-इन
AutoCAD Utility Design 2019 Add-In,AutoCAD Utility Design 2019 ऐड-इन
AutoCAD vertical,AutoCAD vertical
Autocast,Autocast
AutoCorrect,AutoCorrect
Autodesk Academic Value Added Reseller,Autodesk अकैडमीक वैल्यू ऐडेड रीसेलर
Autodesk Advanced Support,Autodesk Advanced Support
Autodesk Analytics,Autodesk विश्लेषण
Autodesk Animation Academy,Autodesk ऐनिमेशन अकैडमी
Autodesk App Store Verified Download,Autodesk App Store सत्यापित डाउनलोड
