source,target
Примітив 3D сітки,3D mesh primitive
Міні-карта 3D,3D Mini-map
3D-рухома штуковина,3D Move gizmo
3D-поворотна штуковина,3D Rotate gizmo
Штуковина в 3D масштабі,3D Scale gizmo
абатмент,abutment
адміністратор облікового запису,account administrator
Перегляд активності Ганта,Activity Gantt View
сукупний вид,aggregate view
обробник повітря,air handler
Надувний стіл,Airtable
вирівняний вид перетину,aligned section view
геометрична точка вирівнювання,alignment geometry point
зміщення вирівнювання,alignment offset
ALKIS,ALKIS
потужність,ampacity
аналема,analemma
аналітична дужка,analytical brace
аналітичний поверх,analytical floor
аналітична поверхня,analytical surface
кут відхилення,angle of deflection
кутова швидкість,angular speed
анотація,annotation
армування проти усадки,anti-shrinkage reinforcement
удавана потужність,apparent power
стиль зовнішнього вигляду,appearance style
затвердитель,approver
відстань між дугою і хордою,arc-chord distance
Модель ArchiCAD,ArchiCAD model
архітектурна підлога,architectural floor
ASBD,ASBD
Фітинг ASHRAE,ASHRAE fitting
бібліотека активів,asset library
ATIL,ATIL
прихильність,attachment
модель AutoCAD,AutoCAD model
Бібліотека зображень Autodesk,Autodesk Image Library
Середня кінцева площа,average end area
азимут,azimuth
підсвічування,backsight
м'яч у корті,ball in court
базове сімейство,base family
базовий шар,base layer
базова карта,basemap
BCA,BCA
BCF,BCF
несуча стіна,bearing wall
діаметр вигину,bend diameter
вигнутий стрижень,bent bar
розрахунковий період,billing period
BIM-об'єкт,BIM object
бісиметричний,bisymmetric
розквітати,bloss
позичальник,borrower
коробчата балка,box girder
відгалуження ланцюга,branch circuit
облицювання цеглою,brick veneer
матовий алюміній,brushed aluminium
бюджетний трансферт,budget transfer
загальна зона будівлі,building common area
"площа, яку займає будівля",building footprint
рівень будівлі,building level
надбудований дах,built-up roof
опуклість,bulge
полірування,burnishing
бізнес-одиниці,business units
торець,butt
BVC,BVC
BVCE,BVCE
BVCS,BVCS
кабельний лоток,cable tray
КАДмеп,CADmep
розмітка виноски,callout markup
тег виноски,callout tag
орієнтований на камеру,camera-centric
косяк,cant
градієнт косяку,cant gradient
вид косяку,cant view
ковпачок,cap
мультяшний набір,cartoon set
стулка,casement
уловлюючий басейн,catch basin
дренаж,catchment
водозбірна зона,catchment area
місце розташування водозбору,catchment location
стінка порожнини,cavity wall
CDE,CDE
центральна лінія,center line
Центральна відмітка,center mark
керамічна плитка,ceramic tile
аналіз змін,change analysis
Iнструмент змiн,Changes tool
характерна міцність,characteristic strength
Чиполлетті,Cipolletti
група зіткнень,clash group
служба колізій,clash service
сюжетна лінія,clerestory
гучність кліпу,clip volume
хмарна модель,cloud model
кодова комбінація,code combination
пристрій для подачі холодної води,cold water fixture unit
композиція даху,composition roof
складова крива,compound curve
міцність на стиск,compressive strength
зосереджена сила,concentrated force
концептуальний енергетичний аналіз,conceptual energy analysis
концептуальна маса,conceptual mass
відведення конденсату,condensate drain
трубопровід,conduit
з'єднувач трубопроводу,conduit connector
фітинг для трубопроводу,conduit fitting
з'єднувач,connector
елемент обмеження,constraint element
моделювання конструктивності,constructability modeling
поінформованість про зміст,content awareness
бібліотека контенту,content library
пакет вмісту,content pack
випадковість,contingency
контурна мітка,contour label
договiрний,contracted
учасник,contributor
конвекційне навантаження,convection load
опуклий,convex
координаційний простір,coordination space
справитися,cope
COR,COR
пояс,corbel
співоглядач,co-reviewer
ділянка коридору,corridor section
вплив на витрати,cost impact
управління витратами,cost management
заявка на оплату вартості,cost payment application
вважайте зліт,count takeoff
заміський набір,country kit
крива гребеня,crest curve
пересічна труба,crossing pipe
перехресна бібліотека,crossover library
корона,crown
увінчана короною проїжджа частина,crowned roadway
CS,CS
кубічна парабола,cubic parabola
поточний каталог,current directory
завісочна решітка,curtain grid
шторна панель,curtain panel
система штор,curtain system
ЗАВІСНА стіна,curtain wall
каркас навісної стіни,curtain wall frame
решітка для навісних стін,curtain wall grid
опора навісної стіни,curtain wall mullion
блок навісної стіни,curtain wall unit
відстань тесселяції кривої,curve tessellation distance
вигнута балка,curved beam
крива-спіраль,curve-spiral
виготовлена на замовлення балка,custom girder
зниження швидкості вітру,cut-in speed wind
швидкість вітру зі зниженою швидкістю,cut-out speed wind
CWFU,CWFU
приладова панель,dashboard
центр обробки даних,data center
портал денного світла,daylight portal
скло для денного освітлення,daylighting glass
